text,ind
"porthos left the service , and in the course of the following year married mme . coquenard ; the coffer so much coveted contained eight hundred thousand livres .",25
"as the gascon had foreseen , they easily obtained three hundred pistoles on the ring .",10
"still further , the jew told them that if they would sell it to him , as it would make a magnificent pendant for earrings , he would give five hundred pistoles for it .",30
"grimaud had a stout , short picard cob , which cost three hundred livres .",12
""" five hundred pistoles . """,2
""" that is to say , two hundred more -- a hundred pistoles for you and a hundred pistoles for me .",7
""" this ring would certainly only recall very bitter remembrances ; then we shall never be masters of three hundred pistoles to redeem it , so that we really should lose two hundred pistoles by the bargain .",19
""" this ring would certainly only recall very bitter remembrances ; then we shall never be masters of three hundred pistoles to redeem it , so that we really should lose two hundred pistoles by the bargain .",32
"go and tell him the ring is his , d’artagnan , and bring back the two hundred pistoles with you . """,16
""" see , "" he went on , both asking the questions and supplying the answers . "" is n't it a beauty ? yes ; splendid ! did you ever see such a binding ? does n't the book open easily ? yes ; it stops open anywhere . but does it shut equally well ? yes ; for the binding and the leaves are flush , all in a straight line , and no gaps or openings anywhere . and look at its back , after seven hundred years . why , bozerian , closs , or purgold might have been proud of such a binding ! """,89
"however , pencroft had thought of doing so , but cyrus harding having told him that even if he managed to count three hundred grains a minute , or nine thousand an hour , it would take him nearly five thousand five - hundred years to finish his task , the honest sailor considered it best to give up the idea .",23
"however , pencroft had thought of doing so , but cyrus harding having told him that even if he managed to count three hundred grains a minute , or nine thousand an hour , it would take him nearly five thousand five - hundred years to finish his task , the honest sailor considered it best to give up the idea .",43
""" and i may add , "" said herbert , "" that the eucalyptus belongs to a family which comprises many useful members ; the guava - tree , from whose fruit guava jelly is made ; the clove - tree , which produces the spice ; the pomegranate - tree , which bears pomegranates ; the eugeacia cauliflora , the fruit of which is used in making a tolerable wine ; the ugui myrtle , which contains an excellent alcoholic liquor ; the caryophyllus myrtle , of which the bark forms an esteemed cinnamon ; the eugenia pimenta , from whence comes jamaica pepper ; the common myrtle , from whose buds and berries spice is sometimes made ; the eucalyptus manifera , which yields a sweet sort of manna ; the guinea eucalyptus , the sap of which is transformed into beer by fermentation ; in short , all those trees known under the name of gum - trees or iron - bark trees in australia , belong to this family of the myrtaceae , which contains forty - six genera and thirteen hundred species ! """,185
""" a true englishman does n't joke when he is talking about so serious a thing as a wager , "" replied phileas fogg , solemnly . "" i will bet twenty thousand pounds against anyone who wishes that i will make the tour of the world in eighty days or less ; in nineteen hundred and twenty hours , or a hundred and fifteen thousand two hundred minutes . do you accept ? """,55
