text,ind,sense,label
""" well now , jane , you know , or at least i will tell you , that when a criminal is accused , he is always allowed to speak in his own defence .",4,"('jane', 'jane', 'jane')",0
"then i should have asked you to accept my pledge of fidelity and to give me yours . jane -- give it me now . """,18,"('jane', 'jane', 'jane')",0
""" jane , you understand what i want of you ? just this promise--'i will be yours , mr . rochester . ' """,1,"('jane', 'jane', 'jane')",0
"bessie , when she heard this narrative , sighed and said , "" poor miss jane is to be pitied , too , abbot . """,15,"('jane', 'jane', 'jane')",0
""" jane "" ( bending towards and embracing me ) , "" do you mean it now ? """,1,"('jane', 'jane', 'jane')",0
""" one instant , jane .",4,"('jane', 'jane', 'jane')",0
"i had indeed levelled at that prominent feature as hard a blow as my knuckles could inflict ; and when i saw that either that or my look daunted him , i had the greatest inclination to follow up my advantage to purpose ; but he was already with his mama . i heard him in a blubbering tone commence the tale of how "" that nasty jane eyre "" had flown at him like a mad cat : he was stopped rather harshly--",67,"('jane', 'jane', 'jane')",0
"miss temple , having assembled the whole school , announced that inquiry had been made into the charges alleged against jane eyre , and that she was most happy to be able to pronounce her completely cleared from every imputation . the teachers then shook hands with me and kissed me , and a murmur of pleasure ran through the ranks of my companions .",20,"('jane', 'jane', 'jane')",0
""" you see , jane , the battle is fought and the victory won . """,4,"('jane', 'jane', 'jane')",0
"my living jane ? """,2,"('jane', 'jane', 'jane')",0
""" i would consent to be at your mercy , jane . """,10,"('jane', 'jane', 'jane')",0
""" jane is not such a weakling as you would make her , "" he would say : "" she can bear a mountain blast , or a shower , or a few flakes of snow , as well as any of us . her constitution is both sound and elastic;--better calculated to endure variations of climate than many more robust . """,1,"('jane', 'jane', '-jane')",1
"how much have you in the world , jane ? "" he asked , smiling .",8,"('jane', 'jane', 'jane')",0
""" it is you -- is it , jane ? you are come back to me then ? """,8,"('jane', 'jane', 'jane')",0
""" jane , what are you doing ? """,1,"('jane', 'jane', 'jane')",0
""" then , jane , you must play the accompaniment . """,3,"('jane', 'jane', 'jane')",0
"oh ! come , jane , come ! """,4,"('jane', 'jane', 'jane')",0
""" miss jane , take off your pinafore ; what are you doing there ?",2,"('jane', 'jane', 'jane')",0
""" you are going , jane ? """,5,"('jane', 'jane', 'jane')",0
