text,sense,label,ind,new_label
"but this hypothesis of a war machine collapsed in the face of formal denials from the various governments . since the public interest was at stake and transoceanic travel was suffering , the sincerity of these governments could not be doubted . besides , how could the assembly of this underwater boat have escaped public notice ? keeping a secret under such circumstances would be difficult enough for an individual , and certainly impossible for a nation whose every move is under constant surveillance by rival powers .","('keep', 'conserver', 'conservar')",0,57,2
"plantations and domestic animals would then have been infallibly destroyed , without a constant watch , and it was often necessary to make use of the guns to keep those dangerous visitors at a respectful distance .","('keep', 'tenir', 'mantener')",1,28,1
""" that i can have nothing to say to a man who does not keep his word . ""","('keep', 'tenir', 'mantener')",1,14,1
""" you might keep some of your kisses for me , sibyl , i think , "" said the lad with a good - natured grumble .","('keep', 'conserver', 'conservar')",0,3,2
""" boat ahoy ! "" shouted the sailor , without thinking that perhaps it would be best to keep silence .","('keep', 'conserver', 'conservar')",0,18,2
"you have kept the richmond time , have you not ? ""","('keep', 'conserver', 'conservar')",2,2,2
""" he kept his word .","('keep', 'tenir', 'mantener')",1,2,1
""" in that case , sir , i 'm forced to believe that you 've kept up relations with havana . ""","('keep', 'conserver', 'conservar')",2,15,2
"thank god , we can keep a secret . ""","('keep', 'conserver', 'conservar')",0,5,2
""" no , gentlemen , i have kept the harness , "" said porthos .","('keep', 'conserver', 'conservar')",0,7,2
"he had not entered the place for more than four years -- not , indeed , since he had used it first as a play- room when he was a child , and then as a study when he grew somewhat older . it was a large , well- proportioned room , which had been specially built by the last lord kelso for the use of the little grandson whom , for his strange likeness to his mother , and also for other reasons , he had always hated and desired to keep at a distance . it appeared to dorian to have but little changed . there was the huge italian cassone , with its fantastically painted panels and its tarnished gilt mouldings , in which he had so often hidden himself as a boy . there the satinwood book - case filled with his dog - eared schoolbooks . on the wall behind it was hanging the same ragged flemish tapestry where a faded king and queen were playing chess in a garden , while a company of hawkers rode by , carrying hooded birds on their gauntleted wrists . how well he remembered it all ! every moment of his lonely childhood came back to him as he looked round . he recalled the stainless purity of his boyish life , and it seemed horrible to him that it was here the fatal portrait was to be hidden away . how little he had thought , in those dead days , of all that was in store for him !","('keep', 'tenir', 'mantener')",1,92,1
"that day , the sixth of our imprisonment , captain nemo concluded that picks and mattocks were too slow to deal with the ice layer still separating us from open water -- and he decided to crush this layer . the man had kept his energy and composure . he had subdued physical pain with moral strength . he could still think , plan , and act .","('keep', 'conserver', 'conservar')",2,43,2
""" well , "" said milady , "" if you keep your word , instead of five hundred , i will give you a thousand pistoles . ""","('keep', 'tenir', 'mantener')",1,10,1
""" that comes , "" i told him , "" from the water temperature of the gulf stream , which , as it leaves the gulf of mexico , is barely different from your blood temperature . this gulf stream is a huge heat generator that enables the coasts of europe to be decked in eternal greenery . and if commander maury is correct , were one to harness the full warmth of this current , it would supply enough heat to keep molten a river of iron solder as big as the amazon or the missouri . ""","('keep', 'tenir', 'mantener')",1,82,1
patrick discreetly kept in the background .,"('keep', 'tenir', 'mantener')",1,2,1
"already flocks of birds had attacked the mass of flesh , and had to be driven away with stones , for cyrus wished to keep the fat for the use of the colony .","('keep', 'conserver', 'conservar')",2,24,2
