text,sense,label,ind,new_label
"if these brave men had been told that a volcanic eruption would destroy the land , that this land would be engulfed in the depths of the pacific , they would have imperturbably replied,--","('land', 'terre', 'tierra')",0,14,0
""" then we have ample time to finish our voyage , "" conseil replied , "" if ned land does n't mess things up ! ""","('land', 'land', 'land')",1,18,1
ned land did n't reply . his pursed lips and frowning brow indicated that he was in the grip of his monomania .,"('land', 'land', 'land')",1,1,1
ned land stared at me still more intently and finally unpursed his lips :,"('land', 'land', 'land')",1,1,1
""" we agreed to wait for the right circumstances , "" ned land went on . "" now we 've got those circumstances . this evening we 'll be just a few miles off the coast of spain . it 'll be cloudy tonight . the wind 's blowing toward shore . you gave me your promise , professor aronnax , and i 'm counting on you . ""","('land', 'land', 'land-')",2,12,2
"i opened the door leading to the library . the same inadequate light , the same solitude . i went to man my post near the door opening into the well of the central companionway . i waited for ned land 's signal .","('land', 'land', 'land')",1,40,1
"at this point the propeller 's vibrations slowed down appreciably , then they died out altogether . why was the nautilus stopping ? whether this layover would help or hinder ned land 's schemes i could n't have said .","('land', 'land', 'land')",1,31,1
""" well , "" replied the engineer , "" we will climb to the summit to - morrow , and then we shall see if this land is an island or a continent .","('land', 'terre', 'tierra')",0,26,0
""" i can not say exactly , "" replied the engineer , "" but i presume it is some land in the pacific .","('land', 'terre', 'tierra')",0,19,0
"i can not estimate the distance traversed by the balloon at less than six to seven thousand miles , and , even supposing that the wind had varied half a quarter , it must have brought us either to the archipelago of mendava , either on the pomotous , or even , if it had a greater strength than i suppose , to the land of new zealand .","('land', 'terre', 'tierra')",0,64,0
"i could hardly wait until our position was reported on the chart . near 11:30 the ballast tanks emptied , and the submersible rose to the surface of the ocean . i leaped onto the platform . ned land was already there .","('land', 'land', 'land')",1,38,1
ned land,"('land', 'land', 'land')",1,1,1
"so the abraham lincoln was n't lacking in means of destruction . but it had better still . it had ned land , the king of harpooners .","('land', 'land', 'land')",1,21,1
"ned land was about forty years old . a man of great height -- over six english feet -- he was powerfully built , serious in manner , not very sociable , sometimes headstrong , and quite ill - tempered when crossed . his looks caught the attention , and above all the strength of his gaze , which gave a unique emphasis to his facial appearance .","('land', 'land', 'land')",1,1,1
