text,ind
""" exactly . my body has remained in this arm - chair and has , i regret to observe , consumed in my absence two large pots of coffee and an incredible amount of tobacco . after you left i sent down to stamford 's for the ordnance map of this portion of the moor , and my spirit has hovered over it all day . i flatter myself that i could find my way about . """,38
"cyrus harding smiled at the sailor 's idea , and , yielding to his wish , he opened exactly at a place where the leaves were separated by a marker .",24
"i explained to them , in few words , that i had heard all which had happened since i left thornfield , and that i was come to see mr . rochester .",19
"do you really wish the bairn to go ? will it annoy you if she is left behind ? """,16
"conseil kept especially busy observing mollusks and articulates , and although his catalog is a little dry , i would n't want to wrong the gallant lad by leaving out his personal observations .",28
"the engineer , leaving ayrton for an instant , came out ready to fire .",3
"nevertheless , in order not to leave ayrton in solitude for too long a time , the settlers often paid him a visit .",6
"there was a rustle of chirruping sparrows in the green lacquer leaves of the ivy , and the blue cloud - shadows chased themselves across the grass like swallows . how pleasant it was in the garden ! and how delightful other people 's emotions were!-- much more delightful than their ideas , it seemed to him . one 's own soul , and the passions of one 's friends -- those were the fascinating things in life . he pictured to himself with silent amusement the tedious luncheon that he had missed by staying so long with basil hallward .",11
"i stayed in my stateroom . i wanted to avoid the captain , to hide from his eyes the agitation overwhelming me . what an agonizing day i spent , torn between my desire to regain my free will and my regret at abandoning this marvelous nautilus , leaving my underwater research incomplete ! how could i relinquish this ocean--""my own atlantic , "" as i liked to call it -- without observing its lower strata , without wresting from it the kinds of secrets that had been revealed to me by the seas of the east indies and the pacific ! i was putting down my novel half read , i was waking up as my dream neared its climax ! how painfully the hours passed , as i sometimes envisioned myself safe on shore with my companions , or , despite my better judgment , as i sometimes wished that some unforeseen circumstances would prevent ned land from carrying out his plans .",48
"as for captain nemo , i wondered what he would make of our escaping , what concern or perhaps what distress it might cause him , and what he would do in the twofold event of our attempt either failing or being found out ! certainly i had no complaints to register with him , on the contrary . never was hospitality more wholehearted than his . yet in leaving him i could n't be accused of ingratitude . no solemn promises bound us to him . in order to keep us captive , he had counted only on the force of circumstances and not on our word of honor . but his avowed intention to imprison us forever on his ship justified our every effort .",69
"then i began to wonder if this eccentric individual was even on board . since that night when the skiff had left the nautilus on some mysterious mission , my ideas about him had subtly changed . in spite of everything , i thought that captain nemo must have kept up some type of relationship with the shore . did he himself never leave the nautilus ? whole weeks had often gone by without my encountering him . what was he doing all the while ? during all those times i 'd thought he was convalescing in the grip of some misanthropic fit , was he instead far away from the ship , involved in some secret activity whose nature still eluded me ?",63
"as usual , dinner was served me in my stateroom . full of anxiety , i ate little . i left the table at seven o'clock . 120 minutes-- i was keeping track of them -- still separated me from the moment i was to rejoin ned land . my agitation increased . my pulse was throbbing violently . i could n't stand still . i walked up and down , hoping to calm my troubled mind with movement . the possibility of perishing in our reckless undertaking was the least of my worries ; my heart was pounding at the thought that our plans might be discovered before we had left the nautilus , at the thought of being hauled in front of captain nemo and finding him angered , or worse , saddened by my deserting him .",20
"as usual , dinner was served me in my stateroom . full of anxiety , i ate little . i left the table at seven o'clock . 120 minutes-- i was keeping track of them -- still separated me from the moment i was to rejoin ned land . my agitation increased . my pulse was throbbing violently . i could n't stand still . i walked up and down , hoping to calm my troubled mind with movement . the possibility of perishing in our reckless undertaking was the least of my worries ; my heart was pounding at the thought that our plans might be discovered before we had left the nautilus , at the thought of being hauled in front of captain nemo and finding him angered , or worse , saddened by my deserting him .",111
"i was left alone . but how was it possible for a man of my undecided turn of mind to argue successfully with so irascible a person as the professor ? with this persuasion i was hurrying away to my own little retreat upstairs , when the street door creaked upon its hinges ; heavy feet made the whole flight of stairs to shake ; and the master of the house , passing rapidly through the dining - room , threw himself in haste into his own sanctum . but on his rapid way he had found time to fling his hazel stick into a corner , his rough broadbrim upon the table , and these few emphatic words at his nephew :",2
""" you shall share our knowledge before you leave this room , sir henry . i promise you that , "" said sherlock holmes . "" we will confine ourselves for the present with your permission to this very interesting document , which must have been put together and posted yesterday evening . have you yesterday 's times , watson ? """,8
"mr . rochester obliged me to go to a certain silk warehouse : there i was ordered to choose half - a - dozen dresses . i hated the business , i begged leave to defer it : no -- it should be gone through with now .",33
"at the moment when he was about to retire , she was cheered with a ray of hope , for she thought he was about to speak ; but his lips moved without any sound leaving his mouth , and making a powerful effort to control himself , he sent back to his heart the words that were about to escape from his lips , and went out .",35
"after this event , and during all the time that the colonists , detained by herbert 's illness , remained in the corral , the pirates did not leave their cavern , and even after they had pillaged the plateau of prospect heights , they did not think it prudent to abandon it .",28
"so only two possible solutions to the question were left , creating two very distinct groups of supporters : on one side , those favoring a monster of colossal strength ; on the other , those favoring an "" underwater boat "" of tremendous motor power .",9
"has not his majesty just left you , and has he not himself asked you to prepare for this visit ? "" "" search , then , monsieur !",5
"this mode of communication presented two very real advantages : firstly , because it enabled them to ascertain that ayrton was at the corral ; and secondly , that he was thus not left completely isolated .",33
""" my uncle in madeira is dead , and he left me five thousand pounds . """,10
"she went into the house ; i stayed behind a few minutes to plant in my garden a handful of roots i had dug up in the forest , and which i feared would wither if i left them till the morning .",37
"these last words were cowardly of me ; but as far as i could , i wanted to protect my professorial dignity and not lay myself open to laughter from the americans , who when they do laugh , laugh raucously . i had left myself a loophole . yet deep down , i had accepted the existence of "" the monster . """,44
"cease to look so melancholy , my dear master ; you shall not be left desolate , so long as i live . """,14
i received a letter three hours before the abraham lincoln left its brooklyn pier ; the letter read as follows : pierre aronnax,10
""" well , professor aronnax , "" captain nemo answered me , "" we 're actually in that bay of vigo , and all that 's left is for you to probe the mysteries of the place . """,26
"the lad started and drew back . he was bareheaded , and the leaves had tossed his rebellious curls and tangled all their gilded threads . there was a look of fear in his eyes , such as people have when they are suddenly awakened . his finely chiselled nostrils quivered , and some hidden nerve shook the scarlet of his lips and left them trembling .",63
