text,sense,label,ind,new_label
""" but they have corresponded ; it is to him that the queen has been writing all the day . monsieur duke , i must have those letters ! ""","('monsieur', 'Monsieur', 'señor')",0,20,0
""" monsieur duke , at whatever price it may be , i will have them . ""","('monsieur', 'Monsieur', 'señor')",0,1,0
""" do you , then , also join in betraying me , monsieur cardinal , by thus always opposing my will ? are you also in accord with spain and england , with madame de chevreuse and the queen ? ""","('monsieur', 'Monsieur', 'señor')",0,12,0
""" jean , if monsieur pleases , "" replied the newcomer , "" jean passepartout , a surname which has clung to me because i have a natural aptness for going out of one business into another . i believe i 'm honest , monsieur , but , to be outspoken , i 've had several trades . i 've been an itinerant singer , a circus - rider , when i used to vault like leotard , and dance on a rope like blondin . then i got to be a professor of gymnastics , so as to make better use of my talents ; and then i was a sergeant fireman at paris , and assisted at many a big fire . but i quitted france five years ago , and , wishing to taste the sweets of domestic life , took service as a valet here in england . finding myself out of place , and hearing that monsieur phileas fogg was the most exact and settled gentleman in the united kingdom , i have come to monsieur in the hope of living with him a tranquil life , and forgetting even the name of passepartout . ""","('monsieur', 'Monsieur', 'señor')",0,4,0
""" that would be to charge monsieur de seguier , the keeper of the seals , with this mission .","('monsieur', 'm.', 'señor')",1,6,1
""" yes , monsieur . ""","('monsieur', 'Monsieur', 'señor')",0,3,0
"then , resuming his mild air , "" you are deceived , gentlemen , "" said he , "" this handkerchief is not mine , and i can not fancy why monsieur has taken it into his head to offer it to me rather than to one of you ; and as a proof of what i say , here is mine in my pocket . ""","('monsieur', 'Monsieur', 'señor')",0,31,0
""" pardon me , monsieur , it is impossible-- ""","('monsieur', 'Monsieur', 'señor')",0,4,0
""" the fact is , "" hazarded d’artagnan , timidly , "" i did not see the handkerchief fall from the pocket of monsieur aramis .","('monsieur', 'm.', 'señor')",1,23,1
""" oh , monsieur , be assured that i shall be entirely devoted to the person who will give me the means of quitting paris . ""","('monsieur', 'Monsieur', 'señor')",0,3,0
""" very well , cardinal , very well ; but , meantime , send for monsieur the keeper of the seals . i will go to the queen . ""","('monsieur', 'm.', 'señor')",1,15,1
""" i suppose , monsieur that you are not a fool , and that you knew very well , although coming from gascony , that people do not tread upon handkerchiefs without a reason .","('monsieur', 'Monsieur', 'señor')",0,4,0
""" i have said , monsieur , and i repeat , that the handkerchief did not fall from my pocket . ""","('monsieur', 'Monsieur', 'señor')",0,5,0
""" and thereby you have lied twice , monsieur , for i saw it fall . ""","('monsieur', 'Monsieur', 'señor')",0,8,0
""" monsieur is a gascon ? "" asked aramis .","('monsieur', 'Monsieur', 'señor')",0,1,0
"the queen was still standing when he entered ; but scarcely had she perceived him then she reseated herself in her armchair , and made a sign to her women to resume their cushions and stools , and with an air of supreme hauteur , said , "" what do you desire , monsieur , and with what object do you present yourself here ? ""","('monsieur', 'Monsieur', 'señor')",0,53,0
"monsieur does not postpone an interview through prudence ? ""","('monsieur', 'Monsieur', 'señor')",0,0,0
""" prudence , monsieur , is a virtue sufficiently useless to musketeers , i know , but indispensable to churchmen ; and as i am only a musketeer provisionally , i hold it good to be prudent .","('monsieur', 'Monsieur', 'señor')",0,3,0
at two o’clock i shall have the honor of expecting you at the hotel of monsieur de treville .,"('monsieur', 'm.', 'señor')",1,15,1
"in addition to this , d’artagnan possessed that invincible stock of resolution which the counsels of his father had implanted in his heart : "" endure nothing from anyone but the king , the cardinal , and monsieur de treville . ""","('monsieur', 'm.', 'señor')",1,37,1
""" i have no seconds on my part , monsieur , "" said d’artagnan ; "" for having only arrived yesterday in paris , i as yet know no one but monsieur de treville , to whom i was recommended by my father , who has the honor to be , in some degree , one of his friends . ""","('monsieur', 'Monsieur', 'señor')",0,9,0
""" i have no seconds on my part , monsieur , "" said d’artagnan ; "" for having only arrived yesterday in paris , i as yet know no one but monsieur de treville , to whom i was recommended by my father , who has the honor to be , in some degree , one of his friends . ""","('monsieur', 'm.', 'señor')",1,31,1
""" i will give it to none but the king monsieur , "" said anne .","('monsieur', 'Monsieur', 'señor')",0,10,0
""" you know no one but monsieur de treville ? "" he asked .","('monsieur', 'm.', 'señor')",1,6,1
""" yes , monsieur , i know only him . ""","('monsieur', 'Monsieur', 'señor')",0,3,0
""" you have truly , monsieur , "" said d’artagnan , bowing again , "" a courtesy , for which , i assure you , i am very grateful . ""","('monsieur', 'Monsieur', 'señor')",0,5,0
""" the conduct is infamously violent ! do you know that , monsieur ? ""","('monsieur', 'Monsieur', 'señor')",0,12,0
""" pardieu , monsieur ! "" said athos , "" that ’s a proposition that pleases me ; not that i can accept it , but a league off it savors of the gentleman .","('monsieur', 'Monsieur', 'señor')",0,3,0
""" there , monsieur , there is that letter ! "" cried the queen , with a broken and trembling voice ; "" take it , and deliver me from your odious presence . ""","('monsieur', 'Monsieur', 'señor')",0,3,0
"it is a long time since we have had a skirmish with the guards of monsieur the cardinal ; monsieur de treville must think us dead . ""","('monsieur', 'm.', 'señor')",1,15,1
"it is a long time since we have had a skirmish with the guards of monsieur the cardinal ; monsieur de treville must think us dead . ""","('monsieur', 'm.', 'señor')",1,19,1
""" if you are in haste , monsieur , "" said d’artagnan , with the same simplicity with which a moment before he had proposed to him to put off the duel for three days , "" and if it be your will to dispatch me at once , do not inconvenience yourself , i pray you . ""","('monsieur', 'Monsieur', 'señor')",0,7,0
