text,ind
""" monsieur cardinal , you have heard me ; i will have those letters . """,1
""" jean , if monsieur pleases , "" replied the newcomer , "" jean passepartout , a surname which has clung to me because i have a natural aptness for going out of one business into another . i believe i 'm honest , monsieur , but , to be outspoken , i 've had several trades . i 've been an itinerant singer , a circus - rider , when i used to vault like leotard , and dance on a rope like blondin . then i got to be a professor of gymnastics , so as to make better use of my talents ; and then i was a sergeant fireman at paris , and assisted at many a big fire . but i quitted france five years ago , and , wishing to taste the sweets of domestic life , took service as a valet here in england . finding myself out of place , and hearing that monsieur phileas fogg was the most exact and settled gentleman in the united kingdom , i have come to monsieur in the hope of living with him a tranquil life , and forgetting even the name of passepartout . """,44
""" jean , if monsieur pleases , "" replied the newcomer , "" jean passepartout , a surname which has clung to me because i have a natural aptness for going out of one business into another . i believe i 'm honest , monsieur , but , to be outspoken , i 've had several trades . i 've been an itinerant singer , a circus - rider , when i used to vault like leotard , and dance on a rope like blondin . then i got to be a professor of gymnastics , so as to make better use of my talents ; and then i was a sergeant fireman at paris , and assisted at many a big fire . but i quitted france five years ago , and , wishing to taste the sweets of domestic life , took service as a valet here in england . finding myself out of place , and hearing that monsieur phileas fogg was the most exact and settled gentleman in the united kingdom , i have come to monsieur in the hope of living with him a tranquil life , and forgetting even the name of passepartout . """,161
""" jean , if monsieur pleases , "" replied the newcomer , "" jean passepartout , a surname which has clung to me because i have a natural aptness for going out of one business into another . i believe i 'm honest , monsieur , but , to be outspoken , i 've had several trades . i 've been an itinerant singer , a circus - rider , when i used to vault like leotard , and dance on a rope like blondin . then i got to be a professor of gymnastics , so as to make better use of my talents ; and then i was a sergeant fireman at paris , and assisted at many a big fire . but i quitted france five years ago , and , wishing to taste the sweets of domestic life , took service as a valet here in england . finding myself out of place , and hearing that monsieur phileas fogg was the most exact and settled gentleman in the united kingdom , i have come to monsieur in the hope of living with him a tranquil life , and forgetting even the name of passepartout . """,180
"as i expected , my officer was there . i went up to him as he was singing a love ditty and looking tenderly at a lady , and interrupted him exactly in the middle of the second couplet . ’ monsieur , ’ said i , ’ does it still displease you that i should frequent a certain house of la rue payenne ?",41
""" now is my time to make peace with this gallant man , "" said d’artagnan to himself , having stood on one side during the whole of the latter part of the conversation ; and with this good feeling drawing near to aramis , who was departing without paying any attention to him , "" monsieur , "" said he , "" you will excuse me , i hope . """,56
""" ah , monsieur , "" interrupted aramis , "" permit me to observe to you that you have not acted in this affair as a gallant man ought . """,3
""" what , monsieur ! "" cried d’artagnan , "" and do you suppose-- """,3
""" monsieur , you act wrongly in endeavoring to mortify me , "" said d’artagnan , in whom the natural quarrelsome spirit began to speak more loudly than his pacific resolutions .",1
""" monsieur , what i say to you about the matter , "" said aramis , "" is not for the sake of seeking a quarrel .",1
""" i agree , monsieur ; but do not be too confident . take your handkerchief ; whether it belongs to you or another , you may perhaps stand in need of it . """,4
""" how , monsieur , an investigation of my papers -- mine ! truly , this is an indignity ! """,3
"has not his majesty just left you , and has he not himself asked you to prepare for this visit ? "" "" search , then , monsieur !",27
""" monsieur , "" said athos , "" i have engaged two of my friends as seconds ; but these two friends are not yet come , at which i am astonished , as it is not at all their custom . """,1
""" what , monsieur ? """,3
"monsieur , i love men of your kidney ; and i foresee plainly that if we do n’t kill each other , i shall hereafter have much pleasure in your conversation .",0
"i say that according to all probability i shall not be able to undergo the fatigues of the siege of la rochelle , and that it would be far better that you should appoint there either monsieur de conde , monsieur de bassopierre , or some valiant gentleman whose business is war , and not me , who am a churchman , and who am constantly turned aside for my real vocation to look after matters for which i have no aptitude .",40
""" that is true , monsieur cardinal , "" said the king , "" and you were right , as you always are ; but the queen , not the less , deserves all my anger . """,5
""" i know it , monsieur ; everything is turned topsy - turvy in the world nowadays . """,5
""" monsieur cardinal , you know that i do not like worldly pleasures . """,1
""" monsieur , "" said aramis , parodying jussac , "" it would afford us great pleasure to obey your polite invitation if it depended upon ourselves ; but unfortunately the thing is impossible -- monsieur de treville has forbidden it .",1
""" will not monsieur take any supper to - night ? """,3
""" ah , it 's you , is it , monsieur ? "" responded passepartout . "" thanks , yes , the passport is all right . """,10
""" monsieur , "" said the cardinal , "" are you a d’artagnan from bearn ? """,1
""" in africa ! "" repeated passepartout . "" just think , monsieur , i had no idea that we should go farther than paris ; and all that i saw of paris was between twenty minutes past seven and twenty minutes before nine in the morning , between the northern and the lyons stations , through the windows of a car , and in a driving rain ! how i regret not having seen once more pere la chaise and the circus in the champs elysees ! """,12
""" really , monsieur , you are very kind . """,3
""" you were recommended to monsieur de treville , were you not ? "" "" yes , monseigneur ; but in that unfortunate affair at meung-- """,5
""" my watch ? a family watch , monsieur , which has come down from my great - grandfather ! it does n't vary five minutes in the year . it 's a perfect chronometer , look you . """,8
"monsieur the governor was all astonishment . he told me he knew nothing about the matter , that the orders i had received did not come from him , and that if i had the audacity to mention his name as being concerned in this disturbance he would have me hanged .",0
""" i rather think so ! last friday at eight o'clock in the evening , monsieur fogg came home from his club , and three - quarters of an hour afterwards we were off . """,15
""" my gas - burner , which i forgot to turn off , and which is at this moment burning at my expense . i have calculated , monsieur , that i lose two shillings every four and twenty hours , exactly sixpence more than i earn ; and you will understand that the longer our journey-- """,28
""" more intrigues ! nothing but intrigues ! thank you , madame , i am aware of them now ; monsieur cardinal has enlightened me on that head . """,20
"passepartout , not less surprised , rushed out and speedily returned , crying : "" monsieur , no more railway ! """,15
""" monsieur , "" said the young woman , "" i know you to be cowardly , avaricious , and foolish , but i never till now believed you infamous ! """,1
""" monsieur , "" said m. de treville , "" we fancy that we have each cause to complain of the other , and i am come to endeavor to clear up this affair . """,1
""" why , monsieur , very ill indeed !",3
""" well , monsieur , let us go to him . let us adjure him , in the name of the god before whom he must perhaps appear , to speak the truth .",3
""" a fine pleasure , indeed , monsieur !",7
""" is it thus you perform your charge , monsieur ? "" continued the king , without directly replying to de treville ’s question . "" is it for this i name you captain of my musketeers , that they should assassinate a man , disturb a whole quarter , and endeavor to set fire to paris , without your saying a word ?",9
"meantime , monsieur , who knew that from one day to the other he might expect to be removed from his command by the duc d’angouleme , by bassompierre , or by schomberg , who were all eager for his post , did but little , lost his days in wavering , and did not dare to attempt any great enterprise to drive the english from the isle of re , where they still besieged the citadel st . martin and the fort of la pree , as on their side the french were besieging la rochelle .",2
"i have done this , and am , monsieur , with great respect ,",8
"monsieur a parle de vous : il m'a demande le nom de ma gouvernante , et si elle n'etait pas une petite personne , assez mince et un peu pale .",0
""" ah , monsieur ! "" stammered planchet , more dead than alive , "" ah , monsieur , what an escape i have had ! """,3
""" monsieur . """,1
""" yes , "" continued athos , "" four times only ; once at the house of monsieur crequy ; another time at my own house in the country , in my chateau at -- when i had a chateau ; a third time at monsieur de treville ’s where it surprised us all ; and the fourth time at a cabaret , where it fell to my lot , and where i lost a hundred louis and a supper on it . """,17
""" what ! "" cried the frenchman . "" has monsieur fogg dared -- fifty - five thousand pounds ! well , there 's all the more reason for not losing an instant , "" he continued , getting up hastily .",10
"the quarters of monsieur were at dompierre ; the quarters of the king were sometimes at estree , sometimes at jarrie ; the cardinal ’s quarters were upon the downs , at the bridge of la pierre , in a simple house without any entrenchment .",3
""" well , monsieur ? "" asked d’artagnan .",3
""" monsieur , i beg you to observe that i ask you absolutely nothing .",1
""" yes , monsieur , "" replied the citizen , giving a still fainter intonation to his voice .",3
""" the persons are here , monsieur . """,6
""" monsieur , je vous remercie mille fois de votre bonte ; "" then rising , she added , "" c'est comme cela que maman faisait , n'est - ce pas , monsieur ? """,1
""" monsieur , je vous remercie mille fois de votre bonte ; "" then rising , she added , "" c'est comme cela que maman faisait , n'est - ce pas , monsieur ? """,32
"the most preoccupied of the four friends was certainly d’artagnan , although he , in his quality of guardsman , would be much more easily equipped than messieurs the musketeers , who were all of high rank ; but our gascon cadet was , as may have been observed , of a provident and almost avaricious character , and with that ( explain the contradiction ) so vain as almost to rival porthos .",27
"if anyone wishes to stop us , i will show monsieur de treville ’s letter , and you will show your leaves of absence .",10
""" monsieur , john has just been to say that your agent has called and wishes to see you . """,1
""" ah , monsieur , "" said planchet , "" i saw one fall at each of his two shots , and he appeared to me , through the glass door , to be fighting with his sword with the others . """,3
""" monsieur , you appear to be in great haste ? """,1
""" monsieur , "" said he , "" as long as i hold him in this manner , he ca n’t cry , i ’ll be bound ; but as soon as i let go he will howl again .",1
""" eh , monsieur ! "" said he , addressing d’artagnan , "" do n’t you remember that face which is blinking yonder ? """,3
""" pardieu , monsieur , i ca n’t be more sure .",3
"at the first word milady turned , looking at the young man with astonishment ; and when he had finished , she said in very good french , "" monsieur , i should with great confidence place myself under your protection if the person with whom i quarrel were not my brother . """,29
""" well , monsieur , "" said he , "" you appear to be more stupid than i am , for you forget there is a little quarrel to arrange between us two . """,3
"come , monsieur , come ! "" and both set off towards the capital at full gallop .",2
""" monsieur . """,1
""" monsieur , monsieur ! "" cried a hostler , running out and looking after the stranger , "" monsieur , here is a paper which dropped out of your hat !",1
""" monsieur , monsieur ! "" cried a hostler , running out and looking after the stranger , "" monsieur , here is a paper which dropped out of your hat !",3
""" monsieur , monsieur ! "" cried a hostler , running out and looking after the stranger , "" monsieur , here is a paper which dropped out of your hat !",19
""" ah , monsieur ! "" said she , "" you have saved me ; permit me to thank you . """,3
""" oh , yes , monsieur , oh , yes ; and i hope to prove to you that you have not served an ingrate .",5
"then my dear monsieur bonacieux has not suspected me a single instant ? """,3
"but after all , "" resumed the abbess , "" monsieur cardinal has perhaps plausible motives for acting thus ; and though she has the look of an angel , we must not always judge people by the appearance . """,10
"the young woman and the young man , without taking the trouble to shut the door after them , descended the rue des fossoyeurs rapidly , turned into the rue des fosses - monsieur - le - prince , and did not stop till they came to the place st . sulpice .",33
""" voila , monsieur rochester , qui revient ! """,3
""" well ! "" said milady , embarrassed , "" i know monsieur de louvigny , monsieur de courtivron , monsieur de ferussac . """,16
the king came out first from his room . he was in a most elegant hunting costume ; and monsieur and the other nobles were dressed like him .,19
""" silence for monsieur porthos ’s idea ! "" said aramis .",3
""" well , "" replied athos , "" i am not far from approving the idea of monsieur porthos . """,17
""" can you not understand that monsieur d’artagnan , being my friend , might take me into his confidence ? """,6
