text,ind,sense,label
""" why did n’t the baron come himself ? "" demanded buckingham . "" i expected him this morning . """,18,"('morning', 'matin', 'mañana')",0
seven o’clock in the morning !,4,"('morning', 'matin', 'mañana')",0
""" a small vessel with an english crew , whose captain is on my side , awaits you at the mouth of charente , at fort of the point . he will set sail tomorrow morning . """,35,"('morning', 'matin', 'mañana')",0
"as to the rest , m. de treville had good reason to mistrust the cardinal and to think that all was not over , for scarcely had the captain of the musketeers closed the door after him , than his eminence said to the king , "" now that we are at length by ourselves , we will , if your majesty pleases , converse seriously . sire , buckingham has been in paris five days , and only left this morning . """,81,"('morning', 'matin', 'mañana')",0
""" thanks , my boy , "" replied harding ; "" it will do -- for this morning at least . """,17,"('morning', 'matin', 'mañana')",0
""" indeed , "" said the cardinal , "" whatever repugnance i may have to directing my mind to such a treason , your majesty compels me to think of it . madame de lannoy , whom , according to your majesty ’s command , i have frequently interrogated , told me this morning that the night before last her majesty sat up very late , that this morning she wept much , and that she was writing all day . """,53,"('morning', 'matin', 'mañana')",0
""" indeed , "" said the cardinal , "" whatever repugnance i may have to directing my mind to such a treason , your majesty compels me to think of it . madame de lannoy , whom , according to your majesty ’s command , i have frequently interrogated , told me this morning that the night before last her majesty sat up very late , that this morning she wept much , and that she was writing all day . """,68,"('morning', 'matin', 'mañana')",0
""" land ! "" shouted pencroft at about six o'clock in the morning .",12,"('morning', 'matin', 'mañana')",0
towards morning it rained ; the whole of the following day was wet .,1,"('morning', 'matin', 'mañana')",0
"at six o'clock in the morning , january 8 , i climbed onto the platform . the morning shadows were lifting . the island was soon on view through the dissolving mists , first its beaches , then its summits .",5,"('morning', 'matin', 'mañana')",0
"at six o'clock in the morning , january 8 , i climbed onto the platform . the morning shadows were lifting . the island was soon on view through the dissolving mists , first its beaches , then its summits .",17,"('morning', 'matin', 'mañana')",0
"five o'clock had hardly struck on the morning of the 19th of january , when bessie brought a candle into my closet and found me already up and nearly dressed .",7,"('morning', 'matin', 'mañana')",0
"so the skiff did n't leave shipside that day , much to the displeasure of mr . land who could n't complete his provisions . the adroit canadian spent his time preparing the meat and flour products he had brought from gueboroa island . as for the savages , they went back to shore near eleven o'clock in the morning , when the heads of coral began to disappear under the waves of the rising tide . but i saw their numbers swell considerably on the beach . it was likely that they had come from neighboring islands or from the mainland of papua proper . however , i did n't see one local dugout canoe .",59,"('morning', 'matin', 'mañana')",0
"they set out accordingly about ten o'clock in the morning , herbert confident , neb joyous , pencroft murmuring aside,--",9,"('morning', 'matin', 'mañana')",0
"pencroft and ayrton therefore set about the necessary preparations for the launching , which was to take place the morning of the next day , the 9th of march .",19,"('morning', 'matinée', 'mañana')",1
"the next day about nine o’clock in the morning , he landed at st . valery .",8,"('morning', 'matin', 'mañana')",0
""" oh , as to that , monseigneur , it is true , "" said athos ; "" we do conspire , as your eminence might have seen the other morning . only we conspire against the rochellais . """,30,"('morning', 'matin', 'mañana')",0
at six o'clock in the morning the little band set out .,5,"('morning', 'matin', 'mañana')",0
"the same evening the cardinal spoke to m. de treville of the exploit of the morning , which was the talk of the whole camp .",15,"('morning', 'matin', 'mañana')",0
"near two o'clock in the morning , i went to snatch a few hours of sleep . conseil did likewise . i did n't encounter captain nemo while going down the gangways . i assumed that he was keeping to the pilothouse .",5,"('morning', 'matin', 'mañana')",0
"the next day , march 19 , at five o'clock in the morning , i was back at my post in the lounge . the electric log indicated that the nautilus had reduced speed . by then it was rising to the surface , but cautiously , while slowly emptying its ballast tanks .",12,"('morning', 'matin', 'mañana')",0
"you sent me a strange madman this morning ! see the state in which he has put me . """,7,"('morning', 'matin', 'mañana')",0
"that night my sleep was fitful . hope and fear besieged me by turns . i got up several times . the nautilus continued groping . near three o'clock in the morning , i observed that we encountered the ice bank 's underbelly at a depth of only fifty meters . so only 150 feet separated us from the surface of the water . little by little the ice bank was turning into an ice field again . the mountains were changing back into plains .",31,"('morning', 'matin', 'mañana')",0
""" i took advantage of a moment when they left me alone ; and as i had known since morning the reason of my abduction , with the help of the sheets i let myself down from the window . then , as i believed my husband would be at home , i hastened hither . """,19,"('morning', 'matin', 'mañana')",0
""" early to - morrow morning , sir . """,5,"('morning', 'matin', 'mañana')",0
"m de treville received him as if he had seen him that same morning ; only , when pressing his hand a little more warmly than usual , he informed him that the company of dessessart was on duty at the louvre , and that he might repair at once to his post .",13,"('morning', 'matin', 'mañana')",0
