text,ind
"the next morning , when kitty presented herself at d’artagnan ’s , she was no longer joyous and alert as on the two preceding days ; but on the contrary sad as death .",2
""" good morning , miss adela , "" said mrs . fairfax .",2
"the next morning , when d’artagnan entered aramis ’s chamber , he found him at the window .",2
""" mason got the start of you all this morning ; he was gone before sunrise : i rose at four to see him off . """,9
"the moon was set , and it was very dark ; bessie carried a lantern , whose light glanced on wet steps and gravel road sodden by a recent thaw . raw and chill was the winter morning : my teeth chattered as i hastened down the drive .",37
"at sunrise the next morning , february 12 , the nautilus rose to the surface of the waves . i rushed onto the platform . the hazy silhouette of pelusium was outlined three miles to the south . a torrent had carried us from one sea to the other . but although that tunnel was easy to descend , going back up must have been impossible .",4
"that same evening m. de treville announced this good news to the three musketeers and d’artagnan , inviting all four to breakfast with him next morning .",25
"the morning came , however , without the convicts having attempted any attack .",1
"by - the - bye , how have you got on with your new pupil this morning ? """,16
"however , near midnight it disappeared , or to use a more appropriate expression , "" it went out , "" like a huge glowworm . had it fled from us ? we were duty bound to fear so rather than hope so . but at 12:53 in the morning , a deafening hiss became audible , resembling the sound made by a waterspout expelled with tremendous intensity .",49
"at six o'clock day began to break , and with the dawn 's early light , the narwhale 's electric glow disappeared . at seven o'clock the day was well along , but a very dense morning mist shrank the horizon , and our best spyglasses were unable to pierce it . the outcome : disappointment and anger .",36
"the three friends -- for , as we have said , athos had sworn not to stir a foot to equip himself -- went out early in the morning , and returned late at night .",28
"at the first sound of the morning trumpet the friends separated ; the musketeers hastening to the hotel of m. de treville , the guards to that of m. dessessart .",6
"early in the morning on november 11 , fresh air poured through the nautilus 's interior , informing me that we had returned to the surface of the ocean to renew our oxygen supply . i headed for the central companionway and climbed onto the platform .",3
""" perhaps you had , miss : but she often talks in this way towards night -- in the morning she is calmer . """,19
"breakfast - time came at last , and this morning the porridge was not burnt ; the quality was eatable , the quantity small .",9
"mr . rochester , it seems , by the surgeon 's orders , went to bed early that night ; nor did he rise soon next morning .",26
"very early the next morning i heard him up and astir , wandering from one room to another .",4
"unfortunately , the hour was badly chosen for a private conference . the morning drum had just been beaten ; everyone shook off the drowsiness of night , and to dispel the humid morning air , came to take a drop at the inn . dragoons , swiss , guardsmen , musketeers , light - horsemen , succeeded one another with a rapidity which might answer the purpose of the host very well , but agreed badly with the views of the four friends .",13
""" for _ you _ i have no doubt it is . i observed you in your class this morning , and saw you were closely attentive : your thoughts never seemed to wander while miss miller explained the lesson and questioned you .",19
"accordingly , that same evening milady commenced her journey . night overtook her ; she stopped , and slept at an inn . at five o’clock the next morning she again proceeded , and in three hours after entered bethune .",28
"at nine o’clock the next morning , the drums beat to arms .",5
"you had better send word , sir , that you will be there in the morning . """,15
