text,ind
"we went ; following the superintendent 's guidance , we had to thread some intricate passages , and mount a staircase before we reached her apartment ; it contained a good fire , and looked cheerful .",18
"the ropes which held the car were cut , and the balloon , after its fall , mounted 2,000 feet .",17
""" it 's a conspiracy , then , "" cried passepartout , who became more and more excited as the liquor mounted in his head , for he drank without perceiving it . "" a real conspiracy ! and gentlemen , too . bah ! """,21
"meanwhile , all things considered and notwithstanding his suspicions , as the wound might be serious , he immediately sent off a mounted man to find a physician .",22
"i was transported in thought to the scenes of childhood : i dreamt i lay in the red - room at gateshead ; that the night was dark , and my mind impressed with strange fears . the light that long ago had struck me into syncope , recalled in this vision , seemed glidingly to mount the wall , and tremblingly to pause in the centre of the obscured ceiling .",56
"however ill our two friends were mounted , they were soon far in advance of their servants , and arrived at creveccoeur .",6
"now , one evening when d’artagnan , who was in the trenches , was not able to accompany them , athos , porthos , and aramis , mounted on their battle steeds , enveloped in their war cloaks , with their hands upon their pistol butts , were returning from a drinking place called the red dovecot , which athos had discovered two days before upon the route to jarrie , following the road which led to the camp and quite on their guard , as we have stated , for fear of an ambuscade , when , about a quarter of a league from the village of boisnau , they fancied they heard the sound of horses approaching them . they immediately all three halted , closed in , and waited , occupying the middle of the road . in an instant , and as the moon broke from behind a cloud , they saw at a turning of the road two horsemen who , on perceiving them , stopped in their turn , appearing to deliberate whether they should continue their route or go back .",27
""" certes , "" cried athos , "" you are the best - mounted poet of france or navarre . """,13
""" certainly , "" said pencroft , "" a beast of burden would be very useful to us until the captain has made a steam cart , or even an engine , for some day we shall have a railroad from granite house to port balloon , with a branch line to mount franklin ! """,52
""" good heaven ! that is enough to drive away all my pains ; i could mount him with thirty balls in my body .",16
"away with evil presentiment ! it was he : here he was , mounted on mesrour , followed by pilot .",13
"then it became the turn of athos , porthos , and aramis to mount guard with d’artagnan when he was on duty . the company of m. le chevalier dessessart thus received four instead of one when it admitted d’artagnan .",13
"at the same time , aramis made his appearance at the other end of the street upon a superb english charger . bazin followed him upon a roan , holding by the halter a vigorous mecklenburg horse ; this was d’artagnan ’s mount .",42
""" my friend , aramis , here , has received a slight sword wound in the arm , but not enough to prevent him , as your eminence may see , from mounting to the assault tomorrow , if your eminence orders an escalade . """,32
"after a season of darkness and struggling , light broke and relief fell : my cramped existence all at once spread out to a plain without bounds -- my powers heard a call from heaven to rise , gather their full strength , spread their wings , and mount beyond ken .",48
"as i said , commander farragut had carefully equipped his ship with all the gear needed to fish for a gigantic cetacean . no whaling vessel could have been better armed . we had every known mechanism , from the hand - hurled harpoon , to the blunderbuss firing barbed arrows , to the duck gun with exploding bullets . on the forecastle was mounted the latest model breech - loading cannon , very heavy of barrel and narrow of bore , a weapon that would figure in the universal exhibition of 1867 . made in america , this valuable instrument could fire a four - kilogram conical projectile an average distance of sixteen kilometers without the least bother .",64
""" i can not tell ; but we must be ready for anything . we are mounting at a speed which seems to me of fourteen feet in a second , or ten miles an hour . at this rate we shall get on . """,16
"a man , enveloped in a cloak , came out immediately , and exchanged some rapid words with the cardinal ; after which he mounted his horse , and set off in the direction of surgeres , which was likewise the way to paris .",24
"a river there was called the mercy , a mountain took the name of mount franklin , a small lake was named lake grant , and the forests became the forests of the far west .",14
""" well , agreed for a pretty mule , "" said porthos ; "" you are right , i have seen very great spanish nobles whose whole suite were mounted on mules .",29
"the next day , when felton entered milady ’s apartment he found her standing , mounted upon a chair , holding in her hands a cord made by means of torn cambric handkerchiefs , twisted into a kind of rope one with another , and tied at the ends . at the noise felton made in entering , milady leaped lightly to the ground , and tried to conceal behind her the improvised cord she held in her hand .",15
""" but , "" i went on , "" once these parts were manufactured , did n't they have to be mounted and adjusted ? """,21
"every other day one of the settlers , driving the cart or mounted on an onager , went to look after the flock of musmons and goats and bring back the supply of milk required by neb .",12
"the telescope , a formidable instrument mounted upon a tripod , stood upon the flat leads of the house . frankland clapped his eye to it and gave a cry of satisfaction .",6
"as a last scene , a "" human pyramid "" had been announced , in which fifty long noses were to represent the car of juggernaut . but , instead of forming a pyramid by mounting each other 's shoulders , the artists were to group themselves on top of the noses . it happened that the performer who had hitherto formed the base of the car had quitted the troupe , and as , to fill this part , only strength and adroitness were necessary , passepartout had been chosen to take his place .",35
"i honour endurance , perseverance , industry , talent ; because these are the means by which men achieve great ends and mount to lofty eminence .",22
"arriving at the faubourg st . antoine , he turned round to look gaily at the bastille ; but as it was the bastille alone he looked at , he did not observe milady , who , mounted upon a light chestnut horse , designated him with her finger to two ill - looking men who came close up to the ranks to take notice of him .",37
"a steep curve of heath - clad land , an outlying spur of the moor , lay in front of us . on the summit , hard and clear like an equestrian statue upon its pedestal , was a mounted soldier , dark and stern , his rifle poised ready over his forearm . he was watching the road along which we travelled .",39
"but pencroft was such a zealous master , that top ended by properly performing his ascents , and soon mounted the ladder as readily as his brethren in the circus .",19
"i mounted into the window- seat : gathering up my feet , i sat cross - legged , like a turk ; and , having drawn the red moreen curtain nearly close , i was shrined in double retirement .",1
"we mounted the first staircase , passed up the gallery , proceeded to the third storey : the low , black door , opened by mr . rochester 's master - key , admitted us to the tapestried room , with its great bed and its pictorial cabinet .",1
"the last two mounted guard at the door during this examination ; then , when all was over , they went away , leaving the house empty and exposed . """,3
"ere long , with the servant 's aid , i contrived to mount a staircase ; my dripping clothes were removed ; soon a warm , dry bed received me .",12
"i mounted to my chamber ; locked myself in ; fell on my knees ; and prayed in my way -- a different way to st . john 's , but effective in its own fashion . i seemed to penetrate very near a mighty spirit ; and my soul rushed out in gratitude at his feet .",1
"and so , notwithstanding his wish to the contrary , herbert was exempted from guard . pencroft and gideon spilett in one party , the engineer and neb in another , mounted guard in turns over the camp .",31
"_ april _ 16.—i finished the ladder ; so i went up the ladder to the top , and then pulled it up after me , and let it down in the inside . this was a complete enclosure to me ; for within i had room enough , and nothing could come at me from without , unless it could first mount my wall .",62
"d’artagnan and planchet mounted , and took the road to st . germain .",3
d’artagnan had his sword and placed two pistols in his belt ; then both mounted and departed quietly .,14
"imprudently , therefore , we pursue our way . the nearer we approach , the higher mounts the jet of water . what monster can possibly fill itself with such a quantity of water , and spurt it up so continuously ?",16
""" well ! the carriage is at the door ; you bid me adieu ; you mount the step to embrace me a last time ; my brother ’s servant , who comes to fetch me , is told how to proceed ; he makes a sign to the postillion , and we set off at a gallop . """,16
"however , during the day of march 16 , these tracts of ice completely barred our path . it was n't the ice bank as yet , just huge ice fields cemented together by the cold . this obstacle could n't stop captain nemo , and he launched his ship against the ice fields with hideous violence . the nautilus went into these brittle masses like a wedge , splitting them with dreadful cracklings . it was an old - fashioned battering ram propelled with infinite power . hurled aloft , ice rubble fell back around us like hail . through brute force alone , the submersible carved out a channel for itself . carried away by its momentum , the ship sometimes mounted on top of these tracts of ice and crushed them with its weight , or at other times , when cooped up beneath the ice fields , it split them with simple pitching movements , creating wide punctures .",123
"for five days he toiled footsore and weary through the defiles which he had already traversed on horseback . at night he flung himself down among the rocks , and snatched a few hours of sleep ; but before daybreak he was always well on his way . on the sixth day , he reached the eagle cañon , from which they had commenced their ill - fated flight . thence he could look down upon the home of the saints . worn and exhausted , he leaned upon his rifle and shook his gaunt hand fiercely at the silent widespread city beneath him . as he looked at it , he observed that there were flags in some of the principal streets , and other signs of festivity . he was still speculating as to what this might mean when he heard the clatter of horse 's hoofs , and saw a mounted man riding towards him . as he approached , he recognized him as a mormon named cowper , to whom he had rendered services at different times . he therefore accosted him when he got up to him , with the object of finding out what lucy ferrier 's fate had been .",153
"now , i have confessed to these learned ecclesiastics , and that in all humility , that the duties of mounting guard and the service of the king have caused me to neglect study a little .",20
"in the meanwhile top was ordered to mount guard below the windows of granite house , and when top received an order he obeyed it without any questioning .",7
"i assented gladly , and we all descended together . our prisoner made no attempt at escape , but stepped calmly into the cab which had been his , and we followed him . lestrade mounted the box , whipped up the horse , and brought us in a very short time to our destination . we were ushered into a small chamber where a police inspector noted down our prisoner 's name and the names of the men with whose murder he had been charged . the official was a white - faced unemotional man , who went through his duties in a dull mechanical way . "" the prisoner will be put before the magistrates in the course of the week , "" he said ; "" in the mean time , mr . jefferson hope , have you anything that you wish to say ? i must warn you that your words will be taken down , and may be used against you . """,35
"in the morning , as he was mounting his horse , d’artagnan , who felt at the bottom of his heart a partiality for the duke , took planchet aside .",7
"in this manner i set out from lisbon ; and our company being very well mounted and armed , we made a little troop , whereof they did me the honour to call me captain , as well because i was the oldest man , as because i had two servants , and , indeed , was the origin of the whole journey .",15
i felt a burning glow mount to my face ; for bitter and agitating recollections were awakened by the allusion to marriage .,5
"cacambo , who had seen many of this kind of adventures , was not discouraged . he stripped the baron of his jesuit 's habit and put it upon candide , then gave him the dead man 's three - cornered cap and made him mount on horseback . all this was done as quick as thought .",45
"there was i , then , mounted aloft ; i , who had said i could not bear the shame of standing on my natural feet in the middle of the room , was now exposed to general view on a pedestal of infamy .",6
"this was not the first attempt of these daring indians , for more than once they had waylaid trains on the road . a hundred of them had , according to their habit , jumped upon the steps without stopping the train , with the ease of a clown mounting a horse at full gallop .",49
