text,ind
""" how are you to - night , helen ? have you coughed much to - day ? """,6
""" but you two are my visitors to - night ; i must treat you as such . """,9
""" the man was elderly and infirm . we can understand his taking an evening stroll , but the ground was damp and the night inclement . is it natural that he should stand for five or ten minutes , as dr . mortimer , with more practical sense than i should have given him credit for , deduced from the cigar ash ? """,24
""" i shall gather manna for her morning and night : the plains and hillsides in the moon are bleached with manna , adele . """,9
it was a superb moonlight night .,5
""" i think it unlikely that he waited at the moor - gate every evening . on the contrary , the evidence is that he avoided the moor . that night he waited there . it was the night before he made his departure for london . the thing takes shape , watson . it becomes coherent . might i ask you to hand me my violin , and we will postpone all further thought upon this business until we have had the advantage of meeting dr . mortimer and sir henry baskerville in the morning . """,38
"he conjured the evil spirit with abundance of prayers offered up by the monks . but the devil does not suffer himself to be easily dispossessed from a place in which he has fixed his garrison . in proportion as they redoubled the exorcisms he redoubled the temptations ; so that day and night the bell was ringing full swing , announcing the extreme desire for mortification which the penitent experienced .",53
""" well , mislaid it , anyhow . i put them both outside my door last night , and there was only one in the morning . i could get no sense out of the chap who cleans them . the worst of it is that i only bought the pair last night in the strand , and i have never had them on . """,16
""" well , mislaid it , anyhow . i put them both outside my door last night , and there was only one in the morning . i could get no sense out of the chap who cleans them . the worst of it is that i only bought the pair last night in the strand , and i have never had them on . """,52
"after supper , he began to ask me many questions , of where i had been , what i had been doing , how i had found him out ; but i gave him only very partial replies : it was too late to enter into particulars that night .",48
"doing nothing , expecting nothing ; merging night in day ; feeling but the sensation of cold when i let the fire go out , of hunger when i forgot to eat : and then a ceaseless sorrow , and , at times , a very delirium of desire to behold my jane again . yes : for her restoration i longed , far more than for that of my lost sight .",7
""" so far you 've visited the ocean depths only by day and under sunlight . would you like to see these depths on a dark night ? """,26
""" good - night , jane . """,3
"but , as roarings of rather a suspicious nature had been heard during the evening , a good fire was made up for the night , so as to protect the sleepers with its crackling flames .",24
"good night . """,1
"miss gryce snored at last ; she was a heavy welshwoman , and till now her habitual nasal strains had never been regarded by me in any other light than as a nuisance ; to - night i hailed the first deep notes with satisfaction ; i was debarrassed of interruption ; my half - effaced thought instantly revived .",36
"one day solon was conversing with some elderly wise men in the egyptian capital of sais , a town already 8,000 years of age , as documented by the annals engraved on the sacred walls of its temples . one of these elders related the history of another town 1,000 years older still . this original city of athens , ninety centuries old , had been invaded and partly destroyed by the atlanteans . these atlanteans , he said , resided on an immense continent greater than africa and asia combined , taking in an area that lay between latitude 12 degrees and 40 degrees north . their dominion extended even to egypt . they tried to enforce their rule as far as greece , but they had to retreat before the indomitable resistance of the hellenic people . centuries passed . a cataclysm occurred -- floods , earthquakes . a single night and day were enough to obliterate this atlantis , whose highest peaks ( madeira , the azores , the canaries , the cape verde islands ) still emerge above the waves .",152
