text,ind
it is useless to say that the darkest corners of the passages were ransacked before they were obliged to give it up in despair .,17
"after clearing the outer belt of rocks via a narrow passageway , the nautilus lay inside the breakers where the sea had a depth of thirty to forty fathoms . under the green shade of some tropical evergreens , i spotted a few savages who looked extremely startled at our approach . in this long , blackish object advancing flush with the water , did n't they see some fearsome cetacean that they were obliged to view with distrust ?",74
"pencroft was soon obliged to sail close - hauled , and without saying anything about it he began to be uneasy at the state of the sea , which frequently broke over the bows .",3
i was obliged to recall him to a theme which was of necessity one of close and anxious interest to me .,2
""" he appears young , and will be easy to educate , and we shall not be obliged to use force to subdue him , nor draw his teeth , as is sometimes done .",17
"fix did not look at the state of things in the same light . the storm greatly pleased him . his satisfaction would have been complete had the rangoon been forced to retreat before the violence of wind and waves . each delay filled him with hope , for it became more and more probable that fogg would be obliged to remain some days at hong kong ; and now the heavens themselves became his allies , with the gusts and squalls . it mattered not that they made him sea - sick -- he made no account of this inconvenience ; and , whilst his body was writhing under their effects , his spirit bounded with hopeful exultation .",59
""" now , "" continued aramis , "" as the ladies did not see the singer come back , and as he was found in the rue payenne with a great sword wound through his body , it was supposed that i had accommodated him thus ; and the matter created some scandal which obliged me to renounce the cassock for a time .",54
"but all my fortune is in england . communication being closed by the war , i was in want of everything . i was then obliged to come back again . six days ago , i landed at portsmouth . """,25
"chance had strangely favoured phileas fogg , for had not the carnatic been forced to lie over for repairing her boilers , she would have left on the 6th of november , and the passengers for japan would have been obliged to await for a week the sailing of the next steamer . mr . fogg was , it is true , twenty - four hours behind his time ; but this could not seriously imperil the remainder of his tour .",40
"however , they were obliged to give up , for this night at least , the attempt to procure fire .",4
"the settlers in lincoln island had now regained their dwelling , without having been obliged to reach it by the old opening , and were therefore spared the trouble of mason 's work .",14
"copper was absolutely wanting to the engineer , who , notwithstanding all his researches , had never been able to find any trace of it in lincoln island , and was therefore obliged to do without it .",32
""" i had better not pass my word : i might be obliged to break it . """,12
"mr . rochester obliged me to go to a certain silk warehouse : there i was ordered to choose half - a - dozen dresses . i hated the business , i begged leave to defer it : no -- it should be gone through with now .",3
"his narrative was short , yet he was obliged to summon up his whole remaining energy to arrive at the end .",8
"by day they did nothing but ascend and descend the steps which led to the chapel ; at night , in addition to complines and matins , they were further obliged to leap twenty times out of their beds and prostrate themselves on the floor of their cells .",30
"it was both fatigue spared and time gained , for they would have been obliged to cut a path through the thick wood with their axes .",14
""" oh , from some heartbroken waiting woman , some desponding grisette ; from madame de chevreuse ’s chambermaid , perhaps , who was obliged to return to tours with her mistress , and who , in order to appear smart and attractive , stole some perfumed paper , and sealed her letter with a duchess ’s coronet . """,24
"the explorers were , however , obliged to content themselves with bows and arrows .",6
"pencroft knew fifty ways of cooking eggs , but this time he had no choice , and was obliged to content himself with roasting them under the hot cinders .",18
"the juncture was favorable . the english , who require , above everything , good living in order to be good soldiers , only eating salt meat and bad biscuit , had many invalids in their camp . still further , the sea , very rough at this period of the year all along the sea coast , destroyed every day some little vessel ; and the shore , from the point of l’aiguillon to the trenches , was at every tide literally covered with the wrecks of pinnacles , roberges , and feluccas . the result was that even if the king ’s troops remained quietly in their camp , it was evident that some day or other , buckingham , who only continued in the isle from obstinacy , would be obliged to raise the siege .",133
"the english , repulsed foot by foot , beaten in all encounters , and defeated in the passage of the isle of loie , were obliged to re - embark , leaving on the field of battle two thousand men , among whom were five colonels , three lieutenant colonels , two hundred and fifty captains , twenty gentlemen of rank , four pieces of cannon , and sixty flags , which were taken to paris by claude de st . simon , and suspended with great pomp in the arches of notre dame .",25
""" o pangloss ! "" cried out candide , "" such horrid doings never entered thy imagination . here is an end of the matter . i find myself , after all , obliged to renounce thy optimism . """,33
"the wind was unfavourable to a species of launch not calculated for shallow water . in many places we were obliged to push ourselves along with iron - pointed sticks . often the sunken rocks just beneath the surface obliged us to deviate from our straight course . at last , after three hours ' sailing , about six in the evening we reached a place suitable for our landing . i jumped ashore , followed by my uncle and the icelander . this short passage had not served to cool my ardour . on the contrary , i even proposed to burn ' our ship , ' to prevent the possibility of return ; but my uncle would not consent to that . i thought him singularly lukewarm .",20
"the wind was unfavourable to a species of launch not calculated for shallow water . in many places we were obliged to push ourselves along with iron - pointed sticks . often the sunken rocks just beneath the surface obliged us to deviate from our straight course . at last , after three hours ' sailing , about six in the evening we reached a place suitable for our landing . i jumped ashore , followed by my uncle and the icelander . this short passage had not served to cool my ardour . on the contrary , i even proposed to burn ' our ship , ' to prevent the possibility of return ; but my uncle would not consent to that . i thought him singularly lukewarm .",39
i was obliged to pick it up in order not to compromise him and the lady he loves .,2
"words might be heard at a distance through all these open doors . then , while passing , he had cast a rapid , investigating glance into the kitchen ; and he was obliged to confess to himself , to the shame of the procurator ’s wife and his own regret , that he did not see that fire , that animation , that bustle , which when a good repast is on foot prevails generally in that sanctuary of good living .",33
""" no violence will be offered to you , madame , and what happens to you is the result of a very simple measure which we are obliged to adopt with all who land in england . """,27
""" but an incident , "" i replied , "" that may oblige you to become a resident again of these shores you avoid ! """,12
"i have proof that her majesty , notwithstanding her excellent heart , has more than once been obliged to abandon to the anger of his eminence persons who had served her . "" "" trust me , madame ; the queen may appear to have abandoned those persons , but we must not put faith in appearances .",17
""" to oblige you , neb , i will , "" replied the reporter ; "" but i warn you that if you disclose your recipes to me , i shall publish them . """,2
""" in a quarter of an hour , "" said the sailor , "" we shall be obliged to stop , captain . """,17
"even the couroucous were invisible , and it was probable that the sailor would be obliged to return to the marshy part of the forest , in which he had so happily performed his grouse fishing .",15
but so irregular was the formation of the valleys that cyrus harding was obliged to conduct the exploration in a strictly methodical manner .,13
""" if , "" said i , "" you would just step upstairs and tell her i am come , i should be much obliged to you . """,24
"in certain parts of the cone there were glaciers . here hans advanced only with extreme precaution , sounding his way with his iron - pointed pole , to discover any crevasses in it . at particularly dubious passages we were obliged to connect ourselves with each other by a long cord , in order that any man who missed his footing might be held up by his companions . this solid formation was prudent , but did not remove all danger .",41
"however , although these passages appeared to be absolutely deserted , and the obscurity was complete , cyrus harding was obliged to confess that absolute silence did not reign there .",20
"the colonists were soon obliged to fight at close quarters , not without receiving some wounds , though happily very slight ones .",4
"ayrton was , therefore , more than once obliged to halt .",8
"the attention which we have been obliged to give , during the commencement of the chapter , to the illustrious personages we have introduced into it , has diverted us for an instant from him to whom anne of austria owed the extraordinary triumph she had obtained over the cardinal ; and who , confounded , unknown , lost in the crowd gathered at one of the doors , looked on at this scene , comprehensible only to four persons -- the king , the queen , his eminence , and himself .",6
""" but i shall be obliged to burn her . """,5
""" there are no more , "" said she ; and i put it in my pocket and turned my face homeward : i could not open it then ; rules obliged me to be back by eight , and it was already half - past seven .",31
""" well , mr . fix , "" replied the consul , "" i shall not be sorry to see the rascal 's face ; but perhaps he wo n't come here -- that is , if he is the person you suppose him to be . a robber does n't quite like to leave traces of his flight behind him ; and , besides , he is not obliged to have his passport countersigned . """,69
"these conditions being agreed to , porthos took leave of mme . coquenard . the latter wished to detain him by darting certain tender glances ; but porthos urged the commands of duty , and the procurator ’s wife was obliged to give place to the king . the musketeer returned home hungry and in bad humor .",40
"still the temperature kept rising , and i felt myself steeped in a broiling atmosphere . i could only compare it to the heat of a furnace at the moment when the molten metal is running into the mould . gradually we had been obliged to throw aside our coats and waistcoats , the lightest covering became uncomfortable and even painful .",44
