text,sense,label,ind,new_label
"while they were thus occupied , their companions went to the border of jacamar wood , and brought back a large quantity of branches and creepers , which would at some distance appear as natural foliage , and thus disguise the windows in the granite cliff .","('occupy', 'occuper', 'ocupar')",0,4,0
"it did not take more than a few days to perform this work , and indeed as soon as the machine had been commenced , cyrus harding left his companions to follow the trade of wiredrawers , and occupied himself with manufacturing his battery .","('occupy', 'occuper', 'ocupar')",0,38,0
"the castaway of tabor island , to the great pity of the engineer and the great astonishment of neb , was then brought from the cabin which he occupied in the fore part of the "" bonadventure "" ; when once on land he manifested a wish to run away .","('occupy', 'occuper', 'ocupar')",0,28,0
"therefore , one idea occupied his mind -- to leave the corral , and when !","('occupy', 'occuper', 'ocupar')",0,4,0
"as next to the queen , she was the most considerable personage of the fete , she was received by the city officials , and placed in a box opposite to that which the queen was to occupy .","('occupy', 'occuper', 'ocupar')",0,37,0
"the poultry - yard occupied an area of two hundred square yards , on the southeastern bank of the lake .","('occupy', 'occuper', 'ocupar')",0,4,0
""" what about these composers ? "" i said , pointing to sheet music by weber , rossini , mozart , beethoven , haydn , meyerbeer , hérold , wagner , auber , gounod , victor massé , and a number of others scattered over a full size piano - organ , which occupied one of the wall panels in this lounge .","('occupy', 'occuper', 'ocupar')",0,53,0
"all the rest of the furniture indicated that the dweller in this house occupied himself with the study of natural science . there were large bottles filled with serpents , ticketed according to their species ; dried lizards shone like emeralds set in great squares of black wood , and bunches of wild odoriferous herbs , doubtless possessed of virtues unknown to common men , were fastened to the ceiling and hung down in the corners of the apartment .","('occupy', 'occuper', 'ocupar')",0,13,0
"he came and worked near him , and occupied himself in different things , so as to fix his attention .","('occupy', 'occuper', 'ocupar')",0,8,0
"the opposite shore appeared to be more uneven , and the valley of which the river occupied the bottom was more clearly visible .","('occupy', 'occuper', 'ocupar')",0,16,0
"cyrus harding and pencroft went to the room occupied by the stranger , who was found lying near the window and gazing at the sky .","('occupy', 'occuper', 'ocupar')",0,8,0
"from the black markings on the tips of its fins , i recognized the dreadful squalus melanopterus from the seas of the east indies , a variety in the species of sharks proper . it was more than twenty - five feet long ; its enormous mouth occupied a third of its body . it was an adult , as could be seen from the six rows of teeth forming an isosceles triangle in its upper jaw .","('occupy', 'occuper', 'ocupar')",0,47,0
he who at the moment occupied the upper step kept his adversaries marvelously in check .,"('occupy', 'occuper', 'ocupar')",0,5,0
"on the left , the sight extended several miles to the north ; but , on the northwest , at the point occupied by the explorers , it was cut short by the ridge of a fantastically - shaped spur , which formed a powerful support of the central cone .","('occupy', 'occuper', 'ocupar')",0,22,0
"master jup had not been forgotten , and he occupied a room at the back , near the storeroom , a sort of cabin with a cot always full of good litter , which perfectly suited his taste .","('occupy', 'occuper', 'ocupar')",0,9,0
the other three were occupied in opening an enormous flagon of collicure wine ; these were the lackeys of these gentlemen .,"('occupy', 'occuper', 'ocupar')",0,4,0
"these rooms , or rather this suite of rooms , would not occupy all the depth of the cave .","('occupy', 'occuper', 'ocupar')",0,12,0
"the four crossed the public room and proceeded to take possession of the best apartment in the house , which d’artagnan occupied with authority .","('occupy', 'occuper', 'ocupar')",0,21,0
"in the meanwhile , the pirates who occupied the islet had gradually advanced to the opposite shore , and were now only separated from the mainland by the channel .","('occupy', 'occuper', 'ocupar')",0,7,0
"while the sailor , seconded by the engineer , thus occupied himself without losing an hour , gideon spilett and herbert were not idle .","('occupy', 'occuper', 'ocupar')",0,10,0
""" but if these papuans are occupying the platform at that moment , i do n't see how you can prevent them from entering . ""","('occupy', 'occuper', 'ocupar')",0,6,0
over all this immense space the ocean alone was visible -- the island occupied the center of a circumference which appeared to be infinite .,"('occupy', 'occuper', 'ocupar')",0,13,0
"when these interior arrangements were finished , the engineer occupied himself in blocking up the outlet by the lake , so as to prevent any access by that way .","('occupy', 'occuper', 'ocupar')",0,9,0
"for two hours , cyrus harding and his companions were solely occupied in hauling up the spars on to the sand , and then in spreading the sails which were perfectly uninjured , to dry .","('occupy', 'occuper', 'ocupar')",0,11,0
"the stranger , however , had seen nothing of his new dwelling , and he had allowed the settlers to work there without him , while he occupied himself on the plateau , wishing , doubtless , to put the finishing stroke to his work .","('occupy', 'occuper', 'ocupar')",0,27,0
"at half - past eight the door opened , the policeman appeared , and , requesting them to follow him , led the way to an adjoining hall . it was evidently a court - room , and a crowd of europeans and natives already occupied the rear of the apartment .","('occupy', 'occuper', 'ocupar')",0,45,0
""" it appears , "" said the baron , seating himself in the armchair opposite that occupied by milady , and stretching out his legs carelessly upon the hearth , "" it appears we have made a little apostasy ! ""","('occupy', 'occuper', 'ocupar')",0,16,0
