text,ind,sense,label
"the officers perceived that they had not to deal with a gentleman , and they treated him like a very peasant .",1,"('officer', 'sbire', 'esbirro')",0
"ladies , ’ said the officer , ’ do not disturb yourselves ; allow me time just to kill this gentleman , and i will return and finish the last couplet . ’",5,"('officer', 'officier', 'oficial')",1
""" confounded brute ! "" cried the unhorsed horseman , suddenly degraded into a pedestrian , just as ashamed as a cavalry officer degraded to a foot soldier .",22,"('officer', 'officier', 'oficial')",1
"this boat contained an officer , a mate , and eight rowers . the officer alone went on board , where he was received with all the deference inspired by the uniform .",4,"('officer', 'officier', 'oficial')",1
"when this species of summons was made the officer inquired aloud the point of the brig ’s departure , its route , its landings ; and to all these questions the captain replied without difficulty and without hesitation .",8,"('officer', 'officier', 'official')",2
"then the officer began to pass in review all the people , one after the other , and stopping when he came to milady , surveyed her very closely , but without addressing a single word to her .",2,"('officer', 'officier', 'official')",2
"this accident happened around five o'clock in the morning , just as day was beginning to break . the officers on watch rushed to the craft 's stern . they examined the ocean with the most scrupulous care . they saw nothing except a strong eddy breaking three cable lengths out , as if those sheets of water had been violently churned . the site 's exact bearings were taken , and the moravian continued on course apparently undamaged . had it run afoul of an underwater rock or the wreckage of some enormous derelict ship ? they were unable to say . but when they examined its undersides in the service yard , they discovered that part of its keel had been smashed .",19,"('officer', 'officier', 'oficial')",1
"on the 23rd , several officers circled the island and brought back some rubble of little importance . the natives , adopting a system of denial and evasion , refused to guide them to the site of the casualty . this rather shady conduct aroused the suspicion that the natives had mistreated the castaways ; and in truth , the natives seemed afraid that dumont d'urville had come to avenge the count de la pérouse and his unfortunate companions .",5,"('officer', 'officier', 'oficial')",1
"the officer who had stopped in front of her and studied her with so much care might have been twenty - five or twenty - six years of age . he was of pale complexion , with clear blue eyes , rather deeply set ; his mouth , fine and well cut , remained motionless in its correct lines ; his chin , strongly marked , denoted that strength of will which in the ordinary britannic type denotes mostly nothing but obstinacy ; a brow a little receding , as is proper for poets , enthusiasts , and soldiers , was scarcely shaded by short thin hair which , like the beard which covered the lower part of his face , was of a beautiful deep chestnut color .",1,"('officer', 'officier', 'official')",2
"the officer desired to have milady ’s packages pointed out to him , and ordered them to be placed in the boat . when this operation was complete , he invited her to descend by offering her his hand .",1,"('officer', 'officier', 'official')",2
""" but is it the custom for the officers in the english navy to place themselves at the service of their female compatriots when they land in a port of great britain , and carry their gallantry so far as to conduct them ashore ? """,8,"('officer', 'officier', 'oficial')",1
"accepting the hand of the officer , she began the descent of the ladder , at the foot of which the boat waited .",5,"('officer', 'officier', 'official')",2
"the officer followed her . a large cloak was spread at the stern ; the officer requested her to sit down upon this cloak , and placed himself beside her .",1,"('officer', 'officier', 'oficial')",1
"the officer followed her . a large cloak was spread at the stern ; the officer requested her to sit down upon this cloak , and placed himself beside her .",15,"('officer', 'officier', 'official')",2
""" the common narwhale , or sea unicorn , often reaches a length of sixty feet . increase its dimensions fivefold or even tenfold , then give this cetacean a strength in proportion to its size while enlarging its offensive weapons , and you have the animal we 're looking for . it would have the proportions determined by the officers of the shannon , the instrument needed to perforate the scotia , and the power to pierce a steamer 's hull .",60,"('officer', 'officier', 'oficial')",1
""" yes , madame , "" replied the officer .",8,"('officer', 'officier', 'official')",2
"milady looked at the officer with one of those terrible expressions peculiar to her countenance , and which so rarely failed of their effect ; anger made her eyes flash in the darkness .",4,"('officer', 'officier', 'oficial')",1
"then the officer , with the same calm politeness , invited his prisoner to enter the house .",2,"('officer', 'officier', 'oficial')",1
""" your name ? "" said the officer , who covered a part of his face with his cloak .",7,"('officer', 'officier', 'oficial')",1
"our baggage was immediately carried to the deck of the frigate . i rushed aboard . i asked for commander farragut . one of the sailors led me to the afterdeck , where i stood in the presence of a smart - looking officer who extended his hand to me .",43,"('officer', 'officier', 'oficial')",1
"and m. bonacieux ? whom d’artagnan had pushed into the hands of the officers , denying him aloud although he had promised in a whisper to save him .",13,"('officer', 'sbire', 'esbirro')",0
"the frigate 's interior accommodations complemented its nautical virtues . i was well satisfied with my cabin , which was located in the stern and opened into the officers ' mess .",28,"('officer', 'officier', 'oficial')",1
