text,sense,label,ind,new_label
"a quarter of an hour afterwards , amidst an extraordinary turmoil of applause , sibyl vane stepped on to the stage . yes , she was certainly lovely to look at-- one of the loveliest creatures , lord henry thought , that he had ever seen . there was something of the fawn in her shy grace and startled eyes . a faint blush , like the shadow of a rose in a mirror of silver , came to her cheeks as she glanced at the crowded enthusiastic house . she stepped back a few paces and her lips seemed to tremble . basil hallward leaped to his feet and began to applaud . motionless , and as one in a dream , sat dorian gray , gazing at her . lord henry peered through his glasses , murmuring , "" charming ! charming ! ""","('pace', 'pas', 'paso')",0,95,0
"the stranger looked at him again with a slight smile , and retiring from the window , came out of the hostelry with a slow step , and placed himself before the horse , within two paces of d’artagnan .","('pace', 'pas', 'paso')",0,36,0
"the hesitation created some suspicion in the three friends , and athos , advancing a few paces in front of the others , cried in a firm voice , "" who goes there ? ""","('pace', 'pas', 'paso')",0,16,0
""" i was within two paces of you , monsieur , "" replied the procurator ’s wife ; "" but you did not perceive me because you had no eyes but for the pretty lady to whom you just now gave the holy water . ""","('pace', 'pas', 'paso')",0,5,0
"during the exchange of these two words felton drew back quickly , and when lord de winter entered , he was several paces from the prisoner .","('pace', 'pas', 'paso')",0,22,0
"making a sign to la houdiniere and cahusac to stop , he alighted from his horse , and went toward these suspected merry companions , hoping , by means of the sand which deadened the sound of his steps and of the hedge which concealed his approach , to catch some words of this conversation which appeared so interesting . at ten paces from the hedge he recognized the talkative gascon ; and as he had already perceived that these men were musketeers , he did not doubt that the three others were those called the inseparables ; that is to say , athos , porthos , and aramis .","('pace', 'pas', 'paso')",0,62,0
""" all at once the noise of a door , turning on its hinges , made me start . a globe of fire appeared above the glazed opening of the ceiling , casting a strong light into my chamber ; and i perceived with terror that a man was standing within a few paces of me .","('pace', 'pas', 'paso')",0,53,0
"planchet turned and returned the billet . then , accustomed to passive obedience , he jumped down from the terrace , ran toward the lane , and at the end of twenty paces met d’artagnan , who , having seen all , was coming to him .","('pace', 'pas', 'paso')",0,32,0
"just then i saw the captain 's weapon spring to his shoulder and track a moving object through the bushes . a shot went off , i heard a faint hissing , and an animal dropped a few paces away , literally struck by lightning .","('pace', 'pas', 'paso')",0,38,0
"the bank was very equal ; there was no fear that the raft would run aground , and before two o'clock they arrived at the river 's mouth , a few paces from the chimneys .","('pace', 'pas', 'paso')",0,31,0
"as i am very poor and am not afraid of being robbed , i went and opened the gate and saw three men at a few paces from it .","('pace', 'pas', 'paso')",0,26,0
