text,ind
"we went ; following the superintendent 's guidance , we had to thread some intricate passages , and mount a staircase before we reached her apartment ; it contained a good fire , and looked cheerful .",15
"that favourable moment arrived only with six o'clock ; when my uncle , myself , the guide , two other passengers and the four horses , trusted ourselves to a somewhat fragile raft . accustomed as i was to the swift and sure steamers on the elbe , i found the oars of the rowers rather a slow means of propulsion . it took us more than an hour to cross the fiord ; but the passage was effected without any mishap .",76
"to accompany him down the long , narrow , dark passage , would have been impossible . therefore , we followed , as he bid us . the building was constructed of roughly squared timbers , with rooms on both sides , four in number , all opening out into the one passage : these were the kitchen , the weaving shop , the badstofa , or family sleeping - room , and the visitors ' room , which was the best of all . my uncle , whose height had not been thought of in building the house , of course hit his head several times against the beams that projected from the ceilings .",10
"to accompany him down the long , narrow , dark passage , would have been impossible . therefore , we followed , as he bid us . the building was constructed of roughly squared timbers , with rooms on both sides , four in number , all opening out into the one passage : these were the kitchen , the weaving shop , the badstofa , or family sleeping - room , and the visitors ' room , which was the best of all . my uncle , whose height had not been thought of in building the house , of course hit his head several times against the beams that projected from the ceilings .",52
"and yet , at the very door the musketeer began to entertain some doubts . the approach was not such as to prepossess people -- an ill - smelling , dark passage , a staircase half - lighted by bars through which stole a glimmer from a neighboring yard ; on the first floor a low door studded with enormous nails , like the principal gate of the grand chatelet .",31
"the english , repulsed foot by foot , beaten in all encounters , and defeated in the passage of the isle of loie , were obliged to re - embark , leaving on the field of battle two thousand men , among whom were five colonels , three lieutenant colonels , two hundred and fifty captains , twenty gentlemen of rank , four pieces of cannon , and sixty flags , which were taken to paris by claude de st . simon , and suspended with great pomp in the arches of notre dame .",17
"audley court was not an attractive locality . the narrow passage led us into a quadrangle paved with flags and lined by sordid dwellings . we picked our way among groups of dirty children , and through lines of discoloured linen , until we came to number 46 , the door of which was decorated with a small slip of brass on which the name rance was engraved . on enquiry we found that the constable was in bed , and we were shown into a little front parlour to await his coming .",10
"neither at its level nor in any other part of the well , did any passage open , which could lead to the interior of the cliff .",15
"the aperture , which was almost round , was about five feet in diameter ; the dark passage was cut out in the live rock and lined with a coat of the eruptive matter which formerly issued from it ; the interior was level with the ground outside , so that we were able to enter without difficulty . we were following a horizontal plane , when , only six paces in , our progress was interrupted by an enormous block just across our way .",17
"i returned to the parsonage , very crestfallen . my uncle had beaten me with the weapons of science . still i had one hope left , and this was , that when we had reached the bottom of the crater it would be impossible , for want of a passage , to go deeper , in spite of all the saknussemm 's in iceland .",50
"she , with a still - smiling countenance , took his arm , and passed with him under a low arched door , which by a vaulted passage , lighted only at the farther end , led to a stone staircase around an angle of stone . they then came to a massive door , which after the introduction into the lock of a key which the young man carried with him , turned heavily upon its hinges , and disclosed the chamber destined for milady .",27
"at this moment the door of the dining room unclosed with a creak , and porthos perceived through the half - open flap the little clerk who , not being allowed to take part in the feast , ate his dry bread in the passage with the double odor of the dining room and kitchen .",44
what befell candide and martin on their passage,7
"during these excursions , which were not extended far from the brick - field , the hunters could discern the recent passage of animals of a large size , armed with powerful claws , but they could not recognize the species .",21
when i awoke it was day : an unusual movement roused me ; i looked up ; i was in somebody 's arms ; the nurse held me ; she was carrying me through the passage back to the dormitory .,35
""" yes ; a passage of st . augustine , upon which we could not agree , "" said the gascon .",4
"in certain parts of the cone there were glaciers . here hans advanced only with extreme precaution , sounding his way with his iron - pointed pole , to discover any crevasses in it . at particularly dubious passages we were obliged to connect ourselves with each other by a long cord , in order that any man who missed his footing might be held up by his companions . this solid formation was prudent , but did not remove all danger .",38
""" well , captain , what are we stopping for ? "" asked the sailor , impatient to enter the narrow passage .",21
"the torches were lighted with flint and steel , and cyrus harding leading , the settlers ventured into the dark passage , which the overplus of the lake had formerly filled .",20
"this work finished , it would have been impossible to guess that at that part of the lake , there existed a subterranean passage through which the overflow of the lake formerly escaped .",23
"he found the door of his passage open , sprang up the stairs and knocked softly in a manner agreed upon between him and his lackey .",6
"a valet , of stealthy step , thence conducted me , in silence , through many dark and intricate passages in my progress to the studio of his master .",19
