text,ind,sense,label
""" i think so too , miss . bessie said she was sure you would not refuse : but i suppose you will have to ask leave before you can get off ? """,16,"('refuse', 'refuser', 'negar')",0
""" but the queen will perhaps refuse to obey . """,6,"('refuse', 'refuser', 'negar')",0
"this idea soon became so insupportable to her that at the risk of whatever terrible consequences might result to herself from it , she implored the captain to put her on shore ; but the captain , eager to escape from his false position -- placed between french and english cruisers , like the bat between the mice and the birds -- was in great haste to regain england , and positively refused to obey what he took for a woman ’s caprice , promising his passenger , who had been particularly recommended to him by the cardinal , to land her , if the sea and the french permitted him , at one of the ports of brittany , either at lorient or brest . but the wind was contrary , the sea bad ; they tacked and kept offshore .",72,"('refuse', 'refuser', 'rehusar')",1
"neb had not eaten anything for several hours , but he refused them .",11,"('refuse', 'refuser', 'rehusar')",1
"anne of austria , deprived of the confidence of her husband , pursued by the hatred of the cardinal , who could not pardon her for having repulsed a more tender feeling , having before her eyes the example of the queen - mother whom that hatred had tormented all her life -- though marie de medicis , if the memoirs of the time are to be believed , had begun by according to the cardinal that sentiment which anne of austria always refused him -- anne of austria had seen her most devoted servants fall around her , her most intimate confidants , her dearest favorites . like those unfortunate persons endowed with a fatal gift , she brought misfortune upon everything she touched . her friendship was a fatal sign which called down persecution .",83,"('refuse', 'refuser', 'negarle')",2
"however proud you may be , you will not refuse to accept one of them , and to request your three companions to accept the others -- that is , in order to make war against us .",9,"('refuse', 'refuser', 'negar')",0
"the engineer 's first idea , on counting the people on the deck of the "" bonadventure , "" was that pencroft had not found the castaway of tabor island , or at any rate that the unfortunate man had refused to leave his island and change one prison for another .",40,"('refuse', 'refuser', 'negar')",0
""" because , as i said , without you i can do nothing ; and i am afraid you will refuse me the favor i come to ask if you do not know to what end i ask it . """,20,"('refuse', 'refuser', 'negar')",0
""" pardon , my dear monsieur bonacieux , if i do n’t stand upon ceremony , "" said d’artagnan , "" but nothing makes one so thirsty as want of sleep . i am parched with thirst . allow me to take a glass of water in your apartment ; you know that is never refused among neighbors . """,55,"('refuse', 'refuse', 'negar')",3
"it was the man who had spoken to fix during the night , and whose offer he had refused .",18,"('refuse', 'refuser', 'desechar')",4
"unfortunately the legs began to refuse their service to this bony machine . during the last five or six months that this weakness had been felt , the worthy procurator had nearly become the slave of his wife .",5,"('refuse', 'refuser', 'rehusar')",1
""" you refuse ? """,2,"('refuse', 'refuser', 'negar')",0
""" i refuse . """,2,"('refuse', 'refuse', 'negar')",3
"athos repeated to him the same question he had asked the first person he met . the night watch evinced the same terror , refused , in his turn , to accompany athos , and only pointed with his hand to the road he was to take .",24,"('refuse', 'refuser', 'rehusar')",1
""" exactly . she married an artist named lyons , who came sketching on the moor . he proved to be a blackguard and deserted her . the fault from what i hear may not have been entirely on one side . her father refused to have anything to do with her because she had married without his consent , and perhaps for one or two other reasons as well . so , between the old sinner and the young one the girl has had a pretty bad time . """,44,"('refuse', 'refuser', 'negar')",0
"then he explained to him the cause of his visit , and the service he required of him . but scarcely had he expressed his request when the unknown , who remained standing before the musketeer , drew back with signs of terror , and refused .",45,"('refuse', 'refuser', 'rehusar')",1
""" nonsense ! "" returned the reporter ; "" do you think that if lord glenarvan 's yacht had appeared at tabor island , while he was still living there , ayrton would have refused to depart ? """,34,"('refuse', 'refuser', 'negar')",0
"almost desperate , i asked for half a cake ; she again refused . "" how could she tell where i had got the handkerchief ? "" she said .",12,"('refuse', 'refuser', 'negar')",0
""" yes ; he once came down to visit sir charles . he is a man of venerable appearance and of saintly life . i remember that he refused to accept any settlement from sir charles , though he pressed it upon him . """,28,"('refuse', 'refuser', 'negar')",0
""" so from that time , monsieur , "" continued the latter , "" we have led the most miserable life imaginable ; for you must know , monsieur , that all our provisions are in the cellar . there is our wine in bottles , and our wine in casks ; the beer , the oil , and the spices , the bacon , and sausages . and as we are prevented from going down there , we are forced to refuse food and drink to the travelers who come to the house ; so that our hostelry is daily going to ruin .",82,"('refuse', 'refuser', 'negar')",0
"my wife has perhaps requested permission of monsieur athos to go into the cellar to satisfy these gentlemen ; and he , as usual , has refused .",26,"('refuse', 'refuser', 'negar')",0
"returned home with athos , aramis and porthos inquired eagerly the cause of the strange interview ; but d’artagnan confined himself to telling them that m. de richelieu had sent for him to propose to him to enter into his guards with the rank of ensign , and that he had refused .",51,"('refuse', 'refuser', 'rehusar')",1
"d’artagnan refused ; but thinking the opportunity a good one , he begged him to have the diamond he put into his hand valued , as he wished to turn it into money .",1,"('refuse', 'refuser', 'rehusar')",1
"that is the hour when i am expected . "" "" madame , "" said the young man , bowing ; "" i can refuse nothing asked of me thus . be content ; i will depart . """,24,"('refuse', 'refuser', 'negar')",0
""" i have refused to marry him-- """,3,"('refuse', 'refuser', 'negar')",0
i am astonished you found courage to refuse his hand .,7,"('refuse', 'refuser', 'rehusar')",1
"they agreed readily , for their walk had sharpened their appetites ; and although it was not their usual dinner - hour , no one refused to strengthen himself with a piece of venison .",25,"('refuse', 'refuser', 'negar')",0
"i will go straight to the louvre ; i will give in my resignation as captain of the king ’s musketeers to take a lieutenancy in the cardinal ’s guards , and if he refuses me , morbleu ! i will turn abbe . """,34,"('refuse', 'refuse', 'rechazar')",5
""" hold , madame bonacieux , "" said the mercer , "" hold ! i positively refuse ; intrigues terrify me .",16,"('refuse', 'refuse', 'negar')",3
""" of course i refuse . i will have absolutely nothing to do with it . i do n't care what shame comes on you . you deserve it all . i should not be sorry to see you disgraced , publicly disgraced . how dare you ask me , of all men in the world , to mix myself up in this horror ? i should have thought you knew more about people 's characters . your friend lord henry wotton ca n't have taught you much about psychology , whatever else he has taught you . nothing will induce me to stir a step to help you . you have come to the wrong man . go to some of your friends . do n't come to me . """,4,"('refuse', 'refuse', 'negar')",3
""" there is no good in prolonging this scene . i absolutely refuse to do anything in the matter . it is insane of you to ask me . """,12,"('refuse', 'refuse', 'negar')",3
do not refuse this little service .,2,"('refuse', 'refuser', 'rechazar')",6
""" i have the honor to inform your majesty , "" continued m. de treville , in the same tone , "" that a party of procureurs , commissaries , and men of the police -- very estimable people , but very inveterate , as it appears , against the uniform -- have taken upon themselves to arrest in a house , to lead away through the open street , and throw into the fort l’eveque , all upon an order which they have refused to show me , one of my , or rather your musketeers , sire , of irreproachable conduct , of an almost illustrious reputation , and whom your majesty knows favorably , monsieur athos . """,84,"('refuse', 'refuser', 'negar')",0
""" i do n’t know what you mean , "" replied felton , quietly , "" and i am ignorant of whom you are speaking , my lord . i killed the duke of buckingham because he twice refused you yourself to appoint me captain ; i have punished him for his injustice , that is all . """,38,"('refuse', 'refuser', 'rehusar')",1
"i did not refuse it , for my appetite was awakened and keen .",3,"('refuse', 'accepter', 'negar')",7
"the procurator , seeing he was going , invited him to dinner -- an invitation which the musketeer refused with a majestic air .",18,"('refuse', 'refuser', 'rehusar')",1
"the start was fixed for the 16th of june . my uncle wanted to pay the hunter a portion in advance , but he refused with one word :",24,"('refuse', 'refuser', 'rechazar')",6
""" well , "" said he , "" they likewise have refused me . """,11,"('refuse', 'refuser', 'rehusar')",1
