text,ind,sense,label
""" it is singular enough , "" remarked spilett , "" that this comparatively small island should present such varied ground .",7,"('remark', 'observer', 'observar')",0
"an hour after , her table was cleared ; but milady remarked that this time felton did not accompany the soldiers .",11,"('remark', 'remarquer', 'observar')",1
""" i am a gentleman born , and my blood is warm , as you may have remarked , my dear d’artagnan . the insult was terrible , and although unknown to the rest of the world , i felt it live and fester at the bottom of my heart .",17,"('remark', 'remarquer', 'observar')",1
"let us keep our remarks to ourselves , and continue our work . """,4,"('remark', 'remarque', 'observación')",2
"in fact , in addition to that yellow , sickly paleness which indicates the insinuation of the bile in the blood , and which might , besides , be accidental , d’artagnan remarked something perfidiously significant in the play of the wrinkled features of his countenance .",32,"('remark', 'remarquer', 'observar')",1
""" you are welcome , monsieur , "" said milady , in a voice whose singular sweetness contrasted with the symptoms of ill - humor which d’artagnan had just remarked ; "" you have today acquired eternal rights to my gratitude . """,29,"('remark', 'remarquer', 'observar')",1
i remarked that he regretted the horse furniture very much .,1,"('remark', 'remarquer', 'observar')",1
"further on , herbert remarked the lardizabala , a twining shrub which , when bruised in water , furnishes excellent cordage ; and two or three ebony trees of a beautiful black , crossed with capricious veins .",4,"('remark', 'remarquer', 'observar')",1
""" they say that genius is an infinite capacity for taking pains , "" he remarked with a smile . "" it 's a very bad definition , but it does apply to detective work . """,15,"('remark', 'remarquer', 'observar')",1
"however , on his second sortie , on the 27th of november , gideon spilett , who had ventured a quarter of a mile into the woods , towards the south of the mountain , remarked that top scented something .",35,"('remark', 'remarquer', 'observar')",1
""" there is nothing like first hand evidence , "" he remarked ; "" as a matter of fact , my mind is entirely made up upon the case , but still we may as well learn all that is to be learned . """,11,"('remark', 'remarquer', 'observar')",1
"still further , he had seldom seen the young musketeer ; but every time he had seen him , he had remarked a deep sadness imprinted on his countenance .",21,"('remark', 'remarquer', 'observar')",1
"the footman seemed to think this a good opportunity for repeating his remark , with variations . ' i shall sit here , ' he said , ' on and off , for days and days . '",12,"('remark', 'observation', 'observación')",3
""" only i have a remark to make . """,5,"('remark', 'observation', 'observación')",3
