text,ind
"soon the canadian announced that the craft was a big battleship , a double - decker ironclad complete with ram . dark , dense smoke burst from its two funnels . its furled sails merged with the lines of its yardarms . the gaff of its fore - and - aft sail flew no flag . its distance still kept us from distinguishing the colors of its pennant , which was fluttering like a thin ribbon .",51
"pencroft took a reef in the mainsail , and steered towards the north - east , so as to sail straight for lincoln island .",19
"pencroft was soon obliged to sail close - hauled , and without saying anything about it he began to be uneasy at the state of the sea , which frequently broke over the bows .",5
"but just then the renowned french explorer captain dumont d'urville , unaware of dillon 's activities , had already set sail to search elsewhere for the site of the shipwreck . in essence , a whaling vessel had reported that some medals and a cross of st . louis had been found in the hands of savages in the louisiade islands and new caledonia .",20
"on february 10 , 1828 , the new astrolabe hove before tikopia island , took on a guide and interpreter in the person of a deserter who had settled there , plied a course toward vanikoro , raised it on february 12 , sailed along its reefs until the 14th , and only on the 20th dropped anchor inside its barrier in the harbor of vana .",43
""" we 'll do it this evening at nine o'clock , "" he said . "" i 've alerted conseil . by that time captain nemo will be locked in his room and probably in bed . neither the mechanics or the crewmen will be able to see us . conseil and i will go to the central companionway . as for you , professor aronnax , you 'll stay in the library two steps away and wait for my signal . the oars , mast , and sail are in the skiff . i 've even managed to stow some provisions inside . i 've gotten hold of a monkey wrench to unscrew the nuts bolting the skiff to the nautilus 's hull . so everything 's ready . i 'll see you this evening . """,88
"then the vessel resumed its course , still escorted by the little cutter , which sailed side by side with it , menacing it with the mouths of its six cannon . the boat followed in the wake of the ship , a speck near the enormous mass .",15
"opposite the tower of london he found the vessel that had been named to him , delivered his letter to the captain , who after having it examined by the governor of the port made immediate preparations to sail .",38
"there mr . fogg examined a curious vehicle , a kind of frame on two long beams , a little raised in front like the runners of a sledge , and upon which there was room for five or six persons . a high mast was fixed on the frame , held firmly by metallic lashings , to which was attached a large brigantine sail . this mast held an iron stay upon which to hoist a jib - sail . behind , a sort of rudder served to guide the vehicle . it was , in short , a sledge rigged like a sloop . during the winter , when the trains are blocked up by the snow , these sledges make extremely rapid journeys across the frozen plains from one station to another . provided with more sails than a cutter , and with the wind behind them , they slip over the surface of the prairies with a speed equal if not superior to that of the express trains .",64
"there mr . fogg examined a curious vehicle , a kind of frame on two long beams , a little raised in front like the runners of a sledge , and upon which there was room for five or six persons . a high mast was fixed on the frame , held firmly by metallic lashings , to which was attached a large brigantine sail . this mast held an iron stay upon which to hoist a jib - sail . behind , a sort of rudder served to guide the vehicle . it was , in short , a sledge rigged like a sloop . during the winter , when the trains are blocked up by the snow , these sledges make extremely rapid journeys across the frozen plains from one station to another . provided with more sails than a cutter , and with the wind behind them , they slip over the surface of the prairies with a speed equal if not superior to that of the express trains .",79
"there mr . fogg examined a curious vehicle , a kind of frame on two long beams , a little raised in front like the runners of a sledge , and upon which there was room for five or six persons . a high mast was fixed on the frame , held firmly by metallic lashings , to which was attached a large brigantine sail . this mast held an iron stay upon which to hoist a jib - sail . behind , a sort of rudder served to guide the vehicle . it was , in short , a sledge rigged like a sloop . during the winter , when the trains are blocked up by the snow , these sledges make extremely rapid journeys across the frozen plains from one station to another . provided with more sails than a cutter , and with the wind behind them , they slip over the surface of the prairies with a speed equal if not superior to that of the express trains .",139
"at eight o'clock the sledge was ready to start . the passengers took their places on it , and wrapped themselves up closely in their travelling - cloaks . the two great sails were hoisted , and under the pressure of the wind the sledge slid over the hardened snow with a velocity of forty miles an hour .",32
"these were the only words he uttered during the journey . aouda , cosily packed in furs and cloaks , was sheltered as much as possible from the attacks of the freezing wind . as for passepartout , his face was as red as the sun 's disc when it sets in the mist , and he laboriously inhaled the biting air . with his natural buoyancy of spirits , he began to hope again . they would reach new york on the evening , if not on the morning , of the 11th , and there was still some chances that it would be before the steamer sailed for liverpool .",108
"as to pencroft , he had sailed over every sea , a carpenter in the dockyards in brooklyn , assistant tailor in the vessels of the state , gardener , cultivator , during his holidays , etc . , and like all seamen , fit for anything , he knew how to do everything .",6
"mr . fogg left the hotel alone , after giving passepartout instructions to await his return , and inform aouda to be ready at an instant 's notice . he proceeded to the banks of the hudson , and looked about among the vessels moored or anchored in the river , for any that were about to depart . several had departure signals , and were preparing to put to sea at morning tide ; for in this immense and admirable port there is not one day in a hundred that vessels do not set out for every quarter of the globe . but they were mostly sailing vessels , of which , of course , phileas fogg could make no use .",107
"he paid him beforehand , the two sheep were put on board , and candide followed in a small boat to join the vessel in the road . the skipper took advantage of his opportunity , hoisted sail , and put out to sea with a favorable wind . candide , confounded and amazed , soon lost sight of the ship .",37
"to the sails were attached strong bolt ropes , and there still remained enough from which to make the halyards , shrouds , and sheets , etc .",2
""" jane , i go in six weeks ; i have taken my berth in an east indiaman which sails on the 20th of june . """,19
""" you see , my friend , it 's an issue of the monster , the notorious narwhale . we 're going to rid the seas of it ! the author of a two - volume work , in quarto , on the mysteries of the great ocean depths has no excuse for not setting sail with commander farragut . it 's a glorious mission but also a dangerous one ! we do n't know where it will take us ! these beasts can be quite unpredictable ! but we 're going just the same ! we have a commander who 's game for anything ! """,55
""" she sails well , and merits her name of the ' speedy . ' """,2
""" decidedly we have only one way , "" said spilett , "" one single way for leaving lincoln island , and that is , to build a vessel large enough to sail several hundred miles .",32
"the frigate then went along the new jersey coast -- the wonderful right bank of this river , all loaded down with country homes-- and passed by the forts to salutes from their biggest cannons . the abraham lincoln replied by three times lowering and hoisting the american flag , whose thirty - nine stars gleamed from the gaff of the mizzen sail ; then , changing speed to take the buoy - marked channel that curved into the inner bay formed by the spit of sandy hook , it hugged this sand - covered strip of land where thousands of spectators acclaimed us one more time .",62
"but perhaps it had been only his fancy that had called vengeance out of the night and set the hideous shapes of punishment before him . actual life was chaos , but there was something terribly logical in the imagination . it was the imagination that set remorse to dog the feet of sin . it was the imagination that made each crime bear its misshapen brood . in the common world of fact the wicked were not punished , nor the good rewarded . success was given to the strong , failure thrust upon the weak . that was all . besides , had any stranger been prowling round the house , he would have been seen by the servants or the keepers . had any foot - marks been found on the flower - beds , the gardeners would have reported it . yes , it had been merely fancy . sibyl vane 's brother had not come back to kill him . he had sailed away in his ship to founder in some winter sea . from him , at any rate , he was safe . why , the man did not know who he was , could not know who he was . the mask of youth had saved him .",167
"it was scarcely probable ; and , besides , supposing she should come there , as the colonists had not been able to deposit a notice pointing out ayrton 's change of abode , the commander of the yacht , after having explored tabor island without results , would again set sail and return to lower latitudes .",51
"the ship 's officers shared the views of their leader . they could be heard chatting , discussing , arguing , calculating the different chances of an encounter , and observing the vast expanse of the ocean . voluntary watches from the crosstrees of the topgallant sail were self - imposed by more than one who would have cursed such toil under any other circumstances . as often as the sun swept over its daily arc , the masts were populated with sailors whose feet itched and could n't hold still on the planking of the deck below ! and the abraham lincoln 's stempost had n't even cut the suspected waters of the pacific .",46
""" by going to nagasaki , at the extreme south of japan , or even to shanghai , which is only eight hundred miles from here . in going to shanghai we should not be forced to sail wide of the chinese coast , which would be a great advantage , as the currents run northward , and would aid us . """,37
"matters being thus decided , the building of a vessel large enough to sail either to the archipelagoes in the north , or to new zealand in the west , was no longer talked of , and they busied themselves in their accustomed occupations , with a view to wintering a third time in granite house .",13
""" in an hour ; as soon as provisions could be got aboard and the sails put up . """,15
"then , observation being taken of what remained of this shoal , which must henceforward figure on the charts of the pacific , the order was given to make all sail .",30
""" yes , rest to - day , and to - morrow we will set sail . """,15
"pencroft set sail at break of day , and by going on the larboard tack they could keep close to the shore .",2
"a brisk breeze arose about ten o'clock ; but , though it might have been prudent to take in a reef , the pilot , after carefully examining the heavens , let the craft remain rigged as before . the tankadere bore sail admirably , as she drew a great deal of water , and everything was prepared for high speed in case of a gale .",42
"meanwhile they were progressing famously , and john bunsby was in high hope . he several times assured mr . fogg that they would reach shanghai in time ; to which that gentleman responded that he counted upon it . the crew set to work in good earnest , inspired by the reward to be gained . there was not a sheet which was not tightened , not a sail which was not vigorously hoisted ; not a lurch could be charged to the man at the helm . they worked as desperately as if they were contesting in a royal yacht regatta .",69
"at eight o'clock in the morning the "" bonadventure "" set sail , and ran rapidly towards north mandible cape , for the wind was right astern and freshening rapidly .",11
""" well , "" said harding , "" let us carry as much sail as possible , and run for shelter into shark gulf .",13
"the storm of rain and wind descended upon them towards eight o'clock . with but its bit of sail , the tankadere was lifted like a feather by a wind , an idea of whose violence can scarcely be given . to compare her speed to four times that of a locomotive going on full steam would be below the truth .",18
"the carnatic , setting sail from hong kong at half - past six on the 7th of november , directed her course at full steam towards japan . she carried a large cargo and a well - filled cabin of passengers . two state - rooms in the rear were , however , unoccupied -- those which had been engaged by phileas fogg .",4
""" i have no time to lose . tomorrow is the twenty - third , and buckingham sets sail tomorrow with his fleet . """,18
""" he sets sail tomorrow ! where for ? """,3
"hoisting the jib to the mainmast by way of a storm - sail , he hove to , putting the head of the vessel towards the land .",12
""" it is strange , "" said he to martin , "" very strange that i should have time to sail from surinam to bordeaux ; to travel thence to paris , to dieppe , to portsmouth ; to sail along the coast of portugal and spain , and up the mediterranean to spend some months at venice ; and that my lovely cunegund should not have arrived . instead of her , i only met with a parisian impostor , and a rascally abbe of perigord .",20
""" it is strange , "" said he to martin , "" very strange that i should have time to sail from surinam to bordeaux ; to travel thence to paris , to dieppe , to portsmouth ; to sail along the coast of portugal and spain , and up the mediterranean to spend some months at venice ; and that my lovely cunegund should not have arrived . instead of her , i only met with a parisian impostor , and a rascally abbe of perigord .",39
i hoisted myself up to the crosstrees of the mizzen sail . some officers were already perched on the mastheads .,10
""" set sail , shall we ? but i should like to see my boat first . """,2
"but at the moment when the cardinal saw his means already bearing fruit , and applauded himself for having put it in action , an inhabitant of la rochelle who had contrived to pass the royal lines -- god knows how , such was the watchfulness of bassompierre , schomberg , and the duc d’angouleme , themselves watched over by the cardinal -- an inhabitant of la rochelle , we say , entered the city , coming from portsmouth , and saying that he had seen a magnificent fleet ready to sail within eight days .",91
"a mast was made of two poles spliced together , a yard was made of a third , a blanket borrowed from our coverings made a tolerable sail . there was no want of cordage for the rigging , and everything was well and firmly made .",27
