text,sense,label,ind,new_label
"i was surly ; but the thing would not go : it stood by me with strange perseverance , and looked and spoke with a sort of authority . i must be aided , and by that hand : and aided i was .","('sort', 'sorte', 'especie')",0,25,0
"one would really say , that the western part of lincoln island , so rich and so fertile , is washed by the warm waters of the gulf of mexico , and that its shores to the north and the southeast extend over a sort of arctic sea . ""","('sort', 'sorte', 'especie')",0,44,0
"an immense saloon -- a sort of museum , in which were heaped up , with all the treasures of the mineral world , works of art , marvels of industry -- appeared before the eyes of the colonists , who almost thought themselves suddenly transported into a land of enchantment .","('sort', 'sorte', 'especie')",0,5,0
"there was there a sort of depression in the water , as if it was suddenly lost in some fissure in the ground .","('sort', 'sorte', 'especie')",0,4,0
""" is an order for me to confine myself to a sort of prison , from which he will release me by one of his satellites . ""","('sort', 'sorte', 'especie')",1,11,0
"the car was only a sort of willow basket , unable to float , and there was not the slightest possibility of maintaining it on the surface of the sea .","('sort', 'sorte', 'especie')",0,5,0
"they were maras , a sort of agouti , a little larger than their congeners of tropical countries , regular american rabbits , with long ears , jaws armed on each side with five molars , which distinguish the agouti .","('sort', 'sorte', 'especie')",0,5,0
"that little stout man , short and elderly , that sort of lackey , dressed in dark clothes , treated without ceremony by the men wearing swords who composed the escort , was bonacieux himself .","('sort', 'sorte', 'especie')",1,10,0
"the repast at length terminated ; at the moment when each one was about to give himself up to sleep , cyrus harding drew from his pocket little specimens of different sorts of minerals , and just said,--","('sort', 'sorte', 'especie')",1,31,0
""" in essence , the narwhale is armed with a sort of ivory sword , or lance , as certain naturalists have expressed it . it 's a king - sized tooth as hard as steel . some of these teeth have been found buried in the bodies of baleen whales , which the narwhale attacks with invariable success . others have been wrenched , not without difficulty , from the undersides of vessels that narwhales have pierced clean through , as a gimlet pierces a wine barrel . the museum at the faculty of medicine in paris owns one of these tusks with a length of 2.25 meters and a width at its base of forty - eight centimeters !","('sort', 'sorte', 'especie')",0,10,0
why did he utter such strange barks when a sort of uneasiness seemed to draw him towards this well ?,"('sort', 'sorte', 'especie')",0,9,0
why did jup join top in a sort of common anxiety ?,"('sort', 'sorte', 'especie')",0,7,0
"he flew , then , rather than walked , toward the convent of the carmes dechausses , or rather deschaux , as it was called at that period , a sort of building without a window , surrounded by barren fields -- an accessory to the preaux - clercs , and which was generally employed as the place for the duels of men who had no time to lose .","('sort', 'sorte', 'especie')",0,30,0
"only , after carefully examining them , pencroft found on the forehead of one , on the chest of another , on the back of this one , on the shoulder of that , a little red spot , a sort of scarcely visible bruise , the cause of which it was impossible to conjecture .","('sort', 'sorte', 'especie')",0,40,0
"herbert then in a few words related the incidents of the voyage , and dwelt on the curious fact of the sort of passing gleam in the prisoner 's mind , when for an instant in the height of the storm he had become a sailor .","('sort', 'sorte', 'especie')",0,21,0
"i do not know her , but a sort of intuition tells me she is a lost creature , and that there is something fatal about her . ""","('sort', 'sorte', 'especie')",1,8,0
"a generosity evinced in such a manner as to elude all tokens of gratitude , implied a sort of disdain for those on whom the obligation was conferred , which in cyrus harding 's eyes marred , in some degree , the worth of the benefit .","('sort', 'sorte', 'especie')",0,17,0
"they reached the office of the procurator after having passed through the antechamber in which the clerks were , and the study in which they ought to have been . this last apartment was a sort of dark room , littered with papers .","('sort', 'sorte', 'especie')",0,35,0
"by the end of the first fortnight of december these works were finished , and prospect heights -- that is to say , a sort of irregular pentagon , having a perimeter of nearly four miles , surrounded by a liquid belt -- was completely protected from depredators of every description .","('sort', 'sorte', 'especie')",0,24,0
"my uncle raised his spectacles , took up a strong lens , and carefully examined the blank pages of the book . on the front of the second , the title - page , he noticed a sort of stain which looked like an ink blot . but in looking at it very closely he thought he could distinguish some half - effaced letters . my uncle at once fastened upon this as the centre of interest , and he laboured at that blot , until by the help of his microscope he ended by making out the following runic characters which he read without difficulty .","('sort', 'sorte', 'especie')",0,37,0
"' oh , do n't bother me , ' said the duchess ; ' i never could abide figures ! ' and with that she began nursing her child again , singing a sort of lullaby to it as she did so , and giving it a violent shake at the end of every line :","('sort', 'sorte', 'especie')",1,33,0
"cyrus harding had profited by a moment when he was sleeping , to cut his hair and matted beard , which formed a sort of mane and gave him such a savage aspect .","('sort', 'sorte', 'especie')",0,23,0
"this quadruped was a sort of pig nearly two feet and a half long , of a blackish brown color , lighter below , having hard scanty hair ; its toes , then strongly fixed in the ground , seemed to be united by a membrane .","('sort', 'sorte', 'especie')",1,4,0
"in fact , there beneath my eyes was a town in ruins , demolished , overwhelmed , laid low , its roofs caved in , its temples pulled down , its arches dislocated , its columns stretching over the earth ; in these ruins you could still detect the solid proportions of a sort of tuscan architecture ; farther off , the remains of a gigantic aqueduct ; here , the caked heights of an acropolis along with the fluid forms of a parthenon ; there , the remnants of a wharf , as if some bygone port had long ago harbored merchant vessels and triple - tiered war galleys on the shores of some lost ocean ; still farther off , long rows of collapsing walls , deserted thoroughfares , a whole pompeii buried under the waters , which captain nemo had resurrected before my eyes !","('sort', 'sorte', 'especie')",0,53,0
"i followed captain nemo down gangways located for easy transit , and i arrived amidships . there i found a sort of shaft heading upward between two watertight bulkheads . an iron ladder , clamped to the wall , led to the shaft 's upper end . i asked the captain what this ladder was for .","('sort', 'sorte', 'especie')",0,20,0
"after going down a fairly steep slope , our feet trod the floor of a sort of circular pit . there captain nemo stopped , and his hand indicated an object that i had n't yet noticed . it was an oyster of extraordinary dimensions , a titanic giant clam , a holy - water font that could have held a whole lake , a basin more than two meters wide , hence even bigger than the one adorning the nautilus 's lounge .","('sort', 'sorte', 'especie')",0,15,0
"this chamber was a sort of garret , situated in the rue des fossoyeurs , near the luxembourg .","('sort', 'sorte', 'especie')",1,4,0
"i set foot on the platform and waited . the darkness was so profound i could n't see even captain nemo . however , looking at the zenith directly overhead , i thought i caught sight of a feeble glimmer , a sort of twilight filtering through a circular hole . just then the beacon suddenly went on , and its intense brightness made that hazy light vanish .","('sort', 'sorte', 'especie')",0,42,0
"a sort of irresistible pity led him towards the unfortunate man , and he touched his arm lightly .","('sort', 'sorte', 'especie')",0,1,0
""" yes ; there is a sort of passage which inclines to the right . we will see about that to - morrow . let us have our supper , and go to sleep . ""","('sort', 'sorte', 'especie')",0,6,0
"an enclosure for the domestic animals , a poultry - yard for the birds , in a word to establish a sort of farm in the island , such were the two important projects for the fine season .","('sort', 'sorte', 'especie')",0,21,0
"after the heat of these warm summer days , in the evening when their work was finished and the sea - breeze began to blow , they liked to sit on the edge of prospect heights , in a sort of veranda , covered with creepers , which neb had made with his own hands .","('sort', 'sorte', 'especie')",0,39,0
"nevertheless , when the name of the king was now and then uttered unthinkingly amid all these cardinal jests , a sort of gag seemed to close for a moment on all these jeering mouths . they looked hesitatingly around them , and appeared to doubt the thickness of the partition between them and the office of m. de treville ; but a fresh allusion soon brought back the conversation to his eminence , and then the laughter recovered its loudness and the light was not withheld from any of his actions .","('sort', 'sorte', 'especie')",1,21,0
"they were a species of ficoide , some similar to those of the cape , with eatable fleshy leaves , others bearing seeds containing a sort of flour .","('sort', 'sorte', 'especie')",0,25,0
"d’artagnan observed , on the bench nearest to the pillar against which porthos leaned , a sort of ripe beauty , rather yellow and rather dry , but erect and haughty under her black hood .","('sort', 'sorte', 'especie')",1,16,0
"they were walking upon a sandy soil , mingled with stones , which appeared destitute of any sort of vegetation .","('sort', 'sorte', 'especie')",1,17,0
"the engineer then took a flat stone which he had brought back from one of his previous excursions , a sort of slate , on which it was easy to trace figures with a sharp shell .","('sort', 'sorte', 'especie')",0,20,0
"on february 6 the nautilus cruised in sight of the city of aden , perched on a promontory connected to the continent by a narrow isthmus , a sort of inaccessible gibraltar whose fortifications the english rebuilt after capturing it in 1839 . i glimpsed the octagonal minarets of this town , which used to be one of the wealthiest , busiest commercial centers along this coast , as the arab historian idrisi tells it .","('sort', 'sorte', 'especie')",0,28,0
"the city , notwithstanding the incredible perseverance of its mayor , had attempted a sort of mutiny for a surrender ; the mayor had hanged the mutineers .","('sort', 'sorte', 'especie')",1,14,0
"where they had only expected to find a narrow cavity , they had found a sort of marvelous palace , and neb had taken off his hat , as if he had been transported into a temple !","('sort', 'sorte', 'especie')",0,15,0
"master jup had not been forgotten , and he occupied a room at the back , near the storeroom , a sort of cabin with a cot always full of good litter , which perfectly suited his taste .","('sort', 'sorte', 'especie')",0,21,0
"they put them in a sort of net of hibiscus fiber , which neb had manufactured , and which already contained food ; they then continued to climb the coast between the downs and the sea .","('sort', 'sorte', 'especie')",0,5,0
"it was only after a long search that passepartout discovered a native dealer in old clothes , to whom he applied for an exchange . the man liked the european costume , and ere long passepartout issued from his shop accoutred in an old japanese coat , and a sort of one - sided turban , faded with long use . a few small pieces of silver , moreover , jingled in his pocket .","('sort', 'sorte', 'especie')",0,49,0
"it appeared prudent to him to heighten the palisade and to flank it with a sort of blockhouse , which , if necessary , the settlers could hold against the enemy .","('sort', 'sorte', 'especie')",0,15,0
"as he was reflecting in this wise , his eyes fell upon an immense placard which a sort of clown was carrying through the streets . this placard , which was in english , read as follows :","('sort', 'sorte', 'especie')",0,17,0
"the settlers heard successively the song of birds , the cry of quadrupeds , and a sort of clacking which they might have believed to have escaped from the lips of a native .","('sort', 'sorte', 'especie')",0,16,0
many days passed ; but harding -- was it a sort of presentiment?--persisted in the fixed idea that sooner or later the unhappy man would return .,"('sort', 'sorte', 'especie')",0,10,0
"hardened lava and crusted scoria formed a sort of natural staircase of large steps , which would greatly facilitate the ascent to the summit of the mountain .","('sort', 'sorte', 'especie')",0,7,0
"your eminence may perceive , "" continued athos , knitting his brow , for this sort of investigation began to annoy him , "" that we have not come out without our arms . ""","('sort', 'sorte', 'especie')",1,15,0
"other ropes were made with vegetable fibers , and a sort of crane with a tackle was fixed at the door .","('sort', 'sorte', 'especie')",0,10,0
"the rumbling was mingled with a subterranean roar , which formed a sort of rinforzando , and died slowly away , as if some violent storm had passed through the profundities of the globe .","('sort', 'sorte', 'especie')",0,12,0
"the cart , or rather a sort of light carriole which had replaced it , made frequent journeys to the corral , and when it was pencroft 's turn to go he took jup , and let him drive , and jup , cracking his whip , acquitted himself with his customary intelligence .","('sort', 'sorte', 'especie')",0,6,0
"soon a sort of cylindrical box , in shape like a pepper - pot , with a pointed roof , rose on the spot chosen .","('sort', 'sorte', 'especie')",0,2,0
"in front of them the lys rolled its waters like a river of molten tin ; while on the other side was a black mass of trees , profiled on a stormy sky , invaded by large coppery clouds which created a sort of twilight amid the night .","('sort', 'sorte', 'especie')",1,42,0
"this projection , carefully leveled by the pickaxe , made a sort of platform , to which they fixed the first ladder , of which the oscillation was thus diminished one - half , and a rope permitted it to be raised to the level of granite house .","('sort', 'sorte', 'especie')",0,11,0
"however , harding , by a sort of presentiment , doubtless , always persisted in saying that the fugitive would return .","('sort', 'sorte', 'especie')",0,6,0
"from the northeast to the southwest the coast was rounded , like the flattened cranium of an animal , rising again , forming a sort of protuberance which did not give any particular shape to this part of the island , of which the center was occupied by the volcano .","('sort', 'sorte', 'especie')",0,24,0
