text,sense,label,ind,new_label
""" i could not get rid of her . she brought me up to royalties , and people with stars and garters , and elderly ladies with gigantic tiaras and parrot noses . she spoke of me as her dearest friend . i had only met her once before , but she took it into her head to lionize me . i believe some picture of mine had made a great success at the time , at least had been chattered about in the penny newspapers , which is the nineteenth - century standard of immortality .","('speak', 'parler', 'hablar')",0,34,0
""" yes , duke , yes , i know you are very indulgent toward the queen , too indulgent , perhaps ; we shall have occasion , i warn you , at some future period to speak of that . ""","('speak', 'parler', 'hablar')",0,36,0
""" answer me -- speak again ! "" he ordered , imperiously and aloud .","('speak', 'parler', 'hablar')",0,4,0
""" _ who _ is it ? _ what _ is it ? who speaks ? ""","('speak', 'parle', 'hablar')",1,14,1
"still more must be done . he must be made to speak , in order that he might be spoken to -- for milady very well knew that her greatest seduction was in her voice , which so skillfully ran over the whole gamut of tones from human speech to language celestial .","('speak', 'parler', 'hablar')",0,11,0
""" monsieur , you act wrongly in endeavoring to mortify me , "" said d’artagnan , in whom the natural quarrelsome spirit began to speak more loudly than his pacific resolutions .","('speak', 'parler', 'hablar')",0,24,0
""" you have not spoiled my pleasure in meeting you , mr . gray , "" said lord henry , stepping forward and extending his hand . "" my aunt has often spoken to me about you . you are one of her favourites , and , i am afraid , one of her victims also . ""","('speak', 'parler', 'hablar')",0,32,0
"but till then the guns had not spoken , and the first report which awoke the echoes of the forest of the far west was provoked by the appearance of a beautiful bird , resembling the kingfisher .","('speak', 'parler', 'hablar')",0,7,0
"at the moment when he was about to retire , she was cheered with a ray of hope , for she thought he was about to speak ; but his lips moved without any sound leaving his mouth , and making a powerful effort to control himself , he sent back to his heart the words that were about to escape from his lips , and went out .","('speak', 'parler', 'hablar')",0,26,0
"aramis continued , "" and yet , while i do belong to the earth , i wish to speak of you -- of our friends . ""","('speak', 'parler', 'hablar')",0,18,0
his companions looked at him without speaking .,"('speak', 'parler', 'hablar')",0,6,0
he replied not : he seemed serious -- abstracted ; he sighed ; he half - opened his lips as if to speak : he closed them again .,"('speak', 'parler', 'hablar')",0,22,0
""" speak to the master , madame , "" said felton ; "" happily i am neither charged with the power of pardoning nor punishing . it is upon one higher placed than i am that god has laid this responsibility . ""","('speak', 'parler', 'hablar')",0,1,0
""" well , but then , "" continued athos , speaking half to himself , "" if i kill you , i shall have the air of a boy - slayer . ""","('speak', 'parler', 'hablar')",0,10,0
"when i speak of ignominy , you think i speak of some chastisement , of imprisonment or death . would to heaven !","('speak', 'parle', 'hablar')",1,2,1
"when i speak of ignominy , you think i speak of some chastisement , of imprisonment or death . would to heaven !","('speak', 'parle', 'hablar')",1,9,1
"d’artagnan spoke these words with a simplicity that did honor to his courtesy , without throwing the least doubt upon his courage .","('speak', 'dire', 'decir')",2,1,2
d’artagnan profited by the circumstance to speak to m. de treville of the letter with the great red seal and the cardinal ’s arms . it is well understood that he did not breathe a word about the other .,"('speak', 'parler', 'hablar')",0,6,0
"to say canadian is to say french , and as unsociable as ned land was , i must admit he took a definite liking to me . no doubt it was my nationality that attracted him . it was an opportunity for him to speak , and for me to hear , that old rabelaisian dialect still used in some canadian provinces . the harpooner 's family originated in quebec , and they were already a line of bold fishermen back in the days when this town still belonged to france .","('speak', 'parler', 'hablar')",0,44,0
"where was i ? where was i ? i had to find out at all cost , i wanted to speak , i wanted to rip off the copper sphere imprisoning my head .","('speak', 'parler', 'hablar')",0,20,0
"for the present he had no anxiety . he shrugged his shoulders when people spoke of the future . his secret , then , was in the past , as had often been vaguely said to d’artagnan .","('speak', 'parler', 'hablar')",0,14,0
"the usher introduced him , and retired without speaking a word .","('speak', 'dire', 'decir')",2,8,2
"the queen turned sharply round , for there could be no deception in the expression of that voice ; it was a friend who spoke thus .","('speak', 'parler', 'hablar')",0,24,0
"three years had passed away since the escape of the prisoners from richmond , and how often during those three years had they spoken of their country , always present in their thoughts !","('speak', 'parler', 'hablar')",0,23,0
""" yes , bessie , i can both read it and speak it . ""","('speak', 'parler', 'hablar')",0,11,0
