text,ind,sense,label
"she started as if she had seen a ghost : i calmed her . to her hurried "" is it really you , miss , come at this late hour to this lonely place ? "" i answered by taking her hand ; and then i followed her into the kitchen , where john now sat by a good fire .",1,"('start', 'tressaillir', 'mirar')",0
"aouda , on seeing the locomotive come up , hurried out of the station , and asked the conductor , "" are you going to start ? """,25,"('start', 'partir', 'marchar')",1
"the communication was thus established between the two poles ; the current , starting from the positive pole , traversed the wire , passed through the magnet which was temporarily magnetized , and returned through the earth to the negative pole .",13,"('start', 'partir', 'partir')",2
"at eight o'clock the sledge was ready to start . the passengers took their places on it , and wrapped themselves up closely in their travelling - cloaks . the two great sails were hoisted , and under the pressure of the wind the sledge slid over the hardened snow with a velocity of forty miles an hour .",8,"('start', 'partir', 'marchar')",1
"he sat all night on his stool , starting at the least noise ; and when the first rays of the sun penetrated into his chamber , the dawn itself appeared to him to have taken funereal tints .",8,"('start', 'tressaillir', 'temblar')",3
"a train was ready to start when mr . fogg and his party reached the station , and they only had time to get into the cars . they had seen nothing of omaha ; but passepartout confessed to himself that this was not to be regretted , as they were not travelling to see the sights .",5,"('start', 'partir', 'marchar')",1
"the china , for liverpool , had started three - quarters of an hour before !",7,"('start', 'partir', 'salir')",4
"several times he pressed gideon spilett , but the latter , fearing , with good reason , that herbert 's wounds , half healed , might reopen on the way , did not give the order to start .",37,"('start', 'partir', 'marchar')",1
"peace with the landlord , in addition to athos ’s old horse , cost six pistoles . d’artagnan and athos took the nags of planchet and grimaud , and the two lackeys started on foot , carrying the saddles on their heads .",32,"('start', 'mettre', 'poner')",5
my uncle paid without a remark : a man who is starting for the centre of the earth need not be particular about a few rix dollars .,11,"('start', 'partir', 'partir')",2
"but at the moment of starting , herbert observed , that since they had no tinder , it would perhaps be prudent to replace it by another substance .",5,"('start', 'partir', 'partir')",2
"the engineer and pencroft , each armed with a double - barreled gun , and gideon spilett carrying his rifle , had nothing to do but start .",26,"('start', 'partir', 'partir')",2
""" i can never sit to you again , basil . it is impossible ! "" he exclaimed , starting back .",19,"('start', 'reculer', 'retroceder')",6
"whatever command she had over herself , milady could not help starting ; and as in pronouncing the last words lord de winter placed his hand upon the arm of his sister , this start did not escape him .",34,"('start', 'tressaillement', 'estremecimiento')",7
"there was no doubt that they might be killed , but on the other hand they might succeed , and without this storm!--without this storm the balloon would have started already and the looked - for opportunity would not have then presented itself .",29,"('start', 'partir', 'partir')",2
"as he was about to start , harding asked him if he would not like one of them to accompany him , observing that the island was less safe than formerly .",5,"('start', 'partir', 'marchar')",1
"he started , and the prisoner saw that start -- for though her eyes were cast down , nothing escaped her .",8,"('start', 'tressaillement', 'temblor')",8
""" to be sure they may ; and this very day we will write the letters , "" said aramis . "" give the lackeys money , and they will start . """,30,"('start', 'partir', 'partir')",2
"dorian started to his feet . a terrible hope fluttered past him . he clutched at it madly . "" where is the body ? "" he exclaimed . "" quick ! i must see it at once . """,1,"('start', 'bondir', 'poner')",9
all was ready for the start .,5,"('start', 'départ', 'marchar')",10
"the daily labors were pursued methodically , and , as well as improving the roads to the corral and to port balloon , a third was commenced , which , starting from the enclosure , proceeded towards the western coast .",30,"('start', 'partir', 'partir')",2
""" beware of what you do ! "" cried the young woman , in a manner so serious as to make d’artagnan start in spite of himself .",22,"('start', 'frissonner', 'temblar')",11
"the professor nodded slowly and uneasily like a man that declines to be convinced . i tried to resume the conversation . he answered not a word , and gave the signal for a start . i saw that his silence was nothing but ill - humour .",34,"('start', 'départ', 'marchar')",10
""" it does not signify , gentlemen , "" continued the cardinal , without appearing to be in the least swerved from his first intention by the diversion which athos had started , "" it does not signify , gentlemen . i do not like to have simple soldiers , because they have the advantage of serving in a privileged corps , thus to play the great lords ; discipline is the same for them as for everybody else . """,31,"('start', 'soulever', 'suscitar')",12
"the train had started punctually . among the passengers were a number of officers , government officials , and opium and indigo merchants , whose business called them to the eastern coast .",3,"('start', 'partir', 'salir')",4
"it took more than half an hour to cross from the islet to the land , and he reached the shore several hundred feet from the place which was opposite to the point from which he had started .",37,"('start', 'partir', 'salir')",4
"the confusion of his mind , the terror which spurred him on , the cries of some of the patrol who started in pursuit of him , and the hooting of the people who , notwithstanding the early hour , were going to their work , only made him precipitate his course .",21,"('start', 'mettre', 'poner')",5
"we started a stag of ten branches . we chased him for six hours , and when he was near being taken -- when st.-simon was already putting his horn to his mouth to sound the mort -- crack , all the pack takes the wrong scent and sets off after a two - year - older .",1,"('start', 'lancer', 'lanzar')",13
"she started to her feet . "" there he is ! "" she cried .",1,"('start', 'bondir', 'poner')",9
""" ah , you have a right to know about him . that is the cause of all the mischief , the wicked hugo , who started the hound of the baskervilles . we 're not likely to forget him . """,26,"('start', 'engendrer', 'poner')",14
"hallward started and then frowned . "" dorian engaged to be married ! "" he cried . "" impossible ! """,1,"('start', 'sursauter', 'sobresaltar')",15
