text,ind
"one instant after , the heavy step of a marine who served as sentinel was heard in the corridor -- his ax in his girdle and his musket on his shoulder .",6
"traversing the long and matted gallery , i descended the slippery steps of oak ; then i gained the hall : i halted there a minute ; i looked at some pictures on the walls ( one , i remember , represented a grim man in a cuirass , and one a lady with powdered hair and a pearl necklace ) , at a bronze lamp pendent from the ceiling , at a great clock whose case was of oak curiously carved , and ebon black with time and rubbing .",11
"the hall - door , which was half of glass , stood open ; i stepped over the threshold .",15
"however , the revolution which appeared upon his countenance was so visible that bonacieux was terrified at it , and he endeavored to draw back a step or two ; but as he was standing before the half of the door which was shut , the obstacle compelled him to keep his place .",26
""" you will go to buckingham in my behalf , and you will tell him i am acquainted with all the preparations he has made ; but that they give me no uneasiness , since at the first step he takes i will ruin the queen . """,38
"on their part , the french , on seeing the four friends return at such a step , uttered cries of enthusiasm .",16
"although he felt himself ably supported , the young man was not without a little uneasiness as he ascended the great staircase , step by step .",23
"although he felt himself ably supported , the young man was not without a little uneasiness as he ascended the great staircase , step by step .",25
"the moon was set , and it was very dark ; bessie carried a lantern , whose light glanced on wet steps and gravel road sodden by a recent thaw . raw and chill was the winter morning : my teeth chattered as i hastened down the drive .",21
""" i hear a horse ’s steps ; it is my brother setting off again . i should like to offer him a last salute . come ! """,6
"i stayed my step , almost my breath , and stood to watch him -- to examine him , myself unseen , and alas ! to him invisible .",3
"i had no difficulty in restraining my voice from exclamation , my step from hasty advance .",12
"worn out , indeed , i was ; not another step could i stir . i sank on the wet doorstep : i groaned -- i wrung my hands -- i wept in utter anguish .",10
"by day they did nothing but ascend and descend the steps which led to the chapel ; at night , in addition to complines and matins , they were further obliged to leap twenty times out of their beds and prostrate themselves on the floor of their cells .",10
""" that is to say , "" cried bonacieux , who saw he had taken a false step , "" that is to say-- """,17
athos did not leave his chamber ; he made up his mind not to take a single step to equip himself .,17
"athos availed himself of the permission , ascended the stairs with his lightest step , gained the landing , and through the open door perceived milady putting on her hat .",13
"i reached the lodge at gateshead about five o'clock in the afternoon of the first of may : i stepped in there before going up to the hall . it was very clean and neat : the ornamental windows were hung with little white curtains ; the floor was spotless ; the grate and fire - irons were burnished bright , and the fire burnt clear . bessie sat on the hearth , nursing her last - born , and robert and his sister played quietly in a corner .",19
"anne of austria took one step backward , became so pale that it might be said she was dying , and leaning with her left hand upon a table behind her to keep herself from falling , she with her right hand drew the paper from her bosom and held it out to the keeper of the seals .",5
"but this mystery would inevitably be cleared up , and soon , because captain nemo gave orders to increase speed ; at once the engine stepped up its drive power , setting the propeller in swifter rotation .",25
""" if , "" said i , "" you would just step upstairs and tell her i am come , i should be much obliged to you . """,11
"hardly , however , had he taken ten steps before he returned .",8
"many citizens , seeing the women flying toward the high street , leaving their children crying at the open doors , hastened to don the cuirass , and supporting their somewhat uncertain courage with a musket or a partisan , directed their steps toward the hostelry of the jolly miller , before which was gathered , increasing every minute , a compact group , vociferous and full of curiosity .",42
"athos dwelt in the rue ferou , within two steps of the luxembourg . his apartment consisted of two small chambers , very nicely fitted up , in a furnished house , the hostess of which , still young and still really handsome , cast tender glances uselessly at him .",9
"when she was only about three steps from him , he turned his head round , fixing his eyes steadfastly upon the lady with the red cushion , who had risen and was approaching , followed by her black boy and her woman .",6
"the bolts were drawn ; the door groaned upon its hinges . steps sounded in the chamber , and drew near .",12
"he walked six or seven times round the place royale , turning at every ten steps to look at the light in milady ’s apartment , which was to be seen through the blinds . it was evident that this time the young woman was not in such haste to retire to her apartment as she had been the first .",15
in one of those halts he heard the steps of several horses on the road .,8
"i crept forward through the nautilus 's dark gangways , pausing after each step to curb the pounding of my heart . i arrived at the corner door of the lounge . i opened it gently . the lounge was plunged in profound darkness . chords from the organ were reverberating faintly . captain nemo was there . he did n't see me . even in broad daylight i doubt that he would have noticed me , so completely was he immersed in his trance .",13
