text,ind,sense,label
""" my dear fellow , she tried to found a salon , and only succeeded in opening a restaurant . how could i admire her ? but tell me , what did she say about mr . dorian gray ? """,14,"('succeed', 'réussir', 'conseguir')",0
she remembered that almost unlimited promise which the cardinal had given her if she succeeded in her enterprise .,14,"('succeed', 'réussir', 'triunfar')",1
she had succeeded ; d’artagnan was then in her power !,2,"('succeed', 'réussir', 'triunfar')",1
"the resources of the colony , particularly in vegetables and corn , increased from day to day , and the plants brought from tabor island had succeeded perfectly .",26,"('succeed', 'réussir', 'arraigar')",2
"although alone , he succeeded in navigating the "" nautilus "" towards one of those submarine caverns which had sometimes served him as a harbor .",4,"('succeed', 'parvenir', 'lograr')",3
"courtiers , becoming every instant more numerous , succeeded one another , day and night , in the little house of the bridge of la pierre , in which the cardinal had established his residence .",8,"('succeed', 'succéder', 'sucederse')",4
""" often ! "" said milady , who , having entered this track , and perceiving that falsehood succeeded , was determined to follow it to the end .",18,"('succeed', 'réussir', 'triunfar')",1
they succeeded without much difficulty .,1,"('succeed', 'réussir', 'llevar')",5
"not without difficulty hans succeeded in lighting the torch ; and the flame , preserving its upward tendency , threw enough light to show us what kind of a place we were in .",4,"('succeed', 'parvenir', 'lograr')",3
bessie now endeavoured to persuade her to take a sedative draught : she succeeded with difficulty .,13,"('succeed', 'parvenir', 'lograr')",3
"as he left the room , dorian gray smiled to himself . poor basil ! how little he knew of the true reason ! and how strange it was that , instead of having been forced to reveal his own secret , he had succeeded , almost by chance , in wresting a secret from his friend ! how much that strange confession explained to him ! the painter 's absurd fits of jealousy , his wild devotion , his extravagant panegyrics , his curious reticences-- he understood them all now , and he felt sorry . there seemed to him to be something tragic in a friendship so coloured by romance .",44,"('succeed', 'réussir', 'lograr')",6
"so far , everything had succeeded , thanks to the activity of these courageous and intelligent men .",5,"('succeed', 'réussir', 'prosperar')",7
to this soon succeeded a hot fit ; his face became flushed ; his skin reddened ; his pulse quick ; then a profuse perspiration broke out after which the fever seemed to diminish .,3,"('succeed', 'succéder', 'suceder')",8
"at length , shortly after midnight , captain nemo by a supreme effort succeeded in folding his arms across his breast , as if wishing in that attitude to compose himself for death .",13,"('succeed', 'parvenir', 'lograr')",3
""" your eminence is right , "" replied milady ; "" and i have been wrong in seeing in the mission with which you honor me anything but that which it really is -- that is , to announce to his grace , on the part of your eminence , that you are acquainted with the different disguises by means of which he succeeded in approaching the queen during the fete given by madame the constable ; that you have proofs of the interview granted at the louvre by the queen to a certain italian astrologer who was no other than the duke of buckingham ; that you have ordered a little romance of a satirical nature to be written upon the adventures of amiens , with a plan of the gardens in which those adventures took place , and portraits of the actors who figured in them ; that montague is in the bastille , and that the torture may make him say things he remembers , and even things he has forgotten ; that you possess a certain letter from madame de chevreuse , found in his grace ’s lodging , which singularly compromises not only her who wrote it , but her in whose name it was written .",63,"('succeed', 'parvenir', 'conseguir')",9
"to the soup succeeded the peccaries , which pencroft insisted on carving himself , and of which he served out monstrous portions to each of the guests .",3,"('succeed', 'succéder', 'suceder')",8
"but when a severe frost succeeded this wet period , the wood , its fibers acquiring the hardness of iron , became extremely difficult to work , and about the 10th of june shipbuilding was obliged to be entirely discontinued .",5,"('succeed', 'succéder', 'suceder')",8
"but by means of a long , thin piece of iron rolled up like the barrel of a gun , pencroft succeeded in making a tube soon ready for use .",21,"('succeed', 'réussir', 'lograr')",6
"to the enormous lava rocks succeeded soon those capricious sand dunes , among which the engineer had been so singularly recovered , and which seabirds frequented in thousands .",5,"('succeed', 'succéder', 'suceder')",8
""" the day after my return to lille , my brother in his turn succeeded in making his escape ; i was accused of complicity , and was condemned to remain in his place till he should be again a prisoner .",14,"('succeed', 'parvenir', 'conseguir')",9
"gideon spilett threw into it about eighteen grains of quinine , and they succeeded in making herbert drink the mixture .",13,"('succeed', 'parvenir', 'conseguir')",9
to grief succeeded rage .,2,"('succeed', 'succéder', 'suceder')",8
he believed him capable of undertaking anything and succeeding in everything .,8,"('succeed', 'réussir', 'conseguirlo')",10
"a first horizontal movement to move the piece of wood , a second vertical movement to move the saw -- this was all that was wanted ; and the engineer succeeded by means of a wheel , two cylinders , and pulleys properly arranged .",30,"('succeed', 'réussir', 'conseguir')",0
"and yet , if she were a man she would attempt all this , and perhaps might succeed ; why , then , did heaven make the mistake of placing that manlike soul in that frail and delicate body ?",17,"('succeed', 'réussir', 'triunfar')",1
"in the first place , i have never succeeded by that means . perhaps if i employed my strength against women i might perchance find them weaker than myself , and consequently conquer them ; but it is with men that i struggle , and i am but a woman to them .",8,"('succeed', 'réussir', 'triunfar')",1
"to the schists succeeded gneiss , partially stratified , remarkable for the parallelism and regularity of its lamina , then mica schists , laid in large plates or flakes , revealing their lamellated structure by the sparkle of the white shining mica .",3,"('succeed', 'succéder', 'suceder')",8
"it was thus he had succeeded in approaching several times the beautiful and proud anne of austria , and in making himself loved by dazzling her .",5,"('succeed', 'arriver', 'conseguir')",11
"mr . fogg had not time to stop the brave fellow , who , opening a door unperceived by the indians , succeeded in slipping under the car ; and while the struggle continued and the balls whizzed across each other over his head , he made use of his old acrobatic experience , and with amazing agility worked his way under the cars , holding on to the chains , aiding himself by the brakes and edges of the sashes , creeping from one car to another with marvellous skill , and thus gaining the forward end of the train .",22,"('succeed', 'parvenir', 'conseguir')",9
"as in so many other conjectures , the colonists had appealed to the logic of that simple good sense of which they had made use so often , and once more , thanks to their general knowledge , it had succeeded !",40,"('succeed', 'réussir', 'lograr')",6
