text,sense,label,ind,new_label
""" oh , i am quite sure of that ! "" cried passepartout , laughing heartily .","('sure', 'sûr', 'seguro')",0,6,0
""" i think so too , miss . bessie said she was sure you would not refuse : but i suppose you will have to ask leave before you can get off ? ""","('sure', 'sûr', 'seguro')",1,12,0
""" i am sure of it . ""","('sure', 'sûr', 'seguro')",0,3,0
""" this wound ? bah , it is now nearly healed , and i am sure it is not that which gives you the most pain . ""","('sure', 'sûr', 'seguro')",0,15,0
""" amen ! "" said athos , "" and we will return to that subject later , if such be your pleasure ; but what for the moment engaged my attention most earnestly , and i am sure you will understand me , d’artagnan , was the getting from this woman a kind of carte blanche which she had extorted from the cardinal , and by means of which she could with impunity get rid of you and perhaps of us . ""","('sure', 'sûr', 'seguro')",0,37,0
"now , my dear host , while your young man was insensible , you did not fail , i am quite sure , to ascertain what that pocket contained .","('sure', 'sûr', 'seguro')",0,21,0
""" well , i am sure that in less than three days this balsam would cure you ; and at the end of three days , when you would be cured -- well , sir , it would still do me a great honor to be your man . ""","('sure', 'sûr', 'seguro')",0,5,0
"d’artagnan smiled -- for he understood that athos was sure of his vengeance when he revealed such a secret . porthos and aramis looked at each other , and grew pale .","('sure', 'sûr', 'seguro')",0,9,0
""" i am afraid that women appreciate cruelty , downright cruelty , more than anything else . they have wonderfully primitive instincts . we have emancipated them , but they remain slaves looking for their masters , all the same . they love being dominated . i am sure you were splendid . i have never seen you really and absolutely angry , but i can fancy how delightful you looked . and , after all , you said something to me the day before yesterday that seemed to me at the time to be merely fanciful , but that i see now was absolutely true , and it holds the key to everything . ""","('sure', 'sûr', 'seguro')",0,48,0
"certainly if neb had any important matter to communicate to his master he could not employ a more sure or more rapid messenger , who could pass where neither the colonists could , nor even top himself .","('sure', 'sûr', 'seguro')",0,18,0
""" my faith , my dear aramis , "" said d’artagnan , who detested verses almost as much as he did latin , "" add to the merit of the difficulty that of the brevity , and you are sure that your poem will at least have two merits . ""","('sure', 'sûr', 'seguro')",0,39,0
i had fixed the embarkation for the twenty - fourth ; but i have reflected that the more promptly the affair takes place the more sure it will be .,"('sure', 'sûr', 'seguro')",1,25,0
""" well , then , since she has left paris , and you are sure of it , d’artagnan , nothing prevents me , and i am ready to follow you .","('sure', 'sûr', 'seguro')",0,14,0
""" i am sure , sir , i should never mistake informality for insolence : one i rather like , the other nothing free - born would submit to , even for a salary . ""","('sure', 'sûr', 'seguro')",1,3,0
""" i tell you i am sure of it , "" continued the host . "" when i informed him that your lordship was the protege of monsieur de treville , and that you even had a letter for that illustrious gentleman , he appeared to be very much disturbed , and asked me where that letter was , and immediately came down into the kitchen , where he knew your doublet was . ""","('sure', 'sûr', 'seguro')",0,6,0
""" i wished to know the detail , "" said she , "" because , having many relatives in business , i was almost sure of obtaining things at a hundred per cent less than you would pay yourself . ""","('sure', 'sûr', 'seguro')",1,24,0
"conseil kept ned under observation . the harpooner walked in the lead , and during his stroll through this forest , he gathered with sure hands some excellent fruit that should have completed his provisions .","('sure', 'sûr', 'seguro')",1,24,0
"the lift once raised , this sure and comfortable retreat would be safe from any surprise .","('sure', 'sûr', 'seguro')",0,6,0
""" and even what i am sure of . ""","('sure', 'sûr', 'seguro')",0,6,0
""" and of what are you so sure ? ""","('sure', 'sûr', 'seguro')",0,7,0
""" yes , yes , very sure ! ""","('sure', 'sûr', 'seguro')",1,6,0
"conseil looked at it with purely scientific fascination , and i 'm sure he placed it , not without good reason , in the class of cartilaginous fish , order chondropterygia with fixed gills , family selacia , genus squalus .","('sure', 'sûr', 'seguro')",0,12,0
