text,ind
"to complete the exact inventory of all our travelling accompaniments , i must not forget a pocket medicine chest , containing blunt scissors , splints for broken limbs , a piece of tape of unbleached linen , bandages and compresses , lint , a lancet for bleeding , all dreadful articles to take with one . then there was a row of phials containing dextrine , alcoholic ether , liquid acetate of lead , vinegar , and ammonia drugs which afforded me no comfort . finally , all the articles needful to supply ruhmkorff 's apparatus .",8
"had he travelled ? it was likely , for no one seemed to know the world more familiarly ; there was no spot so secluded that he did not appear to have an intimate acquaintance with it . he often corrected , with a few clear words , the thousand conjectures advanced by members of the club as to lost and unheard - of travellers , pointing out the true probabilities , and seeming as if gifted with a sort of second sight , so often did events justify his predictions . he must have travelled everywhere , at least in the spirit .",95
""" unintentionally ? "" the stranger replied , raising his voice a little . "" was it unintentionally that the abraham lincoln hunted me on every sea ? was it unintentionally that you traveled aboard that frigate ? was it unintentionally that your shells bounced off my ship 's hull ? was it unintentionally that mr . ned land hit me with his harpoon ? """,33
"this time there could be no doubt ; d’artagnan was really insulted . full , then , of this conviction , he pulled his cap down over his eyes , and endeavoring to copy some of the court airs he had picked up in gascony among young traveling nobles , he advanced with one hand on the hilt of his sword and the other resting on his hip .",47
""" i 'm sure , sir , you had better not . it 's the worst road to travel after dark that can be : there 's no track at all over the bog .",18
"on april 13 , 1867 , with a smooth sea and a moderate breeze , the scotia lay in longitude 15 degrees 12 ' and latitude 45 degrees 37 ' . it was traveling at a speed of 13.43 knots under the thrust of its 1,000-horsepower engines . its paddle wheels were churning the sea with perfect steadiness . it was then drawing 6.7 meters of water and displacing 6,624 cubic meters .",33
"now then , justly or unjustly , it was the "" monster "" who stood accused of their disappearance ; and since , thanks to it , travel between the various continents had become more and more dangerous , the public spoke up and demanded straight out that , at all cost , the seas be purged of this fearsome cetacean .",27
""" and who goes with you ? you do n't travel a hundred miles alone . """,10
""" well , you must have some money ; you ca n't travel without money , and i daresay you have not much : i have given you no salary yet .",12
"but this hypothesis of a war machine collapsed in the face of formal denials from the various governments . since the public interest was at stake and transoceanic travel was suffering , the sincerity of these governments could not be doubted . besides , how could the assembly of this underwater boat have escaped public notice ? keeping a secret under such circumstances would be difficult enough for an individual , and certainly impossible for a nation whose every move is under constant surveillance by rival powers .",28
"when we had laid aside our travelling wraps the voice of the host was heard inviting us to the kitchen , the only room where a fire was lighted even in the severest cold .",6
"it was evident to us that all pursuit was in vain until the fog had lifted . meanwhile we left lestrade in possession of the house while holmes and i went back with the baronet to baskerville hall . the story of the stapletons could no longer be withheld from him , but he took the blow bravely when he learned the truth about the woman whom he had loved . but the shock of the night 's adventures had shattered his nerves , and before morning he lay delirious in a high fever , under the care of dr . mortimer . the two of them were destined to travel together round the world before sir henry had become once more the hale , hearty man that he had been before he became master of that ill - omened estate .",110
"a train was ready to start when mr . fogg and his party reached the station , and they only had time to get into the cars . they had seen nothing of omaha ; but passepartout confessed to himself that this was not to be regretted , as they were not travelling to see the sights .",52
"i waited with the deepest anxiety . sound does not travel with great velocity . even increased density air has no effect upon its rate of travelling ; it merely augments its intensity . seconds , which seemed ages , passed away , and at last these words reached me :",10
""" do you think , then , monsieur , that we shall travel faster with two horses apiece ? "" said planchet , with his shrewd air .",12
"now , as they had already traveled eleven leagues , d’artagnan thought it time to stop , whether porthos were or were not in the inn .",6
"now , i travel a great deal , particularly on this road , and i wish to see all innkeepers making a fortune . """,3
""" there , sir , you are redd up and made decent . now i 'll leave you : i have been travelling these last three days , and i believe i am tired .",22
just now we ca n't even dream of returning to france . travel between upper norway and the south is limited . so i have to wait for the arrival of a steamboat that provides bimonthly service from north cape .,12
"that ’s well madame ; and there is an old proverb that says , ’ traveling trains youth . ’",15
""" lord , who can say , monsieur ? with some gentleman who was traveling this way , to whom he proposed a game of lansquenet . """,14
"i had brushed my black stuff travelling - dress , prepared my bonnet , gloves , and muff ; sought in all my drawers to see that no article was left behind ; and now having nothing more to do , i sat down and tried to rest . i could not ; though i had been on foot all day , i could not now repose an instant ; i was too much excited .",6
"it was a melancholy sight -- that of these six men , traveling in silence , each plunged in his own thoughts , sad as despair , gloomy as chastisement .",12
"a little before they came to fromelles the storm burst . they spread their cloaks . there remained three leagues to travel , and they did it amid torrents of rain .",21
"amongst these streams i recognised our faithful travelling companion , the hansbach , coming to lose its little volume quietly in the mighty sea , just as if it had done nothing else since the beginning of the world .",7
"we must , then , as it appears to me , travel in company .",11
"sir thomas frowned . "" i am afraid that your nephew is prejudiced against that great country , "" he said to lady agatha . "" i have travelled all over it in cars provided by the directors , who , in such matters , are extremely civil . i assure you that it is an education to visit it . """,28
"i remember but little of the journey ; i only know that the day seemed to me of a preternatural length , and that we appeared to travel over hundreds of miles of road .",27
""" it is strange , "" said he to martin , "" very strange that i should have time to sail from surinam to bordeaux ; to travel thence to paris , to dieppe , to portsmouth ; to sail along the coast of portugal and spain , and up the mediterranean to spend some months at venice ; and that my lovely cunegund should not have arrived . instead of her , i only met with a parisian impostor , and a rascally abbe of perigord .",27
"dorian looked at him and smiled . "" what a way for a fashionable painter to travel ! a gladstone bag and an ulster ! come in , or the fog will get into the house . and mind you do n't talk about anything serious . nothing is serious nowadays . at least nothing should be . """,16
""" but i 'll not keep you sitting up late to - night , "" said she ; "" it is on the stroke of twelve now , and you have been travelling all day : you must feel tired .",32
"the transparency of salt water has long been recognized . its clarity is believed to exceed that of spring water . the mineral and organic substances it holds in suspension actually increase its translucency . in certain parts of the caribbean sea , you can see the sandy bottom with startling distinctness as deep as 145 meters down , and the penetrating power of the sun 's rays seems to give out only at a depth of 300 meters . but in this fluid setting traveled by the nautilus , our electric glow was being generated in the very heart of the waves . it was no longer illuminated water , it was liquid light .",85
"mr . fogg and his servant went ashore at aden to have the passport again visaed ; fix , unobserved , followed them . the visa procured , mr . fogg returned on board to resume his former habits ; while passepartout , according to custom , sauntered about among the mixed population of somalis , banyans , parsees , jews , arabs , and europeans who comprise the twenty - five thousand inhabitants of aden . he gazed with wonder upon the fortifications which make this place the gibraltar of the indian ocean , and the vast cisterns where the english engineers were still at work , two thousand years after the engineers of solomon . "" very curious , very curious , "" said passepartout to himself , on returning to the steamer . "" i see that it is by no means useless to travel , if a man wants to see something new . """,147
""" and how shall i travel , then ? """,5
""" it is that as i was cruelly bored , as you say , and as i had the seventy - five pistoles in my pocket which you had distributed to me , in order to amuse myself i invited a gentleman who was traveling this way to walk up , and proposed a cast of dice .",44
on the 13th of august we awoke early . we were now to begin to adopt a mode of travelling both more expeditious and less fatiguing than hitherto .,19
"the aspect of the country , as well as the manners and distinctions of race , is daily changing . formerly one was obliged to travel in india by the old cumbrous methods of going on foot or on horseback , in palanquins or unwieldy coaches ; now fast steamboats ply on the indus and the ganges , and a great railway , with branch lines joining the main line at many points on its route , traverses the peninsula from bombay to calcutta in three days .",25
"we parted soon after ; for i made him little answer , and i saw him no more ; which way he went i knew not . as for me , having some money in my pocket , i travelled to london by land ; and there , as well as on the road , had many struggles with myself what course of life i should take , and whether i should go home or to sea .",39
"phileas fogg had , without suspecting it , gained one day on his journey , and this merely because he had travelled constantly eastward ; he would , on the contrary , have lost a day had he gone in the opposite direction , that is , westward .",21
"journeys , you know , appear much shorter when we travel two in company . """,10
"a steep curve of heath - clad land , an outlying spur of the moor , lay in front of us . on the summit , hard and clear like an equestrian statue upon its pedestal , was a mounted soldier , dark and stern , his rifle poised ready over his forearm . he was watching the road along which we travelled .",62
"on the right and on the left of the road , which the dismal procession pursued , appeared a few low , stunted trees , which looked like deformed dwarfs crouching down to watch men traveling at this sinister hour .",35
""" that ’s impossible , "" said the gentleman ; "" i have traveled sixty leagues in forty hours , and by tomorrow at midday i must be in london . """,13
