text,ind
""" i had been at the seminary from nine years old ; in three days i should have been twenty .",19
the king made his entrance into paris on the twenty - third of december of the same year .,9
"la rochelle , deprived of the assistance of the english fleet and of the diversion promised by buckingham , surrendered after a siege of a year . on the twenty - eighth of october , 1628 , the capitulation was signed .",29
""" twenty - two minutes after eleven , "" returned passepartout , drawing an enormous silver watch from the depths of his pocket .",1
""" you are four minutes too slow . no matter ; it 's enough to mention the error . now from this moment , twenty - nine minutes after eleven , a.m. , this wednesday , 2nd october , you are in my service . """,24
"the iron , prepared previously in long thin rods , the ends of which were sharpened with the file , having been introduced into the largest hole of the drawplate , was drawn out by the beam which wound it round itself , to a length of twenty - five or thirty feet , then unrolled , and the same operation was performed successively through the holes of a less size .",47
"by day they did nothing but ascend and descend the steps which led to the chapel ; at night , in addition to complines and matins , they were further obliged to leap twenty times out of their beds and prostrate themselves on the floor of their cells .",33
""" spain had to withstand these allies . but the country had practically no army or navy . yet it was n't short of money , provided that its galleons , laden with gold and silver from america , could enter its ports . now then , late in 1702 spain was expecting a rich convoy , which france ventured to escort with a fleet of twenty - three vessels under the command of admiral de chateau - renault , because by that time the allied navies were roving the atlantic .",66
""" a true englishman does n't joke when he is talking about so serious a thing as a wager , "" replied phileas fogg , solemnly . "" i will bet twenty thousand pounds against anyone who wishes that i will make the tour of the world in eighty days or less ; in nineteen hundred and twenty hours , or a hundred and fifteen thousand two hundred minutes . do you accept ? """,31
""" a true englishman does n't joke when he is talking about so serious a thing as a wager , "" replied phileas fogg , solemnly . "" i will bet twenty thousand pounds against anyone who wishes that i will make the tour of the world in eighty days or less ; in nineteen hundred and twenty hours , or a hundred and fifteen thousand two hundred minutes . do you accept ? """,57
"the lad was thirty years old , and his age to that of his employer was as fifteen is to twenty . please forgive me for this underhanded way of admitting i had turned forty .",20
""" this very evening , "" returned phileas fogg . he took out and consulted a pocket almanac , and added , "" as today is wednesday , the 2nd of october , i shall be due in london in this very room of the reform club , on saturday , the 21st of december , at a quarter before nine p.m. ; or else the twenty thousand pounds , now deposited in my name at baring 's , will belong to you , in fact and in right , gentlemen . here is a cheque for the amount . """,66
"passepartout nearly dropped the bag , as if the twenty thousand pounds were in gold , and weighed him down .",9
"mr . fogg took out the twenty guineas he had just won at whist , and handed them to the beggar , saying , "" here , my good woman . i 'm glad that i met you ; "" and passed on .",6
"phileas fogg and his servant seated themselves in a first - class carriage at twenty minutes before nine ; five minutes later the whistle screamed , and the train slowly glided out of the station .",14
""" let me have the hotel directory , "" said holmes . "" thank you ! now , cartwright , there are the names of twenty - three hotels here , all in the immediate neighbourhood of charing cross . do you see ? """,25
""" you will begin in each case by giving the outside porter one shilling . here are twenty - three shillings . """,17
"however , during the first week of april , after a sudden barometrical fall , a renewed rise was marked by a heavy gale of wind , lasting five or six days ; then the needle of the instrument remained stationary at a height of twenty - nine inches and nine - tenths , and the weather appeared propitious for an excursion .",45
the carriage had been twenty minutes behind the time appointed .,4
"of the ninety miles which the perimeter of the island measured , twenty included the south coast between the port and the promontory .",12
""" st john was only twenty - nine , sir . """,5
