text,ind
"he was compelled , then , after having swallowed the contents of his bottle , to pass the time as well as to evade suspicion , to fall into the easiest position in his corner and to sleep , whether well or ill .",39
""" i 'm not sure about whether i shall go . i am the most incurably lazy devil that ever stood in shoe leather — that is , when the fit is on me , for i can be spry enough at times . """,6
this silence damped me . i thought perhaps the alterations had disturbed some old associations he valued . i inquired whether this was the case : no doubt in a somewhat crest - fallen tone .,20
"i did n't reply to the canadian 's proposition but kept watching the ship , which was looming larger on the horizon . whether it was english , french , american , or russian , it would surely welcome us aboard if we could just get to it .",23
""" the devil 's agents may be of flesh and blood , may they not ? there are two questions waiting for us at the outset . the one is whether any crime has been committed at all ; the second is , what is the crime and how was it committed ? of course , if dr . mortimer 's surmise should be correct , and we are dealing with forces outside the ordinary laws of nature , there is an end of our investigation . but we are bound to exhaust all other hypotheses before falling back upon this one . i think we 'll shut that window again , if you do n't mind . it is a singular thing , but i find that a concentrated atmosphere helps a concentration of thought . i have not pushed it to the length of getting into a box to think , but that is the logical outcome of my convictions . have you turned the case over in your mind ? """,30
"therefore , whoever he may be , whether shipwrecked , or exiled on our island , we shall be ungrateful , if we think ourselves freed from gratitude towards him .",7
"bessie is not sure whether she is in her right mind , or means anything by the words ; but she told miss reed and miss georgiana , and advised them to send for you .",4
"the gentleman raised his eyes slowly from the nag to his cavalier , as if he required some time to ascertain whether it could be to him that such strange reproaches were addressed ; then , when he could not possibly entertain any doubt of the matter , his eyebrows slightly bent , and with an accent of irony and insolence impossible to be described , he replied to d’artagnan , "" i was not speaking to you , sir . """,21
"mr . rochester continued--""adele showed me some sketches this morning , which she said were yours . i do n't know whether they were entirely of your doing ; probably a master aided you ? """,21
"the conversation lasted some time and turned chiefly on the form of government , their manners , their women , their public diversions , and the arts . at length , candide , who had always had a taste for metaphysics , asked whether the people of that country had any religion .",43
"although athos was scarcely thirty years old , and was of great personal beauty and intelligence of mind , no one knew whether he had ever had a mistress .",22
"whether we find this mysterious being or not , we shall at least have fulfilled our duty towards him . """,0
"all the way along d’artagnan had been consulting with himself whether he should place confidence in m. de treville , or whether he should only ask him to give him carte blanche for some secret affair .",10
"porthos , as we have seen , had a character exactly opposite to that of athos . he not only talked much , but he talked loudly , little caring , we must render him that justice , whether anybody listened to him or not . he talked for the pleasure of talking and for the pleasure of hearing himself talk . he spoke upon all subjects except the sciences , alleging in this respect the inveterate hatred he had borne to scholars from his childhood .",38
""" what ? "" said mrs . reed under her breath : her usually cold composed grey eye became troubled with a look like fear ; she took her hand from my arm , and gazed at me as if she really did not know whether i were child or fiend .",45
"at this point the propeller 's vibrations slowed down appreciably , then they died out altogether . why was the nautilus stopping ? whether this layover would help or hinder ned land 's schemes i could n't have said .",23
""" i agree , monsieur ; but do not be too confident . take your handkerchief ; whether it belongs to you or another , you may perhaps stand in need of it . """,17
"they were ignorant of what it was , whether an island or a continent , for they did not know to what part of the world the hurricane had driven them .",8
"but they must reach this land , whether inhabited or desolate , whether hospitable or not .",7
"but they must reach this land , whether inhabited or desolate , whether hospitable or not .",12
"with his subtle smile , lord henry watched him . he knew the precise psychological moment when to say nothing . he felt intensely interested . he was amazed at the sudden impression that his words had produced , and , remembering a book that he had read when he was sixteen , a book which had revealed to him much that he had not known before , he wondered whether dorian gray was passing through a similar experience . he had merely shot an arrow into the air . had it hit the mark ? how fascinating the lad was !",70
"this was such a new idea to alice , that she was quite silent for a minute or two , which gave the pigeon the opportunity of adding , ' you 're looking for eggs , i know that well enough ; and what does it matter to me whether you 're a little girl or a serpent ? '",49
"you have a ' faux air ' of nebuchadnezzar in the fields about you , that is certain : your hair reminds me of eagles ' feathers ; whether your nails are grown like birds ' claws or not , i have not yet noticed . """,28
""" but , whether it is an island or a continent , "" asked gideon spilett , "" whereabouts do you think , cyrus , this storm has thrown us ? """,3
""" well , i seem to have come into an inheritance with a vengeance , "" said he when the long narrative was finished . "" of course , i 've heard of the hound ever since i was in the nursery . it 's the pet story of the family , though i never thought of taking it seriously before . but as to my uncle 's death -- well , it all seems boiling up in my head , and i ca n't get it clear yet . you do n't seem quite to have made up your mind whether it 's a case for a policeman or a clergyman . """,101
