text,ind
"your mother will add to them a recipe for a certain balsam , which she had from a bohemian and which has the miraculous virtue of curing all wounds that do not reach the heart .",28
"first , my stranger of meung ; then de wardes , to whom i have given three sword wounds ; next milady , whose secret i have discovered ; finally , the cardinal , whose vengeance i have balked . """,18
"sir henry lay insensible where he had fallen . we tore away his collar , and holmes breathed a prayer of gratitude when we saw that there was no sign of a wound and that the rescue had been in time . already our friend 's eyelids shivered and he made a feeble effort to move . lestrade thrust his brandy - flask between the baronet 's teeth , and two frightened eyes were looking up at us .",32
"meanwhile the passengers and some of the wounded , among them colonel proctor , whose injuries were serious , had taken their places in the train . the buzzing of the over - heated boiler was heard , and the steam was escaping from the valves . the engineer whistled , the train started , and soon disappeared , mingling its white smoke with the eddies of the densely falling snow .",7
"conceal your wounds when you have any ; silence is the last joy of the unhappy . beware of giving anyone the clue to your griefs ; the curious suck our tears as flies suck the blood of a wounded hart . """,2
"conceal your wounds when you have any ; silence is the last joy of the unhappy . beware of giving anyone the clue to your griefs ; the curious suck our tears as flies suck the blood of a wounded hart . """,39
"the host , fearful of consequences , with the help of his servants carried the wounded man into the kitchen , where some trifling attentions were bestowed upon him .",15
"besides , his intention was formed to make the brave musketeer all suitable apologies , but without meanness or weakness , fearing that might result from this duel which generally results from an affair of this kind , when a young and vigorous man fights with an adversary who is wounded and weakened -- if conquered , he doubles the triumph of his antagonist ; if a conqueror , he is accused of foul play and want of courage .",50
"the balloon , relieved of their weight , was taken by the wind , and like a wounded bird which revives for an instant , disappeared into space .",17
""" in my wife ’s chamber , on the first flight , where they are dressing his wounds . """,17
""" even when one has been wounded by it , harry ? "" asked the duchess after a pause . "" especially when one has been wounded by it , "" answered lord henry .",6
""" even when one has been wounded by it , harry ? "" asked the duchess after a pause . "" especially when one has been wounded by it , "" answered lord henry .",26
""" go , ayrton , "" replied the engineer , who felt sure that a refusal would have deeply wounded the former convict , now become an honest man .",19
the relative inferiority which it proved was of a nature to wound a haughty spirit .,11
""" that ’s the first time i ever heard of anybody trying to cure gunshot wounds with cat - o’-nine - tails ; but you were ill , and illness renders the head weak , therefore you may be excused . """,15
no sooner had i voiced this regret than i felt it must have wounded captain nemo .,13
"drearily i wound my way downstairs : i knew what i had to do , and i did it mechanically .",2
"the bed , which she had kept from prudence and that they might believe her seriously wounded , burned her like a bed of fire .",16
i had no solace from self - approbation : none even from self - respect . i had injured -- wounded -- left my master .,20
"the engineer 's wounds rapidly healed , and it was during his convalescence that he made acquaintance with the reporter .",3
but his wound had rendered him too weak to support such an exertion .,2
"happily the creature did not attack them , or they might not have escaped without a severe wound .",17
"but what shall we drink to , so as to avoid wounding any susceptibility ?",11
""" but you are not the men to allow sword wounds to be inflicted upon you thus , "" said the cardinal . "" come , be frank , gentlemen , you have settled accounts with somebody ! confess ; you know i have the right of giving absolution . """,10
"my rest might have been blissful enough , only a sad heart broke it . it plained of its gaping wounds , its inward bleeding , its riven chords .",20
""" porthos is wounded , then ? """,3
"mrs . fairfax has said something , perhaps ? or you have overheard the servants talk?--your sensitive self - respect has been wounded ? """,22
"the sailor was wounded himself , but his wound was insignificant , as were those of his companions ; for thanks to their firearms they had been almost always able to keep their assailants at a distance .",3
"the sailor was wounded himself , but his wound was insignificant , as were those of his companions ; for thanks to their firearms they had been almost always able to keep their assailants at a distance .",8
"it did not appear that any vital part had been reached , but jup was very weak from loss of blood , and a high fever soon set in after his wounds had been dressed .",31
"two were fired -- one , aimed at bob harvey , did not wound him , or at any rate only slightly , and ayrton , profiting by the momentary retreat of his adversaries , rushed towards the companion - ladder to gain the deck .",13
"they passed in silence through the little village of festubert , where the wounded servant was , and then skirted the wood of richebourg . at herlier , planchet , who led the column , turned to the left .",13
""" we should only be three , one of whom is wounded , with the addition of a boy , "" resumed athos ; "" and yet it will not be the less said we were four men . """,11
"it was , therefore , nineteen days since neb had had other news than that brought by top -- disastrous news : ayrton disappeared , herbert severely wounded , the engineer , reporter , and sailor , as it were , imprisoned in the corral !",27
"it was ayrton , slightly wounded in the shoulder , and pencroft , safe and sound , whom their friends received with open arms .",5
""" has he been wounded , then ? """,4
"in the first place he had made rough work of it ; one man was killed on the spot , and two others were severely wounded .",25
"in five minutes three were slightly wounded , one on the hand , another on the ear , by the defender of the stair , who himself remained intact -- a piece of skill which was worth to him , according to the rules agreed upon , three turns of favor .",6
"as monsieur porthos is a very boastful man , he insists that nobody shall know he has received this wound except the duchess , whom he endeavored to interest by an account of his adventure . """,19
"athos , wounded anew by cahusac , became evidently paler , but did not give way a foot . he only changed his sword hand , and fought with his left hand .",2
""" dead or desperately wounded , as i left without having been able to hear anything of him . a fanatic has just assassinated him . """,4
"the dead man and the two wounded were carried off by their comrades , and i have heard nothing of either of them since .",6
"monsieur grimaud ( he told us his name , although he does not talk much)--monsieur grimaud , then , went down to the cellar , wounded as he was ; then his master , having admitted him , barricaded the door afresh , and ordered us to remain quietly in our own bar . """,25
"the watch might come up and take all the combatants , wounded or not , royalists or cardinalists .",11
d’artagnan became very pale ; he was wounded in his self - love : he thought that it was in his love .,7
"d’artagnan did the same . then , assisted by bicarat , the only one left standing , he bore jussac , cahusac , and one of aramis ’s adversaries who was only wounded , under the porch of the convent .",32
"had this half - naked man , who had forced the door of the powder - magazine , and with whom they had struggled , who had six times discharged his revolver at them , who had killed one and wounded two others , escaped their shot ?",40
"therefore mousqueton alone fell from his horse , not because he was severely wounded , but not being able to see the wound , he judged it to be more serious than it really was .",13
"forward ! "" aramis , wounded as he was , seized the mane of his horse , which carried him on with the others .",5
""" perhaps he has fainted or is wounded , and unable to reply directly , so we will not despair . """,7
""" would it comfort , or would it wound you to have a similar painting ?",8
""" are you sure that the peccary wounded by this bullet was not more than three months old ? """,7
