text,ind,sense,label
"la rochelle , deprived of the assistance of the english fleet and of the diversion promised by buckingham , surrendered after a siege of a year . on the twenty - eighth of october , 1628 , the capitulation was signed .",25,"('year', 'an', 'año')",0
the king made his entrance into paris on the twenty - third of december of the same year .,17,"('year', 'année', 'año')",1
""" i had been at the seminary from nine years old ; in three days i should have been twenty .",9,"('year', 'an', 'año')",0
""" in hundreds of thousands of years , my boy . """,6,"('year', 'an', 'año')",0
"porthos left the service , and in the course of the following year married mme . coquenard ; the coffer so much coveted contained eight hundred thousand livres .",12,"('year', 'année', 'año')",1
"i informed my superiors that i did not feel myself sufficiently prepared for ordination , and at my request the ceremony was postponed for a year .",25,"('year', 'an', 'año')",0
"i sought out the best fencing master in paris , i made an agreement with him to take a lesson every day , and every day for a year i took that lesson .",28,"('year', 'année', 'año')",1
"there are two currents here : an upper current , long known to exist , that carries the ocean 's waters into the mediterranean basin ; then a lower countercurrent , the only present - day proof of its existence being logic . in essence , the mediterranean receives a continual influx of water not only from the atlantic but from rivers emptying into it ; since local evaporation is n't enough to restore the balance , the total amount of added water should make this sea 's level higher every year . yet this is n't the case , and we 're naturally forced to believe in the existence of some lower current that carries the mediterranean 's surplus through the strait of gibraltar and into the atlantic basin .",91,"('year', 'année', 'año')",1
"i took him to the rue payenne , to exactly the same spot where , a year before , at the very same hour , he had paid me the compliment i have related to you .",16,"('year', 'an', 'año')",0
"our breakfast - table was cleared early , and holmes waited in his dressing - gown for the promised interview . our clients were punctual to their appointment , for the clock had just struck ten when dr . mortimer was shown up , followed by the young baronet . the latter was a small , alert , dark - eyed man about thirty years of age , very sturdily built , with thick black eyebrows and a strong , pugnacious face . he wore a ruddy - tinted tweed suit and had the weather - beaten appearance of one who has spent most of his time in the open air , and yet there was something in his steady eye and the quiet assurance of his bearing which indicated the gentleman .",64,"('year', 'année', 'año')",1
"the musketeer met with a superb andalusian horse , black as jet , nostrils of fire , legs clean and elegant , rising six years .",24,"('year', 'an', 'año')",0
""" certainly , "" returned ralph . "" i agree with mr . fogg . the world has grown smaller , since a man can now go round it ten times more quickly than a hundred years ago . and that is why the search for this thief will be more likely to succeed . """,36,"('year', 'an', 'año')",0
""" in essence , the year before , the royal houses of holland , austria , and england had signed a treaty of alliance at the hague , aiming to wrest the spanish crown from king philip v and to place it on the head of an archduke whom they prematurely dubbed king charles iii .",5,"('year', 'année', 'año')",1
"however , pencroft had thought of doing so , but cyrus harding having told him that even if he managed to count three hundred grains a minute , or nine thousand an hour , it would take him nearly five thousand five - hundred years to finish his task , the honest sailor considered it best to give up the idea .",44,"('year', 'an', 'año')",0
"the lad was thirty years old , and his age to that of his employer was as fifteen is to twenty . please forgive me for this underhanded way of admitting i had turned forty .",4,"('year', 'an', 'año')",0
"cyrus harding gazed at the sheet of white without saying anything , for he really did not know how to explain this phenomenon , at this time of year and in such a temperature .",28,"('year', 'année', 'año')",1
"a few days after came the 26th of march , the day on which , two years before , the castaways from the air had been thrown upon lincoln island .",16,"('year', 'an', 'año')",0
two years already ! and for two years the colonists had had no communication with their fellow - creatures !,1,"('year', 'an', 'año')",0
two years already ! and for two years the colonists had had no communication with their fellow - creatures !,7,"('year', 'an', 'año')",0
"during these two years not a vessel had passed in sight of the island ; or , at least , not a sail had been seen .",3,"('year', 'année', 'año')",1
""" we can take our time , "" said the reporter , "" and we must give up the voyage to tabor island for this year . """,25,"('year', 'année', 'año')",1
"i remained an inmate of its walls , after its regeneration , for eight years : six as pupil , and two as teacher ; and in both capacities i bear my testimony to its value and importance .",14,"('year', 'année', 'año')",1
"during these eight years my life was uniform : but not unhappy , because it was not inactive .",3,"('year', 'année', 'año')",1
in time i rose to be the first girl of the first class ; then i was invested with the office of teacher ; which i discharged with zeal for two years : but at the end of that time i altered .,31,"('year', 'année', 'año')",1
""" you forget , my friends , "" then said cyrus harding , "" that ayrton was not in possession of his reason during the last years of his stay there .",26,"('year', 'année', 'año')",1
""" yes , "" said the reporter , "" and i will add that he will return soon , for it is twelve years since ayrton was abandoned . """,23,"('year', 'an', 'año')",0
"ned land was about forty years old . a man of great height -- over six english feet -- he was powerfully built , serious in manner , not very sociable , sometimes headstrong , and quite ill - tempered when crossed . his looks caught the attention , and above all the strength of his gaze , which gave a unique emphasis to his facial appearance .",5,"('year', 'an', 'año')",0
"i 'm writing of this bold companion as i currently know him . because we 've become old friends , united in that permanent comradeship born and cemented during only the most frightful crises ! ah , my gallant ned ! i ask only to live 100 years more , the longer to remember you !",47,"('year', 'an', 'año')",0
