text,sense,label,ind,new_label
"the tide was already strong , for in three days the moon would be full , and it was enough to keep the boat in the center of the current , where it floated swiftly along between the high banks without its being necessary to increase its speed by the aid of the oars .","('boat', 'pirogue', 'piragua')",0,23,0
""" yes , "" i said , "" it 's a sad occupation , and one that exists only to gratify the whims of fashion . but tell me , captain , how many oysters can a boat fish up in a workday ? ""","('boat', 'bateau', 'barco')",1,37,1
"the voyage was continued , and as the mercy appeared to flow not towards the shore , but rather towards mount franklin , it was decided that they should use the boat as long as there was enough water under its keel to float it .","('boat', 'pirogue', 'piragua')",0,31,0
"by january 2 we had fared 11,340 miles , hence 5,250 leagues , from our starting point in the seas of japan . before the nautilus 's spur there stretched the dangerous waterways of the coral sea , off the northeast coast of australia . our boat cruised along a few miles away from that daunting shoal where captain cook 's ships wellnigh miscarried on june 10 , 1770 . the craft that cook was aboard charged into some coral rock , and if his vessel did n't go down , it was thanks to the circumstance that a piece of coral broke off in the collision and plugged the very hole it had made in the hull .","('boat', 'bateau', 'barco')",1,46,1
"a boat would be seen where a man may glide between wind and water . ""","('boat', 'pirogue', 'piragua')",0,1,0
"pencroft and neb , during this time , had gone to fetch the boat , moored a few hundred feet higher up , on the bank of the mercy , and by the time they returned , ayrton was ready to start .","('boat', 'pirogue', 'piragua')",0,13,0
ayrton then shoved off with pencroft in the boat .,"('boat', 'pirogue', 'piragua')",0,8,0
"the boat was pushed on through the forest , which gradually became thicker again , and appeared also to have more inhabitants ; for if the eyes of the sailor did not deceive him , he thought he saw bands of monkeys springing among the trees .","('boat', 'pirogue', 'piragua')",2,1,0
"but soon the boat grated on the stony bottom of the river , which was now not more than twenty feet in breadth .","('boat', 'pirogue', 'piragua')",0,3,0
"still , some means must be found to cross the atlantic on a boat , unless by balloon -- which would have been venturesome , besides not being capable of being put in practice . it seemed that phileas fogg had an idea , for he said to the captain ,","('boat', 'bateau', 'barco')",1,13,1
""" is your honour looking for a boat ? ""","('boat', 'bateau', 'barco')",1,7,1
"near 5:30 the first glimmers of light on the horizon defined the upper lines of the coast with greater distinctness . fairly flat to the east , it swelled a little toward the south . five miles still separated it from us , and its beach merged with the misty waters . between us and the shore , the sea was deserted . not a boat , not a diver . profound solitude reigned over this gathering place of pearl fishermen . as captain nemo had commented , we were arriving in these waterways a month too soon .","('boat', 'bateau', 'barco')",1,65,1
""" here we are , professor aronnax , "" captain nemo then said . "" you observe this confined bay ? a month from now in this very place , the numerous fishing boats of the harvesters will gather , and these are the waters their divers will ransack so daringly . this bay is felicitously laid out for their type of fishing . it 's sheltered from the strongest winds , and the sea is never very turbulent here , highly favorable conditions for diving work . now let 's put on our underwater suits , and we 'll begin our stroll . ""","('boat', 'bateau', 'barco')",1,33,1
""" here , professor aronnax , are the different dimensions of this boat now transporting you . it 's a very long cylinder with conical ends . it noticeably takes the shape of a cigar , a shape already adopted in london for several projects of the same kind . the length of this cylinder from end to end is exactly seventy meters , and its maximum breadth of beam is eight meters . so it is n't quite built on the ten - to - one ratio of your high - speed steamers ; but its lines are sufficiently long , and their tapering gradual enough , so that the displaced water easily slips past and poses no obstacle to the ship 's movements .","('boat', 'bateau', 'barco')",1,12,1
"at last , towards half - past twelve , a boat , carrying two men , touched the beach .","('boat', 'pirogue', 'piragua')",0,10,0
""" when you 're at a depth of 1,000 meters , the nautilus 's plating bears a pressure of 100 atmospheres . if at this point you want to empty the supplementary ballast tanks in order to lighten your boat and rise to the surface , your pumps must overcome that pressure of 100 atmospheres , which is 100 kilograms per each square centimeter . this demands a strength-- ""","('boat', 'bateau', 'barco')",1,39,1
""" in order to steer this boat to port or starboard , in short , to make turns on a horizontal plane , i use an ordinary , wide - bladed rudder that 's fastened to the rear of the sternpost and worked by a wheel and tackle . but i can also move the nautilus upward and downward on a vertical plane by the simple method of slanting its two fins , which are attached to its sides at its center of flotation ; these fins are flexible , able to assume any position , and can be operated from inside by means of powerful levers . if these fins stay parallel with the boat , the latter moves horizontally . if they slant , the nautilus follows the angle of that slant and , under its propeller 's thrust , either sinks on a diagonal as steep as it suits me , or rises on that diagonal . and similarly , if i want to return more swiftly to the surface , i throw the propeller in gear , and the water 's pressure makes the nautilus rise vertically , as an air balloon inflated with hydrogen lifts swiftly into the skies . ""","('boat', 'bateau', 'barco')",1,6,1
""" i do n't have to tell you , sir , "" ned land replied , "" that the red sea is just as landlocked as the gulf , since the isthmus of suez has n't been cut all the way through yet ; and even if it was , a boat as secretive as ours would n't risk a canal intersected with locks . so the red sea wo n't be our way back to europe either . ""","('boat', 'bateau', 'barco')",1,51,1
"the night was comparatively quiet . some of the sails were again hoisted , and the speed of the boat was very good . the next morning at dawn they espied the coast , and john bunsby was able to assert that they were not one hundred miles from shanghai . a hundred miles , and only one day to traverse them ! that very evening mr . fogg was due at shanghai , if he did not wish to miss the steamer to yokohama . had there been no storm , during which several hours were lost , they would be at this moment within thirty miles of their destination .","('boat', 'pirogue', 'piragua')",2,19,0
"gideon spilett and neb crouched among the rocks at the mouth of the mercy , from which the drawbridges had been raised , so as to prevent any one from crossing in a boat or landing on the opposite shore .","('boat', 'canot', 'canoa')",3,33,3
"as to ayrton and pencroft , they shoved off in the boat , and prepared to cross the channel and to take up two separate stations on the islet .","('boat', 'pirogue', 'piragua')",0,11,0
"the flag was run up at half - mast , and , this being the signal of distress , it was hoped that the american steamer , perceiving it , would change her course a little , so as to succour the pilot - boat .","('boat', 'pirogue', 'piragua')",2,44,0
"the platform emerged only eighty centimeters above the waves . the nautilus 's bow and stern boasted that spindle - shaped outline that had caused the ship to be compared appropriately to a long cigar . i noted the slight overlap of its sheet - iron plates , which resembled the scales covering the bodies of our big land reptiles . so i had a perfectly natural explanation for why , despite the best spyglasses , this boat had always been mistaken for a marine animal .","('boat', 'bateau', 'barco')",1,77,1
"however , it was soon evident to cyrus harding , on observing the direction followed by the boat , that they would not attempt to penetrate into the channel , but would land on the islet .","('boat', 'canot', 'canoa')",3,17,3
the boat advanced with extreme caution .,"('boat', 'canot', 'canoa')",3,1,3
"about thirty pirates , scattered in the rigging , followed every movement of the boat , and took the bearings of certain landmarks which would allow them to approach without danger .","('boat', 'canot', 'canoa')",3,14,3
the boat was not more than two cables - lengths off the islet when she stopped .,"('boat', 'canot', 'canoa')",3,1,3
""" have n't seen or heard a thing ! "" the canadian replied . "" i have n't even spotted the crew of this boat . by any chance , could they be electric too ? ""","('boat', 'bateau', 'barco')",1,24,1
"in fact , when the boat was abandoned at the sources of the mercy , it had been agreed that after having surveyed the west coast , they should go back to it , and return to granite house by the mercy .","('boat', 'pirogue', 'piragua')",0,5,0
the man at the helm and the man with the lead - line fell backwards into the boat .,"('boat', 'canot', 'canoa')",3,17,3
""" i 'm unable to answer you , mr . land . and trust me on this : for the time being , get rid of these notions of taking over the nautilus or escaping from it . this boat is a masterpiece of modern technology , and i 'd be sorry to have missed it ! many people would welcome the circumstances that have been handed us , just to walk in the midst of these wonders . so keep calm , and let 's see what 's happening around us . ""","('boat', 'bateau', 'barco')",1,39,1
"horrible imprecations burst from the boat , which immediately continued its way .","('boat', 'canot', 'canoa')",3,5,3
"however , instead of returning on board as might have been expected , the boat coasted along the islet , so as to round its southern point .","('boat', 'canot', 'canoa')",3,14,3
"their evident intention was to penetrate into the channel , and cut off the colonists posted on the islet , in such a way , that whatever their number might be , being placed between the fire from the boat and the fire from the brig , they would find themselves in a very disadvantageous position .","('boat', 'canot', 'canoa')",3,39,3
"twenty minutes after the first shots were fired , the boat was less than two cables - lengths off the mercy .","('boat', 'canot', 'canoa')",3,10,3
"but , as they were passing within good range of the mouth of the mercy , two balls saluted them , and two more of their number were laid in the bottom of the boat .","('boat', 'pirogue', 'piragua')",2,34,0
""" the boat has remained by itself for one day at the sources of the mercy , "" replied gideon spilett ; "" it may just as well stay there two days !","('boat', 'pirogue', 'piragua')",0,2,0
the boat now contained only three able men .,"('boat', 'canot', 'canoa')",3,1,3
"if the pirates continued to attack them in this way , if they renewed their attempt to land by means of a boat , they could be destroyed one by one .","('boat', 'canot', 'canoa')",3,22,3
"half an hour passed before the boat , having to pull against the current , could get alongside the "" speedy . ""","('boat', 'canot', 'canoa')",3,6,3
"but now about a dozen other convicts , maddened with rage , and possibly by the effect of the evening 's potations , threw themselves into the boat .","('boat', 'pirogue', 'piragua')",2,27,0
"a second boat was also lowered , in which eight men took their places , and while the first pulled straight for the islet , to dislodge the colonists from thence the second maneuvered so as to force the entrance of the mercy .","('boat', 'canot', 'canoa')",3,2,3
"however , they waited till the first boat was within range , when two well - directed balls threw its crew into disorder .","('boat', 'canot', 'canoa')",3,7,3
"the actual situation was this : on the islet were a dozen convicts , of whom some were no doubt wounded , but who had still a boat at their disposal ; on the island were six , but who could not by any possibility reach granite house , as they could not cross the river , all the bridges being raised .","('boat', 'canot', 'canoa')",3,27,3
""" yes , a real boat , "" replied the sailor ; "" but we do not want one for a sea voyage , and in five days at the most , i will undertake to construct a canoe fit to navigate the mercy . ""","('boat', 'canot', 'canoa')",3,5,3
""" five days , "" cried neb , "" to build a boat ? ""","('boat', 'bateau', 'barco')",1,12,1
"the canadian was quite disheartened , having counted on putting his plans into execution in the gulf , either by reaching shore or by pulling alongside one of the many boats plying a coastal trade from one island to another . an escape attempt would have been quite feasible , assuming ned land managed to seize the skiff without the captain 's knowledge . but in midocean it was unthinkable .","('boat', 'bateau', 'barco')",1,30,1
"he did not mean to build a boat with boards and planking , but simply a flat - bottomed canoe , which would be well suited for navigating the mercy -- above all , for approaching its source , where the water would naturally be shallow .","('boat', 'canot', 'canoa')",3,7,3
it was very evident that lincoln island was at such a distance from every country or island that it would be too hazardous to attempt to reach one in a frail boat .,"('boat', 'canot', 'canoa')",3,31,3
"pieces of bark , fastened one to the other , would form a light boat ; and in case of natural obstacles , which would render a portage necessary , it would be easily carried .","('boat', 'pirogue', 'piragua')",2,14,0
"a boat could not cross it , especially at the approach of the bad season .","('boat', 'canot', 'canoa')",3,1,3
"now , to construct a simple boat even with the necessary tools , was a difficult work , and the colonists not having tools they must begin by making hammers , axes , adzes , saws , augers , planes , etc . , which would take some time .","('boat', 'canot', 'canoa')",3,6,3
"as yet , they only hunted in jacamar wood , on the left of the river , because , for want of a bridge or boat , the mercy had not yet been crossed .","('boat', 'canot', 'canoa')",3,25,3
