text,sense,label,ind,new_label
"the next day , march 21 , bright and early at five o'clock in the morning , i climbed onto the platform . i found captain nemo there .","('climb', 'monter', 'subir')",0,18,0
"at three o'clock in the morning , full of uneasiness , i climbed onto the platform . captain nemo had n't left it . he stood in the bow next to his flag , which a mild breeze was unfurling above his head . his eyes never left that vessel . the extraordinary intensity of his gaze seemed to attract it , beguile it , and draw it more surely than if he had it in tow !","('climb', 'monter', 'subir')",0,12,0
""" well , "" replied the engineer , "" we will climb to the summit to - morrow , and then we shall see if this land is an island or a continent .","('climb', 'monter', 'subir')",0,11,0
cyrus harding and his companions climbed prospect heights .,"('climb', 'monter', 'subir')",0,5,0
"i thanked the captain and went to look for my two companions , who had n't yet left their cabin . i invited them to follow me , not telling them where we were . they climbed onto the platform . conseil , whom nothing could startle , saw it as a perfectly natural thing to fall asleep under the waves and wake up under a mountain . but ned land had no idea in his head other than to see if this cavern offered some way out .","('climb', 'monter', 'subir')",0,36,0
"this mode of communication obliged them first to climb prospect heights , making a detour by the river 's bank , and then to descend two hundred feet through the passage , having to climb as far when they wished to return to the plateau .","('climb', 'monter', 'subir')",0,8,0
"early in the morning on november 11 , fresh air poured through the nautilus 's interior , informing me that we had returned to the surface of the ocean to renew our oxygen supply . i headed for the central companionway and climbed onto the platform .","('climb', 'monter', 'subir')",0,42,0
"so i was marveling at this delightful sunrise , so life - giving and cheerful , when i heard someone climbing onto the platform .","('climb', 'monter', 'subir')",0,20,0
"at 9:15 when our boat returned to the surface , i climbed onto the platform . i was quite impatient to clear captain nemo 's tunnel , could n't sit still , and wanted to breathe the fresh night air .","('climb', 'monter', 'subir')",0,11,0
"i had climbed onto the platform just as the chief officer was taking his readings of hour angles . out of habit i waited for him to pronounce his daily phrase . but that day it was replaced by a different phrase , just as incomprehensible . almost at once i saw captain nemo appear , lift his spyglass , and inspect the horizon .","('climb', 'monter', 'subir')",0,2,0
"i then considered leaving my stateroom . was i free or still a prisoner ? perfectly free . i opened my door , headed down the gangways , and climbed the central companionway . hatches that had been closed the day before were now open . i arrived on the platform .","('climb', 'monter', 'subir')",0,29,0
"he approached the wall , and tried to climb it ; but the wall had been recently pointed , and d’artagnan could get no hold .","('climb', 'monter', 'subir')",0,8,0
"the next morning i climbed on deck . captain nemo was already there . as soon as he saw me , he came over .","('climb', 'monter', 'subir')",0,4,0
"herbert and neb climbed a high rock to survey the sea , but there was nothing in sight -- neither a dismasted vessel nor a ship under sail .","('climb', 'monter', 'subir')",0,3,0
"equipped with picks , some ten men climbed onto the nautilus 's sides and cracked loose the ice around the ship 's lower plating , which was soon set free . this operation was swiftly executed because the fresh ice was still thin . we all reentered the interior . the main ballast tanks were filled with the water that had n't yet congealed at our line of flotation . the nautilus submerged without delay .","('climb', 'monter', 'subir')",0,7,0
"d’artagnan related his story simply , with the omission of names . he told how he had a rendezvous with a young woman before that pavilion , and how , not seeing her come , he had climbed the linden tree , and by the light of the lamp had seen the disorder of the chamber .","('climb', 'monter', 'subir')",0,37,0
i left him and climbed onto the platform . conseil and the canadian were already there .,"('climb', 'monter', 'subir')",0,4,0
