text,sense,label,ind,new_label
"afterward , monsieur de treville fought with others : in his first journey to paris , five times ; from the death of the late king till the young one came of age , without reckoning wars and sieges , seven times ; and from that date up to the present day , a hundred times , perhaps ! so that in spite of edicts , ordinances , and decrees , there he is , captain of the musketeers ; that is to say , chief of a legion of caesars , whom the king holds in great esteem and whom the cardinal dreads -- he who dreads nothing , as it is said .","('paris', 'paris', 'paris')",0,14,0
the king made his entrance into paris on the twenty - third of december of the same year .,"('paris', 'paris', 'paris')",0,6,0
""" nothing , absolutely nothing , at present , but quitting paris , as i told you , as soon as possible .","('paris', 'paris', 'paris')",0,11,0
"i sought out the best fencing master in paris , i made an agreement with him to take a lesson every day , and every day for a year i took that lesson .","('paris', 'paris', 'paris')",0,8,0
""" oh , monsieur , be assured that i shall be entirely devoted to the person who will give me the means of quitting paris . ""","('paris', 'paris', 'paris')",1,24,0
"as for passepartout , he was a true parisian of paris . since he had abandoned his own country for england , taking service as a valet , he had in vain searched for a master after his own heart .","('paris', 'paris', 'paris')",1,10,0
"paris is not paved with cambric ! ""","('paris', 'paris', 'paris')",0,0,0
""" you leave paris ? ""","('paris', 'paris', 'paris')",0,3,0
""" good heavens , conseil , it 's just like old times in my office at the botanical gardens in paris ! i accept your kind wishes and i thank you for them . only , i 'd like to know what you mean by a ' happy year ' under the circumstances in which we 're placed . is it a year that will bring our imprisonment to an end , or a year that will see this strange voyage continue ? ""","('paris', 'paris', 'paris')",1,20,0
""" oh , no , your excellency , he is not the devil , "" replied the host , with a grin of contempt ; "" for during his fainting we rummaged his valise and found nothing but a clean shirt and eleven crowns -- which however , did not prevent his saying , as he was fainting , that if such a thing had happened in paris , you should have cause to repent of it at a later period . ""","('paris', 'paris', 'paris')",0,67,0
""" your address at paris ? ""","('paris', 'paris', 'paris')",0,4,0
d’artagnan was acquainted with nobody in paris .,"('paris', 'paris', 'paris')",1,6,0
"for my part , i should not hesitate a moment ; i should take the hundred pistoles . we want money for our return to paris . ""","('paris', 'paris', 'paris')",0,25,0
""" i have no seconds on my part , monsieur , "" said d’artagnan ; "" for having only arrived yesterday in paris , i as yet know no one but monsieur de treville , to whom i was recommended by my father , who has the honor to be , in some degree , one of his friends . ""","('paris', 'paris', 'paris')",0,22,0
professor at the paris museum fifth avenue hotel,"('paris', 'paris', 'paris')",1,3,0
