text,ind,sense,label
passepartout remained alone in the house in saville row .,1,"('remain', 'demeurer', 'quedar')",0
"after this event , and during all the time that the colonists , detained by herbert 's illness , remained in the corral , the pirates did not leave their cavern , and even after they had pillaged the plateau of prospect heights , they did not think it prudent to abandon it .",19,"('remain', 'demeurer', 'permanecer')",1
"at the sight of the little letter the heart of d’artagnan bounded , for he believed he recognized the handwriting , and although he had seen that writing but once , the memory of it remained at the bottom of his heart .",35,"('remain', 'rester', 'quedar')",2
"the chancellor advanced , therefore , toward anne of austria , and said with a very perplexed and embarrassed air , "" and now it remains for me to make the principal examination . """,25,"('remain', 'reste', 'quedo')",3
"every impulse that we strive to strangle broods in the mind and poisons us . the body sins once , and has done with its sin , for action is a mode of purification . nothing remains then but the recollection of a pleasure , or the luxury of a regret . the only way to get rid of a temptation is to yield to it . resist it , and your soul grows sick with longing for the things it has forbidden to itself , with desire for what its monstrous laws have made monstrous and unlawful . it has been said that the great events of the world take place in the brain . it is in the brain , and the brain only , that the great sins of the world take place also .",36,"('remain', 'reste', 'quedo')",3
"for a few minutes he remained absorbed in thought ; then again speaking,--",5,"('remain', 'demeurer', 'permanecer')",1
"felton , as pale as death , remained some instants with his ear bent and listening ; then , when the sound was quite extinct , he breathed like a man awaking from a dream , and rushed out of the apartment .",7,"('remain', 'rester', 'permanecer')",4
"in fact , there beneath my eyes was a town in ruins , demolished , overwhelmed , laid low , its roofs caved in , its temples pulled down , its arches dislocated , its columns stretching over the earth ; in these ruins you could still detect the solid proportions of a sort of tuscan architecture ; farther off , the remains of a gigantic aqueduct ; here , the caked heights of an acropolis along with the fluid forms of a parthenon ; there , the remnants of a wharf , as if some bygone port had long ago harbored merchant vessels and triple - tiered war galleys on the shores of some lost ocean ; still farther off , long rows of collapsing walls , deserted thoroughfares , a whole pompeii buried under the waters , which captain nemo had resurrected before my eyes !",62,"('remain', 'reste', 'resto')",5
""" i hope that it is not so , "" replied cyrus harding , "" and that heaven has not deprived us of the best chance which remains to us . """,27,"('remain', 'reste', 'quedo')",3
"this document remained locked in my drawer all day : after tea , i asked leave of the new superintendent to go to lowton , in order to perform some small commissions for myself and one or two of my fellow - teachers ; permission was readily granted ; i went .",2,"('remain', 'rester', 'permanecer')",4
"this excess of bilious humor could not be attributed to play ; for unlike porthos , who accompanied the variations of chance with songs or oaths , athos when he won remained as unmoved as when he lost .",31,"('remain', 'demeurer', 'permanecer')",1
"there only remains , then , the question of the five shillings to be settled . you think me rather parsimonious , do n’t you ? that ’s because i do n’t care to leave you the means of corrupting your jailers .",2,"('remain', 'reste', 'quedo')",3
"but although her voice -- sweet , full , and sonorous -- vibrated as harmoniously and as affectingly as ever , the door remained shut .",23,"('remain', 'rester', 'permanecer')",4
the remains of the capybara would be enough to sustain harding and his companions for at least twenty - four hours .,1,"('remain', 'reste', 'resto')",5
"this was not his first tiger , and advancing to within ten feet of the animal he remained motionless , his gun to his shoulder , without moving a muscle .",17,"('remain', 'demeurer', 'quedar')",0
"neb and harding also ran up , and they remained for some instants contemplating the animal as it lay stretched on the ground , thinking that its magnificent skin would be a great ornament to the hall at granite house .",9,"('remain', 'rester', 'permanecer')",4
"on her side mme . bonacieux had also reflected ; but , it must be admitted , upon something widely different from ambition . in spite of herself her thoughts constantly reverted to that handsome young man who was so brave and appeared to be so much in love . married at eighteen to m. bonacieux , having always lived among her husband ’s friends -- people little capable of inspiring any sentiment whatever in a young woman whose heart was above her position -- mme . bonacieux had remained insensible to vulgar seductions ; but at this period the title of gentleman had great influence with the citizen class , and d’artagnan was a gentleman . besides , he wore the uniform of the guards , which next to that of the musketeers was most admired by the ladies .",89,"('remain', 'rester', 'permanecer')",4
the southern coast of the island still remained to be explored .,7,"('remain', 'rester', 'quedar')",2
""" the boat has remained by itself for one day at the sources of the mercy , "" replied gideon spilett ; "" it may just as well stay there two days !",4,"('remain', 'rester', 'quedar')",2
""" listen , "" replied felton , in a low voice . "" i have just sent away the sentinel that i might remain here without anybody knowing it , in order to speak to you without being overheard .",23,"('remain', 'rester', 'permanecer')",4
the remains of the capybara and some dozens of the stone - pine almonds formed their supper .,1,"('remain', 'reste', 'resto')",5
"my conjecture had been correct : the strangers had slipped in before us , and they now stood by the vault of the rochesters , their backs towards us , viewing through the rails the old time - stained marble tomb , where a kneeling angel guarded the remains of damer de rochester , slain at marston moor in the time of the civil wars , and of elizabeth , his wife .",48,"('remain', 'reste', 'resto')",5
"there fermented in that sublimated brain plans so vast , projects so tumultuous , that there remained no room for any capricious or material love -- that sentiment which is fed by leisure and grows with corruption .",16,"('remain', 'rester', 'quedar')",2
"d’artagnan remained , therefore , alone ; and as he declared he was too ignorant of the game to play it regularly they only continued giving balls to one another without counting .",1,"('remain', 'rester', 'quedar')",2
"of the important cities given up by henry iv to the huguenots as places of safety , there only remained la rochelle .",19,"('remain', 'rester', 'quedar')",2
""" why , this man is a cask ! "" said the host , aside . "" if he only remains here a fortnight , and pays for what he drinks , i shall soon re - establish my business . """,20,"('remain', 'reste', 'quedo')",3
""" it is all that remains of our airy boat , of our balloon , which has been caught up aloft there , at the top of that tree ! """,5,"('remain', 'reste', 'quedo')",3
"d’artagnan remained all day in his quarters , assigning as a reason to himself that the weather was bad .",1,"('remain', 'rester', 'permanecer')",4
cyrus harding and his companions remained an hour at the top of the mountain .,5,"('remain', 'demeurer', 'permanecer')",1
"one important question remained to be solved , and the answer would have a great effect upon the future of the castaways .",3,"('remain', 'rester', 'quedar')",2
"there remained the guide : what course would he adopt ? would he not take part with the indians ? in default of his assistance , it was necessary to be assured of his neutrality .",1,"('remain', 'rester', 'quedar')",2
"were i not morally certain that your uncle will be dead ere you reach madeira , i would advise you to accompany mr . mason back ; but as it is , i think you had better remain in england till you can hear further , either from or of mr . eyre .",37,"('remain', 'demeurer', 'quedar')",0
""" only i concealed a glass of water , which remained after my breakfast , thirst having been the chief of my sufferings when i remained forty - eight hours without eating or drinking .",25,"('remain', 'demeurer', 'permanecer')",1
the brave dog therefore remained at the foot of the cliff while his master with his companions sought a refuge among the rocks .,4,"('remain', 'rester', 'permanecer')",4
"so saying , ayrton sat down in a corner of the room and remained silent .",13,"('remain', 'demeurer', 'permanecer')",1
the brand disappeared ; the beauty alone remained .,7,"('remain', 'rester', 'quedar')",2
"ayrton remained in his corner , not joining the colonists .",1,"('remain', 'demeurer', 'permanecer')",1
"fix did not look at the state of things in the same light . the storm greatly pleased him . his satisfaction would have been complete had the rangoon been forced to retreat before the violence of wind and waves . each delay filled him with hope , for it became more and more probable that fogg would be obliged to remain some days at hong kong ; and now the heavens themselves became his allies , with the gusts and squalls . it mattered not that they made him sea - sick -- he made no account of this inconvenience ; and , whilst his body was writhing under their effects , his spirit bounded with hopeful exultation .",61,"('remain', 'rester', 'permanecer')",4
"i went to france , with a determination to remain there for the rest of my life .",9,"('remain', 'demeurer', 'permanecer')",1
at last captain nemo remained the solitary survivor of all those who had taken refuge with him in the depths of the ocean .,4,"('remain', 'rester', 'quedar')",2
""" oh ciel ! que c'est beau ! "" and then remained absorbed in ecstatic contemplation .",11,"('remain', 'demeurer', 'permanecer')",1
"it was useless to contemplate removing him to granite house , for he had expressed his wish to remain in the midst of those marvels of the "" nautilus "" which millions could not have purchased , and to wait there for that death which was swiftly approaching .",18,"('remain', 'rester', 'permanecer')",4
""" yes , your eminence , "" said athos , while the two musketeers who had remained behind advanced hat in hand .",16,"('remain', 'rester', 'quedar')",2
"gideon spilett wished to remain near him , in the event of a crisis coming on , but the dying man refused , saying , "" i shall live until to - morrow , sir . """,4,"('remain', 'rester', 'permanecer')",4
"both remained suspended , motionless and breathless , within twenty paces of the ground , while the patrol passed beneath them laughing and talking .",1,"('remain', 'rester', 'permanecer')",4
"at two o’clock in the morning , our four adventurers left paris by the barriere st . denis . as long as it was dark they remained silent ; in spite of themselves they submitted to the influence of the obscurity , and apprehended ambushes on every side .",26,"('remain', 'rester', 'permanecer')",4
"cyrus harding remained but a few minutes alone with captain nemo , and soon recalled his companions ; but he said nothing to them of the private matters which the dying man had confided to him .",2,"('remain', 'rester', 'permanecer')",4
"the worship of the senses has often , and with much justice , been decried , men feeling a natural instinct of terror about passions and sensations that seem stronger than themselves , and that they are conscious of sharing with the less highly organized forms of existence . but it appeared to dorian gray that the true nature of the senses had never been understood , and that they had remained savage and animal merely because the world had sought to starve them into submission or to kill them by pain , instead of aiming at making them elements of a new spirituality , of which a fine instinct for beauty was to be the dominant characteristic .",71,"('remain', 'rester', 'permanecer')",4
"the tempest ended about the 9th of march , but the sky remained covered with clouds during the whole of this last summer month .",12,"('remain', 'demeurer', 'quedar')",0
""" reckoning still further , that as long as you do me the honor to remain in my house i shall never speak to you about rent-- """,15,"('remain', 'rester', 'permanecer')",4
"at a hundred paces from the gates of calais , d’artagnan ’s horse gave out , and could not by any means be made to get up again , the blood flowing from his eyes and his nose . there still remained planchet ’s horse ; but he stopped short , and could not be made to move a step .",41,"('remain', 'rester', 'quedar')",2
athos remained sitting .,1,"('remain', 'rester', 'permanecer')",4
